"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.144779165E-2,-5.200635223E0,-3.548969879E0,5.466332703E0
2.144079166E-2,-3.764970703E0,-5.443580017E0,8.018375702E0
3.143379162E-2,-1.014590149E0,-8.042325897E0,1.123862915E1
4.142579163E-2,2.709665222E0,-1.179427368E1,1.286993683E1
5.141879164E-2,6.619085541E0,-1.746822464E1,1.221864120E1
6.141179166E-2,7.965385895E0,-2.396845734E1,8.390052795E0
7.140379166E-2,8.321345673E0,-2.715188736E1,7.251071320E0
8.139679162E-2,8.369994507E0,-2.375245651E1,7.440128174E0
9.138979163E-2,6.775061188E0,-1.660916107E1,6.958429871E0
1.013817916E-1,5.781128082E0,-1.188513474E1,5.456004181E0
1.113747917E-1,4.943020935E0,-9.447304230E0,3.412304077E0
1.213677917E-1,3.630849609E0,-7.970325623E0,1.306183777E0
1.313597916E-1,1.893412628E0,-7.548053741E0,-1.792372742E0
1.413527916E-1,-9.716294861E-1,-7.621700592E0,-4.136498108E0
1.513457916E-1,-3.873195648E0,-8.847351837E0,-4.646936646E0
1.613377917E-1,-4.604574738E0,-1.073013657E1,-4.134103088E0
1.713307917E-1,-3.730242920E0,-1.420665710E1,-1.127605133E0
1.813237916E-1,5.450166321E-1,-1.834420303E1,6.087391205E0
1.913157916E-1,-9.792636108E-1,-1.793181061E1,-1.212029572E0
2.013087916E-1,-2.421364746E0,-1.461440918E1,-3.758085022E0
2.113017917E-1,-1.706900482E0,-1.101095261E1,-5.541476440E-1
2.212937917E-1,-6.777905273E-1,-7.031927032E0,5.322781219E0
2.312867916E-1,-1.090332642E0,-2.067799988E0,1.028586044E1
2.412797916E-1,-2.202220459E0,-2.789598999E0,3.395389252E0
2.512717916E-1,-2.288441162E0,-5.551355896E0,-6.189628601E-1
2.612647917E-1,-3.032693481E0,-6.700067139E0,-5.629792786E-1
2.712577917E-1,-3.799249420E0,-7.644902344E0,-7.355703735E-1
2.812497916E-1,-4.434678040E0,-8.717721405E0,-1.303489380E0
2.912427916E-1,-4.655618591E0,-9.867330780E0,-2.404749298E0
3.012357916E-1,-4.657564545E0,-1.116543137E1,-3.154240723E0
3.112277917E-1,-4.076023865E0,-1.195953003E1,-2.758463745E0
3.212207917E-1,-3.212469635E0,-1.202135147E1,-2.361638947E0
3.312137916E-1,-2.547252960E0,-1.178199921E1,-2.481539612E0
3.412059583E-1,-1.993255005E0,-1.124027573E1,-2.900817719E0
3.511989583E-1,-1.933379517E0,-1.074031540E1,-3.496578827E0
3.611919583E-1,-2.014810181E0,-1.024679169E1,-3.376827850E0
3.711839583E-1,-1.726809082E0,-9.715546417E0,-3.186573486E0
3.811769583E-1,-1.033450928E0,-9.418563995E0,-2.228266296E0
3.911699583E-1,-4.908293152E-1,-9.330547028E0,-1.072669373E0
4.011619583E-1,-8.083190918E-2,-9.370214539E0,-9.190887451E-2
4.111549583E-1,2.936892700E-1,-9.419462128E0,5.999523926E-1
4.211479583E-1,5.607339478E-1,-9.144633636E0,1.044078827E0
4.311399583E-1,9.030720520E-1,-8.835077362E0,1.423390045E0
4.411329583E-1,1.261127472E0,-8.768465881E0,1.758094025E0
4.511259583E-1,1.658850403E0,-8.982969818E0,2.031275940E0
4.611179583E-1,1.986668701E0,-9.268126831E0,2.267784119E0
4.711109583E-1,2.010469208E0,-9.393565979E0,2.359243927E0
4.811039583E-1,1.937121735E0,-9.323361969E0,2.331701202E0
4.910959583E-1,1.568139038E0,-9.244176636E0,2.304906921E0
5.010889583E-1,1.022224274E0,-9.307195587E0,2.406994629E0
5.110819583E-1,5.712121582E-1,-9.293424225E0,2.475851440E0
5.210739583E-1,2.028282166E-1,-9.251361694E0,2.412832489E0
5.310669583E-1,-1.074765015E-1,-9.185049591E0,2.175126801E0
5.410599583E-1,-3.665876770E-1,-9.212592316E0,1.830243988E0
5.510519583E-1,-4.974156189E-1,-9.261091461E0,1.416953430E0
5.610449583E-1,-5.935157776E-1,-9.218130798E0,1.056802368E0
5.710379583E-1,-7.045848083E-1,-9.108708344E0,7.641609192E-1
5.810299583E-1,-7.699987793E-1,-8.964857483E0,5.442681885E-1
5.910229583E-1,-8.312214661E-1,-8.885223083E0,4.411326599E-1
6.010159583E-1,-7.842192078E-1,-9.037456512E0,4.564009094E-1
6.110079583E-1,-6.096821594E-1,-9.294472046E0,4.659809875E-1
6.210009583E-1,-2.814147949E-1,-9.597891083E0,3.610491943E-1
6.309939583E-1,-7.409591675E-2,-9.989027710E0,-2.409988403E-2
6.409859583E-1,-1.751358032E-1,-1.035007690E1,-4.183799744E-1
6.509789583E-1,-2.966830444E-1,-1.047312103E1,-6.703060913E-1
6.609719583E-1,-5.263055420E-1,-1.051174072E1,-1.097517700E0
6.709639583E-1,-5.029541016E-1,-1.050500473E1,-1.191671906E0
6.809569583E-1,-3.245251465E-1,-1.049482590E1,-7.896080017E-1
6.909499583E-1,-1.785786438E-1,-1.042806473E1,-4.412823486E-1
7.009419583E-1,-6.436614990E-3,-1.051787796E1,-3.085084534E-1
7.109349583E-1,1.865121460E-1,-1.117246674E1,-7.708969116E-2
7.209279583E-1,4.426295471E-1,-1.211116470E1,4.269122314E-1
7.309199583E-1,7.816744995E-1,-1.279763718E1,1.449286194E0
7.409129583E-1,1.115180969E0,-1.316482361E1,3.597918091E0
7.509059583E-1,1.742376709E0,-1.367630997E1,8.275391235E0
7.608979583E-1,2.894530792E0,-1.472787323E1,1.142574005E1
7.708909583E-1,3.432661743E0,-1.581236801E1,9.936187592E0
7.808839583E-1,3.321742401E0,-1.645932266E1,6.857389984E0
7.908759583E-1,2.558629303E0,-1.581925369E1,4.661306763E0
8.008689583E-1,1.713786163E0,-1.439331894E1,3.383264465E0
8.108619583E-1,4.846920776E-1,-1.314476532E1,2.028282166E0
8.208539583E-1,-8.641529846E-1,-1.238045471E1,4.355941772E-1
8.308469583E-1,-1.638941803E0,-1.214783844E1,-9.514215088E-1
8.408399583E-1,-2.235151978E0,-1.235276230E1,-2.133663025E0
8.508319583E-1,-3.137475586E0,-1.286394928E1,-3.466042328E0
8.608249583E-1,-4.671335907E0,-1.365849701E1,-4.905000000E0
8.708179583E-1,-6.186485138E0,-1.433419189E1,-6.277645569E0
8.808099583E-1,-6.046376495E0,-1.444181808E1,-6.465055847E0
8.908029583E-1,-4.411176910E0,-1.423824142E1,-6.191574554E0
9.007959583E-1,-2.614762573E0,-1.312889832E1,-5.195545807E0
9.107879583E-1,-1.030606842E0,-1.182376236E1,-4.317621460E0
9.207809583E-1,-2.513273621E-1,-1.055949142E1,-2.499502258E0
9.307739583E-1,2.585722961E0,-1.044961990E1,2.962938538E0
9.407659583E-1,5.065615997E0,-1.110839996E1,5.102738800E0
9.507589583E-1,5.579048309E0,-1.178304703E1,2.965782623E0
9.607519583E-1,4.889881439E0,-1.230695755E1,1.185534668E0
9.707439583E-1,2.117796021E0,-1.204605011E1,4.864883423E-2
9.807369583E-1,-3.966751099E-2,-1.098655334E1,-1.172212372E0
