"Time (s)","X (hPa)"
-5.100370834E-1,1.015757828E3
5.230939167E-1,1.015758972E3
1.556247917E0,1.015760040E3
2.589379917E0,1.015760040E3
3.622504917E0,1.015762100E3
3.814321917E0,1.015763779E3
4.880753917E0,1.015763779E3
5.947210917E0,1.015763779E3
7.013648917E0,1.015764008E3
8.080022917E0,1.015764008E3
9.146373917E0,1.015763550E3
1.021278192E1,1.015762100E3
1.127923392E1,1.015760880E3
1.234563092E1,1.015756912E3
1.341204892E1,1.015753021E3
1.447849092E1,1.015750656E3
1.554489792E1,1.015746918E3
1.661132492E1,1.015742340E3
1.767776992E1,1.015739288E3
1.874419092E1,1.015735550E3
1.981061192E1,1.015733490E3
2.087706292E1,1.015726318E3
2.194350892E1,1.015719147E3
2.300990492E1,1.015714874E3
2.407636792E1,1.015712433E3
2.514286792E1,1.015710678E3
2.620938092E1,1.015710678E3
2.727591092E1,1.015713501E3
2.834240892E1,1.015720215E3
3.102793462E1,1.015765533E3
3.206109962E1,1.015750732E3
3.309426763E1,1.015735931E3
3.412743162E1,1.015726852E3
3.516061963E1,1.015726852E3
3.535234162E1,1.015728836E3
3.641881962E1,1.015731812E3
3.748527762E1,1.015737457E3
3.855179262E1,1.015745926E3
3.961824562E1,1.015755386E3
4.068466963E1,1.015756378E3
4.175110262E1,1.015756378E3
4.281757263E1,1.015752792E3
4.388398763E1,1.015749512E3
4.495036963E1,1.015743103E3
4.601670162E1,1.015739136E3
4.708304062E1,1.015739136E3
4.814945163E1,1.015740433E3
4.921584263E1,1.015740509E3
5.028222162E1,1.015740509E3
5.134860063E1,1.015741882E3
5.241500962E1,1.015741882E3
5.348140762E1,1.015737228E3
5.454783362E1,1.015736771E3
5.561419862E1,1.015733490E3
5.668058262E1,1.015727463E3
5.774699562E1,1.015727463E3
5.881337962E1,1.015732422E3
5.987976062E1,1.015733032E3
6.094613262E1,1.015737457E3
6.201255362E1,1.015737457E3
6.307894962E1,1.015735779E3
6.414541062E1,1.015726547E3
6.521184562E1,1.015717010E3
6.627827862E1,1.015709457E3
6.734476062E1,1.015702057E3
6.841121362E1,1.015702057E3
7.132587671E1,1.015744629E3
7.235903671E1,1.015741882E3
7.339218271E1,1.015739136E3
7.442527071E1,1.015739136E3
7.545838371E1,1.015747910E3
7.565013671E1,1.015753250E3
7.671658571E1,1.015757828E3
7.778300971E1,1.015777817E3
7.884940471E1,1.015791931E3
7.991579671E1,1.015803528E3
8.098225571E1,1.015813446E3
8.204869371E1,1.015813446E3
8.311513471E1,1.015813904E3
8.418156471E1,1.015813904E3
8.524804771E1,1.015815811E3
8.631450271E1,1.015815811E3
8.738091371E1,1.015812988E3
9.023574087E1,1.015763931E3
9.126888487E1,1.015762634E3
9.230203187E1,1.015761261E3
9.333511287E1,1.015759277E3
9.436821587E1,1.015749741E3
9.456003987E1,1.015741730E3
9.562649287E1,1.015739288E3
9.669293387E1,1.015738449E3
9.775931987E1,1.015738449E3
9.882575387E1,1.015740204E3
9.989218187E1,1.015744400E3
1.009585859E2,1.015747299E3
1.020249899E2,1.015747299E3
1.030914379E2,1.015746765E3
1.041578619E2,1.015744629E3
1.052242309E2,1.015743866E3
1.062906079E2,1.015742569E3
1.073570029E2,1.015742569E3
1.084234119E2,1.015740814E3
1.094897899E2,1.015738144E3
1.105561619E2,1.015732651E3
1.116224679E2,1.015729294E3
1.126888159E2,1.015723343E3
1.137551859E2,1.015721512E3
1.148215689E2,1.015718079E3
1.158879569E2,1.015714340E3
1.169544059E2,1.015710297E3
1.180208139E2,1.015709457E3
1.203393320E2,1.015669479E3
1.213724990E2,1.015675201E3
1.224056540E2,1.015681000E3
1.234388100E2,1.015709457E3
1.244719390E2,1.015732269E3
1.246636840E2,1.015740356E3
1.257301840E2,1.015742416E3
1.267966480E2,1.015752182E3
1.295554828E2,1.015728912E3
1.305885678E2,1.015727234E3
1.316216598E2,1.015728912E3
1.326547518E2,1.015734787E3
1.336878768E2,1.015758362E3
1.338798108E2,1.015771942E3
1.349462958E2,1.015772095E3
1.360127138E2,1.015789871E3
1.370791678E2,1.015806046E3
1.381456058E2,1.015815201E3
1.392120748E2,1.015823135E3
1.423752660E2,1.015710373E3
1.434083710E2,1.015712891E3
1.444414560E2,1.015715485E3
1.454744680E2,1.015732880E3
1.465075280E2,1.015740662E3
1.466994210E2,1.015747833E3
1.477658300E2,1.015749435E3
1.506782815E2,1.015728302E3
1.517113905E2,1.015727463E3
1.527444975E2,1.015728302E3
1.537775855E2,1.015742874E3
1.548107035E2,1.015757217E3
1.550026075E2,1.015757217E3
1.578740622E2,1.015666962E3
1.589072762E2,1.015673828E3
1.599404822E2,1.015680618E3
1.609736582E2,1.015686264E3
1.620068002E2,1.015687103E3
1.621985402E2,1.015687103E3
1.632650492E2,1.015689087E3
1.643315332E2,1.015689087E3
1.653980252E2,1.015686035E3
1.664645052E2,1.015683823E3
1.675310152E2,1.015680161E3
1.685975062E2,1.015676575E3
1.696640112E2,1.015675583E3
1.707304482E2,1.015675583E3
1.717969762E2,1.015677261E3
1.728634692E2,1.015683823E3
1.739299442E2,1.015687790E3
1.749964692E2,1.015689392E3
1.760629962E2,1.015691299E3
1.771294762E2,1.015692673E3
1.781959892E2,1.015692825E3
1.792625022E2,1.015694504E3
1.803289782E2,1.015696640E3
1.813954552E2,1.015698929E3
1.824619962E2,1.015701447E3
1.835285232E2,1.015701675E3
1.845950652E2,1.015702972E3
1.856615792E2,1.015703125E3
1.867280872E2,1.015704803E3
1.877946152E2,1.015704803E3
1.888611082E2,1.015705414E3
1.899276082E2,1.015706787E3
1.909940932E2,1.015708389E3
