"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.018379165E-2,-1.773562249E0,2.815686352E0,7.219555412E0
4.017679166E-2,1.633571428E0,-2.494784725E-1,9.886254709E0
5.016979162E-2,5.753717505E0,-4.904265590E0,1.062491943E1
6.016179163E-2,8.482304317E0,-1.134310018E1,7.981515439E0
7.015479164E-2,8.744661866E0,-1.678019564E1,5.027838306E0
8.014779165E-2,8.935755891E0,-1.673994341E1,5.024802432E0
9.013979166E-2,7.826515692E0,-1.065808601E1,5.048362033E0
1.001327916E-1,6.017074928E0,-4.259565625E0,4.057186475E0
1.101257916E-1,5.065832344E0,-9.694256705E-1,2.273173936E0
1.201177916E-1,3.743895291E0,9.785403103E-1,2.894113009E-1
1.301107917E-1,2.024495509E0,1.906793981E0,-2.187271614E0
1.401037917E-1,-2.102568117E-1,2.069762313E0,-5.071946193E0
1.500957917E-1,-3.522375865E0,1.515523453E0,-6.374314077E0
1.600887916E-1,-5.260468027E0,-3.485700667E-2,-6.026296572E0
1.700817916E-1,-5.129168800E0,-2.552407866E0,-4.967078719E0
1.800737916E-1,-1.932306260E0,-6.846412421E0,2.123275008E0
1.900667917E-1,5.427239388E-2,-9.080952780E0,1.829482681E0
2.000597916E-1,-2.352209727E0,-6.713448492E0,-5.311474459E0
2.100517916E-1,-2.233095219E0,-3.130721467E0,-3.936383584E0
2.200447916E-1,-1.275534427E0,4.884880900E-1,5.553568482E-2
2.300377917E-1,-5.217818436E-1,5.370295694E0,7.754677970E0
2.400297917E-1,-1.783014565E0,8.024645087E0,5.786057285E0
2.500227916E-1,-2.066825842E0,5.324206186E0,-1.040403413E0
2.600157916E-1,-2.434794631E0,3.437804954E0,-2.328936785E0
2.700077916E-1,-3.161405316E0,2.511613011E0,-2.189710341E0
2.800007917E-1,-3.782898266E0,1.490442991E0,-2.657727914E0
2.899937917E-1,-4.081263262E0,3.624659747E-1,-3.561990459E0
2.999857917E-1,-4.009681356E0,-9.031445575E-1,-4.736677957E0
3.099787916E-1,-3.612247570E0,-2.098962724E0,-4.953233097E0
3.199717916E-1,-2.586507073E0,-2.474664456E0,-4.442858879E0
3.299637916E-1,-1.728513838E0,-2.412876343E0,-4.406795007E0
3.399569583E-1,-9.493344913E-1,-2.022551309E0,-4.715091206E0
3.499499583E-1,-5.444184619E-1,-1.475499262E0,-5.304820327E0
3.599419583E-1,-6.166880009E-1,-1.003908455E0,-5.566247000E0
3.699349583E-1,-4.809327565E-1,-4.852452242E-1,-5.225221596E0
3.799279583E-1,9.315345436E-2,3.690704048E-2,-4.556267381E0
3.899199583E-1,7.712787348E-1,1.951981848E-1,-3.131049788E0
3.999129583E-1,1.267922375E0,2.985184854E-1,-1.804266125E0
4.099059583E-1,1.678469858E0,1.947824478E-1,-6.939621717E-1
4.198979583E-1,2.030715484E0,3.491214591E-1,7.438243032E-2
4.298909583E-1,2.337392005E0,6.784641266E-1,6.766854036E-1
4.398839583E-1,2.761904832E0,8.975341541E-1,1.216961698E0
4.498759583E-1,3.169442606E0,8.070788974E-1,1.654648594E0
4.598689583E-1,3.621606623E0,5.075143450E-1,2.029891904E0
4.698619583E-1,3.864490314E0,2.878256822E-1,2.280052747E0
4.798539583E-1,3.857578028E0,2.510753471E-1,2.386929324E0
4.898469583E-1,3.709672123E0,3.511364096E-1,2.403998516E0
4.998399583E-1,3.215280976E0,3.463557261E-1,2.556249486E0
5.098319583E-1,2.729168610E0,3.056994510E-1,2.728735331E0
5.198249583E-1,2.334948015E0,3.353711468E-1,2.814232149E0
5.298179583E-1,2.028504944E0,3.838860798E-1,2.724572114E0
5.398099583E-1,1.752520751E0,4.025562394E-1,2.457166078E0
5.498029583E-1,1.595874428E0,3.416703522E-1,2.101041409E0
5.597959583E-1,1.537338099E0,3.234410727E-1,1.737857981E0
5.697879583E-1,1.466524955E0,3.855876195E-1,1.468400742E0
5.797809583E-1,1.409064513E0,5.103783113E-1,1.296637613E0
5.897739583E-1,1.398164572E0,6.322144049E-1,1.206416318E0
5.997659583E-1,1.411094812E0,5.736457694E-1,1.277923014E0
6.097589583E-1,1.572433964E0,3.357032686E-1,1.381943811E0
6.197519583E-1,1.865163414E0,4.132987440E-2,1.427767417E0
6.297439583E-1,2.229640977E0,-3.131359398E-1,1.214131061E0
6.397369583E-1,2.274073384E0,-7.369684428E-1,7.920731878E-1
6.497299583E-1,2.172116946E0,-9.768475413E-1,5.215703206E-1
6.597219583E-1,2.002365259E0,-1.056376691E0,1.737231159E-1
6.697149583E-1,1.873434446E0,-1.059327196E0,-1.593670321E-1
6.797079583E-1,2.047298188E0,-1.057442638E0,2.368824005E-2
6.896999583E-1,2.213676032E0,-1.039958294E0,5.010362879E-1
6.996929583E-1,2.394397095E0,-9.873678517E-1,7.332500522E-1
7.096859583E-1,2.581548634E0,-1.361842253E0,9.429500628E-1
7.196779583E-1,2.811347425E0,-2.244532666E0,1.369687901E0
7.296709583E-1,3.101355581E0,-3.110315854E0,2.179709702E0
7.396639583E-1,3.448086113E0,-3.620188966E0,3.647315369E0
7.496559583E-1,3.821757400E0,-3.944761475E0,7.042951373E0
7.596489583E-1,4.784926257E0,-4.737553870E0,1.149803386E1
7.696419583E-1,5.651045660E0,-5.804315801E0,1.196256590E1
7.796339583E-1,5.743076742E0,-6.722646747E0,8.739213431E0
7.896269583E-1,5.120279278E0,-6.731653798E0,5.662686882E0
7.996199583E-1,4.090385796E0,-5.518833683E0,3.637078648E0
8.096119583E-1,2.983430982E0,-4.094319803E0,2.105933189E0
8.196049583E-1,1.334742894E0,-3.071631845E0,2.947156756E-1
8.295979583E-1,1.400169875E-1,-2.563948515E0,-1.574973118E0
8.395909583E-1,-6.689368196E-1,-2.610772433E0,-3.088057258E0
8.495829583E-1,-1.450343517E0,-3.002731179E0,-4.618124490E0
8.595759583E-1,-2.769089890E0,-3.709284160E0,-6.230971339E0
8.695679583E-1,-4.533766418E0,-4.572782841E0,-7.967597896E0
8.795609583E-1,-5.427445210E0,-4.969228156E0,-8.949636011E0
8.895539583E-1,-4.427274587E0,-4.994830774E0,-8.871757531E0
8.995459583E-1,-2.733203189E0,-4.343491296E0,-8.404760882E0
9.095389583E-1,-1.084484841E0,-3.053000861E0,-7.362018728E0
9.195319583E-1,-2.134788833E-1,-1.681448137E0,-6.451433004E0
9.295239583E-1,1.200273160E0,-9.235221040E-1,-2.625286392E0
9.395169583E-1,4.211009177E0,-1.334319409E0,2.074344192E0
9.495099583E-1,5.325927606E0,-2.060808472E0,1.388539763E0
9.595019583E-1,5.114673552E0,-2.723435415E0,-8.988570866E-1
9.694949583E-1,3.103136058E0,-2.940762972E0,-2.277759469E0
