"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686306555649268E9,"2023-06-09 12:29:15.649 UTC+02:00"
"PAUSE",3.157895670831204E1,1.686306587228471E9,"2023-06-09 12:29:47.228 UTC+02:00"
"START",3.157895670831204E1,1.686306609713153E9,"2023-06-09 12:30:09.713 UTC+02:00"
"PAUSE",7.186873954167822E1,1.686306650003213E9,"2023-06-09 12:30:50.003 UTC+02:00"
"START",7.186873954167822E1,1.686306660793777E9,"2023-06-09 12:31:00.794 UTC+02:00"
"PAUSE",9.077537408331409E1,1.686306679700541E9,"2023-06-09 12:31:19.701 UTC+02:00"
"START",9.077537408331409E1,1.686306694017329E9,"2023-06-09 12:31:34.017 UTC+02:00"
"PAUSE",1.208682191666448E2,1.686306724110381E9,"2023-06-09 12:32:04.110 UTC+02:00"
"START",1.208682191666448E2,1.686306742495756E9,"2023-06-09 12:32:22.496 UTC+02:00"
"PAUSE",1.300956713749911E2,1.686306751723271E9,"2023-06-09 12:32:31.723 UTC+02:00"
"START",1.300956713749911E2,1.686306760570256E9,"2023-06-09 12:32:40.570 UTC+02:00"
"PAUSE",1.429191580833285E2,1.686306773393830E9,"2023-06-09 12:32:53.394 UTC+02:00"
"START",1.429191580833285E2,1.686306795033203E9,"2023-06-09 12:33:15.033 UTC+02:00"
"PAUSE",1.512150394999771E2,1.686306803329141E9,"2023-06-09 12:33:23.329 UTC+02:00"
"START",1.512150394999771E2,1.686306810355654E9,"2023-06-09 12:33:30.356 UTC+02:00"
"PAUSE",1.584118822083110E2,1.686306817552546E9,"2023-06-09 12:33:37.553 UTC+02:00"
"START",1.584118822083110E2,1.686306891040936E9,"2023-06-09 12:34:51.041 UTC+02:00"
"PAUSE",2.023458169999649E2,1.686306934975174E9,"2023-06-09 12:35:34.975 UTC+02:00"
"START",2.023458169999649E2,1.686306950382691E9,"2023-06-09 12:35:50.383 UTC+02:00"
"PAUSE",2.518738646666170E2,1.686306999911080E9,"2023-06-09 12:36:39.911 UTC+02:00"
"START",2.518738646666170E2,1.686307009438511E9,"2023-06-09 12:36:49.439 UTC+02:00"
"PAUSE",3.013442571249907E2,1.686307058909244E9,"2023-06-09 12:37:38.909 UTC+02:00"
"START",3.013442571249907E2,1.686307074063242E9,"2023-06-09 12:37:54.063 UTC+02:00"
"PAUSE",3.135032637083204E2,1.686307086222332E9,"2023-06-09 12:38:06.222 UTC+02:00"
"START",3.135032637083204E2,1.686307119314991E9,"2023-06-09 12:38:39.315 UTC+02:00"
"PAUSE",3.700250979166594E2,1.686307175837214E9,"2023-06-09 12:39:35.837 UTC+02:00"
"START",3.700250979166594E2,1.686307187519108E9,"2023-06-09 12:39:47.519 UTC+02:00"
"PAUSE",3.749983778750175E2,1.686307192492422E9,"2023-06-09 12:39:52.492 UTC+02:00"
"START",3.749983778750175E2,1.686307202831515E9,"2023-06-09 12:40:02.832 UTC+02:00"
"PAUSE",4.576863956666784E2,1.686307285520102E9,"2023-06-09 12:41:25.520 UTC+02:00"
"START",4.576863956666784E2,1.686307290720804E9,"2023-06-09 12:41:30.721 UTC+02:00"
"PAUSE",4.625196361666894E2,1.686307295554077E9,"2023-06-09 12:41:35.554 UTC+02:00"
"START",4.625196361666894E2,1.686307304007531E9,"2023-06-09 12:41:44.008 UTC+02:00"
"PAUSE",4.690481657499913E2,1.686307310536105E9,"2023-06-09 12:41:50.536 UTC+02:00"
"START",4.690481657499913E2,1.686307317506579E9,"2023-06-09 12:41:57.507 UTC+02:00"
"PAUSE",5.278662056666217E2,1.686307376325023E9,"2023-06-09 12:42:56.325 UTC+02:00"
"START",5.278662056666217E2,1.686307389493952E9,"2023-06-09 12:43:09.494 UTC+02:00"
"PAUSE",5.340228312916588E2,1.686307395650620E9,"2023-06-09 12:43:15.651 UTC+02:00"
"START",5.340228312916588E2,1.686307396339926E9,"2023-06-09 12:43:16.340 UTC+02:00"
"PAUSE",5.384217003750382E2,1.686307400738825E9,"2023-06-09 12:43:20.739 UTC+02:00"
