"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.202458341E-3,-2.323318634E0,-1.352078339E1,2.246827698E-1
8.790541615E-3,-1.380279694E0,-1.210233307E1,1.755848694E-1
1.878454164E-2,-1.050814819E-1,-1.056353302E1,-1.821711731E-1
2.877754165E-2,9.030720520E-1,-9.312285004E0,-4.519102478E-1
3.877054167E-2,1.406325531E0,-8.093519440E0,1.254391479E-1
4.876454163E-2,2.068548431E0,-7.307354279E0,1.389111328E-1
5.875754164E-2,2.794987793E0,-6.984924774E0,-6.945556641E-2
6.875054166E-2,3.724554749E0,-7.444169769E0,-5.926176453E-1
7.874454162E-2,4.374952240E0,-8.352031860E0,-4.297563171E-1
8.873754164E-2,4.518952789E0,-9.213789825E0,-2.348616028E-1
9.873054165E-2,3.940555573E0,-9.955647125E0,-4.891827393E-1
1.087245416E-1,2.505789185E0,-1.088147186E1,-6.327342224E-1
1.187175416E-1,1.410816193E0,-1.148411865E1,-6.388714600E-1
1.287105416E-1,2.609822845E0,-1.132395172E1,-6.004014587E-1
1.387035417E-1,3.982468414E0,-1.123129440E1,-1.088237000E0
1.486975416E-1,4.406536560E0,-1.142424316E1,-1.306483154E0
1.586905416E-1,3.761677551E0,-1.185085602E1,-5.231620789E-1
1.686835416E-1,2.275567932E0,-1.243673767E1,4.689747620E-1
1.786775417E-1,1.144819336E0,-1.201461548E1,2.239792328E0
1.886705416E-1,-1.145118713E-1,-1.147274231E1,2.758014679E0
1.986635416E-1,-7.467970276E-1,-1.059571609E1,1.052311707E-1
2.086579583E-1,-1.112486572E0,-1.026011398E1,-1.678160248E0
2.186509583E-1,-1.614243164E0,-9.945019226E0,-1.590143280E0
2.286439583E-1,-1.493743744E0,-9.263785858E0,-1.197659454E0
2.386379583E-1,-1.019380188E0,-8.594527588E0,-1.180594940E0
2.486309583E-1,-7.756869507E-1,-8.290060730E0,-5.194198608E-1
2.586239583E-1,-2.924917603E-1,-8.164322205E0,-4.616400146E-1
2.686179583E-1,-6.212081909E-2,-7.993976440E0,-1.063538361E0
2.786109583E-1,-3.487747192E-2,-7.817194061E0,-1.662143555E0
2.886039583E-1,-1.279838562E-1,-7.691156158E0,-1.791773987E0
2.985969583E-1,-7.065307617E-2,-7.599546661E0,-1.766326904E0
3.085909583E-1,3.649411011E-1,-7.245981903E0,-1.601220245E0
3.185839583E-1,8.900491333E-1,-6.609355774E0,-1.482517090E0
3.285769583E-1,1.395398254E0,-5.971831512E0,-1.461860046E0
3.385709583E-1,1.924248505E0,-5.375022583E0,-1.616638184E0
3.485639583E-1,2.553090820E0,-4.729415131E0,-2.148482208E0
3.585569583E-1,2.829865265E0,-4.281845856E0,-2.721939697E0
3.685509583E-1,2.753823395E0,-4.091591492E0,-3.047812042E0
3.785439583E-1,2.686613159E0,-4.088448029E0,-3.248993683E0
3.885369583E-1,2.701282654E0,-4.337080994E0,-3.581602020E0
3.985309583E-1,2.537672882E0,-4.769082642E0,-4.169878693E0
4.085239583E-1,2.299967194E0,-5.488037567E0,-4.965474243E0
4.185169583E-1,2.056723022E0,-6.544989624E0,-5.825585632E0
4.285109583E-1,1.442101135E0,-7.733069000E0,-6.297554169E0
4.385039583E-1,6.274951172E-1,-8.902886353E0,-6.335575104E0
4.484969583E-1,-5.777984619E-2,-9.966275024E0,-6.298751678E0
4.584909583E-1,-7.976911926E-1,-1.096065720E1,-6.957082672E0
4.684839583E-1,-1.755549316E0,-1.188408691E1,-8.100405121E0
4.784769583E-1,-2.571652222E0,-1.253493347E1,-8.756490784E0
4.884699583E-1,-2.515818329E0,-1.283910095E1,-8.695118408E0
4.984639583E-1,-1.645228729E0,-1.282158737E1,-7.971972198E0
5.084569583E-1,-2.484832764E-1,-1.264675095E1,-6.997199249E0
5.184499583E-1,1.020577698E0,-1.222462875E1,-6.336024170E0
5.284439583E-1,1.701212311E0,-1.149040558E1,-6.066285095E0
5.384369583E-1,2.364483032E0,-1.048539551E1,-6.019582214E0
5.484299583E-1,2.983745270E0,-9.959988098E0,-5.925577698E0
5.584239583E-1,3.539539490E0,-9.720186768E0,-5.366041260E0
5.684169583E-1,4.275708618E0,-9.548643494E0,-4.453389130E0
5.784099583E-1,4.824018402E0,-9.667047272E0,-3.294648743E0
5.884039583E-1,5.010231171E0,-1.086919739E1,-1.137783966E0
