"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.253754162E-2,-7.207596686E-1,-2.360969440E0,-7.767651772E-1
2.253154165E-2,5.730224562E-1,-8.073531318E-1,-9.523839605E-1
3.252454166E-2,1.579473281E0,4.577831912E-1,-1.021439577E0
4.251754162E-2,2.057754471E0,1.688378257E0,-2.298441070E-1
5.251154164E-2,2.666388810E0,2.483609526E0,1.350355983E-2
6.250454165E-2,3.301992553E0,2.811162946E0,5.592043161E-2
7.249754167E-2,4.095050704E0,2.350806980E0,-1.960395261E-1
8.249154163E-2,4.564699650E0,1.432515210E0,2.504866055E-1
9.248454164E-2,4.499023432E0,5.477063513E-1,7.392541925E-1
1.024775417E-1,3.720196819E0,-2.317918146E-1,7.891741383E-1
1.124715416E-1,2.151062585E0,-1.207588027E0,9.566793251E-1
1.224645416E-1,1.010324020E0,-1.867969639E0,1.259913736E0
1.324575417E-1,2.220706431E0,-1.771907487E0,1.600312757E0
1.424505417E-1,3.620838884E0,-1.750128363E0,1.404316428E0
1.524445416E-1,4.057838439E0,-2.018859962E0,1.459973442E0
1.624375416E-1,3.397541612E0,-2.519892084E0,2.482935050E0
1.724305417E-1,1.860805922E0,-3.170802961E0,3.663741952E0
1.824245416E-1,6.440298736E-1,-2.796882291E0,5.559237943E0
1.924175416E-1,-7.154541244E-1,-2.291147838E0,6.159969184E0
2.024105416E-1,-1.436167966E0,-1.449596096E0,3.585083452E0
2.124049583E-1,-1.860908833E0,-1.153611794E0,1.892215411E0
2.223979583E-1,-2.389172754E0,-8.825261056E-1,2.085018284E0
2.323909583E-1,-2.267100287E0,-2.508455515E-1,2.597721740E0
2.423849583E-1,-1.774037920E0,3.635278291E-1,2.746215582E0
2.523779583E-1,-1.508008904E0,6.094868624E-1,3.542335044E0
2.623709583E-1,-1.008873399E0,6.723467696E-1,3.737905696E0
2.723649583E-1,-7.713452469E-1,7.743491077E-1,3.278069547E0
2.823579583E-1,-7.451535945E-1,8.789224666E-1,2.822180269E0
2.923509583E-1,-8.490042376E-1,9.343815529E-1,2.825188077E0
3.023439583E-1,-8.160974235E-1,9.645169330E-1,2.959900617E0
3.123379583E-1,-4.193883267E-1,1.273239394E0,3.199175406E0
3.223309583E-1,6.141147874E-2,1.885373291E0,3.353705036E0
3.323239583E-1,5.271143581E-1,2.518766495E0,3.374662042E0
3.423179583E-1,1.028365458E0,3.128075017E0,3.192813635E0
3.523109583E-1,1.644786095E0,3.797968295E0,2.615425647E0
3.623039583E-1,1.926095348E0,4.279639117E0,1.981281077E0
3.722979583E-1,1.866788940E0,4.514393715E0,1.576720412E0
3.822909583E-1,1.820167189E0,4.573029594E0,1.274742129E0
3.922839583E-1,1.851604159E0,4.390341527E0,8.168358538E-1
4.022779583E-1,1.696542724E0,4.032252778E0,8.042669713E-2
4.122709583E-1,1.458451704E0,3.390878710E0,-8.797913629E-1
4.222639583E-1,1.211081957E0,2.411358406E0,-1.913447236E0
4.322579583E-1,5.994545022E-1,1.298845521E0,-2.562508346E0
4.422509583E-1,-1.951194667E-1,2.022201061E-1,-2.777986721E0
4.522439583E-1,-8.400078578E-1,-7.933455420E-1,-2.910302779E0
4.622379583E-1,-1.517950340E0,-1.731219052E0,-3.711345011E0
4.722309583E-1,-2.390975889E0,-2.614631596E0,-4.952461849E0
4.822239583E-1,-3.105087566E0,-3.244216508E0,-5.652603943E0
4.922169583E-1,-2.943944735E0,-3.544168146E0,-5.587543144E0
5.022109583E-1,-1.987788151E0,-3.535203195E0,-4.828436851E0
5.122039583E-1,-5.472488067E-1,-3.376600394E0,-3.801708759E0
5.221969583E-1,7.229418495E-1,-2.973379911E0,-3.086115690E0
5.321909583E-1,1.378701238E0,-2.257076113E0,-2.768145857E0
5.421839583E-1,2.002344794E0,-1.265770161E0,-2.687396394E0
5.521769583E-1,2.573057015E0,-7.456977510E-1,-2.584277237E0
5.621709583E-1,3.075316760E0,-4.983833331E-1,-2.052591088E0
5.721639583E-1,3.758622673E0,-3.045744467E-1,-1.210563090E0
5.821569583E-1,4.260215543E0,-3.844234389E-1,-1.719704130E-1
5.921509583E-1,4.405626149E0,-1.529749144E0,1.802497780E0
6.021439583E-1,4.157608311E0,-3.215085095E0,4.221584159E0
6.121369583E-1,3.559658589E0,-4.275001105E0,5.097110855E0
6.221299583E-1,3.060330931E0,-4.815611860E0,4.610326059E0
6.321239583E-1,2.611607708E0,-4.468376713E0,3.256390411E0
6.421169583E-1,1.714072385E0,-2.800611645E0,1.170952882E0
6.521099583E-1,9.985231698E-2,-8.587887490E-1,-2.661608126E0
6.621039583E-1,-8.547296119E-1,1.494879858E0,-4.009337540E0
6.720969583E-1,3.357888938E-1,3.485080862E0,-2.190176218E0
6.820899583E-1,1.274592148E0,4.090492800E0,4.802704132E-1
6.920839583E-1,8.174444027E-1,4.153882465E0,2.299635949E0
7.020769583E-1,1.319716573E-1,4.611733484E0,2.880893916E0
7.120699583E-1,-2.561223347E-1,4.893360533E0,4.101220686E0
7.220639583E-1,9.994382590E-2,4.309807241E0,5.539675498E0
7.320569583E-1,5.519911909E-1,2.701718271E0,5.075518842E0
7.420499583E-1,8.484330377E-1,8.335702926E-1,4.349365994E0
7.520439583E-1,9.369698229E-1,-8.288504201E-1,3.514311093E0
7.620369583E-1,8.299192911E-1,-2.161667095E0,2.879339726E0
7.720299583E-1,9.091704056E-1,-3.000724999E0,2.563729244E0
7.820239583E-1,7.453004327E-1,-3.249100687E0,2.399666898E0
7.920169583E-1,3.879171503E-1,-2.581831639E0,2.509180570E0
8.020099583E-1,3.646787804E-2,-1.604679458E0,2.657334981E0
8.120029583E-1,-3.479426605E-1,-8.903017330E-1,2.406575968E0
8.219969583E-1,-5.138614611E-1,-5.588681012E-1,2.373484236E0
8.319899583E-1,-5.720670211E-1,-4.288324571E-1,2.161750710E0
8.419829583E-1,-7.234105039E-1,-1.182979435E-1,1.495937765E0
8.519769583E-1,-9.284051138E-1,2.470612335E-1,9.315421450E-1
8.619699583E-1,-9.321221888E-1,3.584594625E-1,5.162459556E-1
8.719629583E-1,-7.475027865E-1,5.295530856E-1,4.360759878E-1
8.819569583E-1,-3.703187488E-1,8.054486936E-1,3.044072711E-1
8.919499583E-1,-1.648941492E-1,1.027839940E0,1.838294252E-1
9.019429583E-1,-5.905830335E-2,1.156839457E0,1.060895510E-1
9.119369583E-1,-9.998592585E-2,1.255895383E0,3.545283794E-2
9.219299583E-1,-2.104573712E-1,1.319800773E0,-2.363386095E-2
9.319229583E-1,-2.600207830E-1,1.290303909E0,-1.573462160E-1
9.419159583E-1,-3.905896933E-1,1.251000094E0,-3.595171873E-1
9.519099583E-1,-4.784346067E-1,1.200446237E0,-1.149013544E0
9.619029583E-1,-3.685420357E-1,1.146981052E0,-2.645333571E0
9.718959583E-1,-4.614897047E-1,1.144497154E0,-3.644668919E0
9.818899583E-1,-5.800081247E-1,1.222742840E0,-3.770148997E0
9.918829583E-1,-3.910731849E-1,1.113600467E0,-2.822494265E0
1.001875958E0,-2.177567428E-1,8.317839682E-1,-1.779382567E0
1.011869958E0,-4.537854499E-1,5.099999964E-1,-9.315205103E-1
1.021862958E0,-6.684218261E-1,1.931230080E-1,-1.124080431E0
1.031855958E0,-5.566104547E-1,-7.162546813E-2,-1.933264326E0
1.041849958E0,-4.451815278E-1,-8.010685444E-5,-2.482502064E0
1.051842958E0,-3.228499192E-1,1.049657071E-1,-3.058348140E0
1.061835958E0,-1.310007271E-1,3.199537933E-2,-3.563983190E0
1.071829958E0,5.165634960E-2,-1.632583541E-1,-3.828299557E0
1.081822958E0,1.199591740E-1,-3.848099399E-1,-3.960184675E0
1.091815958E0,3.747396458E-2,-7.627178264E-1,-3.960588718E0
1.101808958E0,-1.460070214E-1,-1.206432032E0,-3.865010716E0
1.111802958E0,-5.043615264E-1,-1.523302588E0,-3.734348835E0
1.121795958E0,-9.857584056E-1,-1.634544112E0,-3.712366228E0
1.131788958E0,-1.422024428E0,-1.791639501E0,-3.653472487E0
1.141782958E0,-1.696983312E0,-1.877966623E0,-3.442217263E0
1.151775958E0,-1.960485747E0,-1.892058998E0,-3.220660415E0
1.161768958E0,-2.169851735E0,-2.062178475E0,-3.085113770E0
1.171762958E0,-2.333925191E0,-2.103997176E0,-3.002906011E0
1.181755958E0,-2.282731356E0,-2.069018548E0,-3.144257771E0
1.191748958E0,-2.120957610E0,-2.020113021E0,-3.712445750E0
1.201742958E0,-1.856645044E0,-2.160093609E0,-4.252598083E0
1.211735417E0,-1.652067925E0,-2.689310480E0,-3.978407523E0
1.221728417E0,-1.769418327E0,-3.193889523E0,-3.246075922E0
1.231721417E0,-2.310289868E0,-3.360664977E0,-2.568621025E0
1.241715417E0,-3.114999474E0,-3.311657124E0,-2.076838029E0
1.251708417E0,-3.067065754E0,-3.124780696E0,-2.216722577E0
1.261701417E0,-1.993463166E0,-2.667067087E0,-2.259386348E0
1.271695417E0,-1.107208583E0,-2.503109406E0,-1.477856859E0
1.281688417E0,-2.534762138E-1,-2.224202482E0,-1.458529472E-1
1.291681417E0,7.759886670E-1,-1.144112992E0,8.723642296E-1
1.301675417E0,1.469405586E0,-3.056865871E-1,8.013889718E-1
1.311668417E0,1.861895259E0,-3.618379837E-1,8.007504559E-1
1.321661417E0,2.323924698E0,-1.868974775E-1,1.400768337E0
1.331655417E0,2.770765702E0,1.286820138E-1,2.135517762E0
1.341648417E0,3.024770797E0,1.195451546E-1,2.765730665E0
1.351641417E0,2.729708893E0,-1.532403195E-1,2.945070616E0
1.361635417E0,1.483278397E0,-7.024932593E-1,2.499922088E0
1.371628417E0,7.016030207E-1,-1.063501523E0,1.477719011E0
1.381621417E0,1.522711143E0,-1.044617355E0,-3.848871231E-2
1.391614417E0,2.480423086E0,-1.455232812E0,4.743673566E-1
1.401608417E0,2.998195201E0,-2.177020714E0,1.734392044E0
1.411601417E0,1.569247670E0,-2.799151011E0,3.925230020E0
1.421594417E0,-3.024089304E-1,-2.616319687E0,4.822617409E0
1.431588417E0,-1.819238066E0,-2.335343433E0,4.518440866E0
1.441581417E0,-3.566459486E0,-2.367676197E0,4.140442932E0
1.451574417E0,-4.617450891E0,-2.304321030E0,3.031678697E0
1.461568417E0,-4.179309667E0,-1.951811110E0,2.955297981E0
1.471561417E0,-3.415159273E0,-1.384592600E0,3.546527497E0
1.481554417E0,-2.996049273E0,-7.363696879E-1,4.027569158E0
1.491548417E0,-2.625092849E0,-2.082836688E-2,4.255979235E0
1.501541417E0,-2.101196652E0,6.090769726E-1,4.379637322E0
1.511534417E0,-1.717934470E0,1.062835525E0,4.103181843E0
1.521527417E0,-1.327273953E0,1.532185678E0,4.121174310E0
1.531521417E0,-1.017138950E0,1.904558591E0,4.288827431E0
1.541514417E0,-5.574583375E-1,2.135352286E0,4.482730458E0
1.551507417E0,-2.052736683E-1,2.272603979E0,4.681676708E0
1.561501417E0,1.097938992E-1,2.219795435E0,4.822127997E0
1.571494417E0,5.743699470E-1,2.239338584E0,4.602417700E0
1.581487417E0,1.119148305E0,2.419574913E0,4.167323459E0
1.591481417E0,2.027618068E0,2.635875115E0,3.435693524E0
1.601474417E0,2.771818201E0,2.939135107E0,2.689295862E0
1.611467417E0,3.060090318E0,3.447502561E0,2.199858769E0
1.621460417E0,3.094768108E0,4.058383400E0,1.825775838E0
1.631454417E0,3.018675951E0,4.503420830E0,1.517990393E0
1.641447417E0,2.989053957E0,4.626720482E0,1.133200918E0
1.651440417E0,2.894615577E0,4.442544883E0,5.503604025E-1
1.661434417E0,2.233212895E0,3.794949962E0,2.253224552E-2
1.671427417E0,1.405756743E0,2.617645835E0,-2.402077121E-1
1.681420417E0,8.408464216E-1,1.155655981E0,-4.648875582E-1
1.691414417E0,5.444305949E-1,-2.498047471E-1,-9.280519420E-1
1.701407417E0,-1.307291240E-3,-1.479839650E0,-1.830914079E0
1.711400417E0,-7.857111248E-1,-2.522362533E0,-2.940695729E0
1.721394417E0,-1.598338153E0,-3.470688525E0,-4.712850846E0
1.731387417E0,-2.598986785E0,-4.411330692E0,-7.362086556E0
1.741380417E0,-3.711277768E0,-4.898677406E0,-8.956614078E0
