"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686307600793113E9,"2023-06-09 12:46:40.793 UTC+02:00"
"PAUSE",3.169655029161368E1,1.686307632489882E9,"2023-06-09 12:47:12.490 UTC+02:00"
"START",3.169655029161368E1,1.686307640114979E9,"2023-06-09 12:47:20.115 UTC+02:00"
"PAUSE",7.374106741661672E1,1.686307682159785E9,"2023-06-09 12:48:02.160 UTC+02:00"
"START",7.374106741661672E1,1.686307705156763E9,"2023-06-09 12:48:25.157 UTC+02:00"
"PAUSE",1.039432104166481E2,1.686307735359113E9,"2023-06-09 12:48:55.359 UTC+02:00"
"START",1.039432104166481E2,1.686307762850942E9,"2023-06-09 12:49:22.851 UTC+02:00"
"PAUSE",1.080976361249923E2,1.686307767005396E9,"2023-06-09 12:49:27.005 UTC+02:00"
"START",1.080976361249923E2,1.686307776611293E9,"2023-06-09 12:49:36.611 UTC+02:00"
"PAUSE",1.254141196666751E2,1.686307793927896E9,"2023-06-09 12:49:53.928 UTC+02:00"
"START",1.254141196666751E2,1.686307827860460E9,"2023-06-09 12:50:27.860 UTC+02:00"
"PAUSE",1.872674511250225E2,1.686307889714217E9,"2023-06-09 12:51:29.714 UTC+02:00"
"START",1.872674511250225E2,1.686307902085978E9,"2023-06-09 12:51:42.086 UTC+02:00"
"PAUSE",2.027325236666948E2,1.686307917551157E9,"2023-06-09 12:51:57.551 UTC+02:00"
"START",2.027325236666948E2,1.686307921509691E9,"2023-06-09 12:52:01.510 UTC+02:00"
"PAUSE",2.182170118750073E2,1.686307936994286E9,"2023-06-09 12:52:16.994 UTC+02:00"
"START",2.182170118750073E2,1.686307938507630E9,"2023-06-09 12:52:18.508 UTC+02:00"
"PAUSE",2.192745370833436E2,1.686307939565162E9,"2023-06-09 12:52:19.565 UTC+02:00"
"START",2.192745370833436E2,1.686307940703444E9,"2023-06-09 12:52:20.703 UTC+02:00"
"PAUSE",2.382744037499651E2,1.686307959703441E9,"2023-06-09 12:52:39.703 UTC+02:00"
"START",2.382744037499651E2,1.686307965735990E9,"2023-06-09 12:52:45.736 UTC+02:00"
"PAUSE",2.810120510416455E2,1.686308008473931E9,"2023-06-09 12:53:28.474 UTC+02:00"
"START",2.810120510416455E2,1.686308018868769E9,"2023-06-09 12:53:38.869 UTC+02:00"
"PAUSE",2.926888386666542E2,1.686308030545637E9,"2023-06-09 12:53:50.546 UTC+02:00"
