"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.899291645E-3,-2.276166687E0,-9.677525482E0,-1.468446350E-1
1.189229166E-2,-2.255659332E0,-9.669142914E0,-2.005828857E-1
2.188529167E-2,-2.215393066E0,-9.616751862E0,-2.826123047E-1
3.187829169E-2,-2.240540771E0,-9.547745361E0,-3.860472107E-1
4.187129164E-2,-2.241438904E0,-9.427545319E0,-3.990701294E-1
5.186429166E-2,-2.231260071E0,-9.348958740E0,-2.924917603E-1
6.185729167E-2,-2.318378906E0,-9.337133331E0,-9.624984741E-2
7.185029169E-2,-2.424358521E0,-9.405391388E0,1.393601990E-1
8.184329164E-2,-2.512076111E0,-9.488019562E0,3.788621521E-1
9.183629166E-2,-2.503992920E0,-9.528585205E0,5.691165161E-1
1.018292917E-1,-2.460433502E0,-9.585616608E0,5.981561279E-1
1.118222917E-1,-2.432741089E0,-9.606872406E0,4.962181091E-1
1.218162916E-1,-2.523602142E0,-9.596843262E0,3.061134338E-1
1.318092917E-1,-2.659669189E0,-9.612261200E0,6.795867920E-2
1.418022917E-1,-2.715802460E0,-9.623188477E0,-1.800755310E-1
1.517952917E-1,-2.768193512E0,-9.567354584E0,-3.966751099E-1
1.617882916E-1,-2.861898651E0,-9.543254700E0,-5.471122742E-1
1.717812917E-1,-2.894530792E0,-9.512718201E0,-6.349795532E-1
1.817742917E-1,-2.872975616E0,-9.464518433E0,-6.578819275E-1
1.917672917E-1,-2.864593048E0,-9.451645203E0,-6.108796692E-1
2.017602916E-1,-2.759810944E0,-9.458680573E0,-5.861810303E-1
2.117532917E-1,-2.589614868E0,-9.495803375E0,-5.315446472E-1
2.217462917E-1,-2.417173462E0,-9.531279602E0,-5.062472534E-1
2.317392500E-1,-2.307751007E0,-9.539662170E0,-5.219645691E-1
2.417322500E-1,-2.284998322E0,-9.563163300E0,-5.547463989E-1
2.517252500E-1,-2.358046417E0,-9.520651703E0,-5.411247253E-1
2.617182500E-1,-2.465971985E0,-9.421108704E0,-4.581971741E-1
2.717112500E-1,-2.562970276E0,-9.346563721E0,-3.535647583E-1
2.817042500E-1,-2.610271912E0,-9.338630219E0,-2.475851440E-1
2.916972500E-1,-2.616708527E0,-9.414372711E0,-2.028282166E-1
3.016902500E-1,-2.584076385E0,-9.502539368E0,-1.528321838E-1
3.116832500E-1,-2.476599884E0,-9.563911743E0,-1.321751404E-1
3.216762500E-1,-2.387086029E0,-9.556576996E0,-1.215472412E-1
3.316692500E-1,-2.345322876E0,-9.473649445E0,-1.450483704E-1
3.416622500E-1,-2.363884277E0,-9.404642944E0,-1.567240906E-1
3.516552500E-1,-2.433040466E0,-9.414223022E0,-1.595681763E-1
3.616482500E-1,-2.505489807E0,-9.458381195E0,-1.291813660E-1
3.716412500E-1,-2.497556305E0,-9.391620026E0,-9.639953613E-2
3.816342500E-1,-2.481988678E0,-9.351952515E0,-7.589218140E-2
3.916272500E-1,-2.488574982E0,-9.379644928E0,-8.427474976E-2
4.016202500E-1,-2.567910004E0,-9.477840729E0,-1.393601990E-1
4.116132500E-1,-2.581831055E0,-9.554181976E0,-1.640588379E-1
4.216062500E-1,-2.602787476E0,-9.586963806E0,-1.919009399E-1
4.315992500E-1,-2.591261444E0,-9.576036530E0,-2.055226135E-1
4.415922500E-1,-2.540666656E0,-9.535171509E0,-2.029779053E-1
4.515852500E-1,-2.418969727E0,-9.541608124E0,-1.634600830E-1
4.615782500E-1,-2.298320618E0,-9.541608124E0,-1.589694214E-1
4.715712500E-1,-2.272424469E0,-9.536069641E0,-1.597178650E-1
4.815642500E-1,-2.247725830E0,-9.561217346E0,-2.167492676E-1
4.915582500E-1,-2.241887970E0,-9.581425323E0,-3.180885315E-1
5.015512500E-1,-2.253414001E0,-9.624685364E0,-4.363426208E-1
5.115442500E-1,-2.236948242E0,-9.650581512E0,-5.754034424E-1
5.215372500E-1,-2.214644623E0,-9.662406921E0,-7.035369873E-1
5.315302500E-1,-2.297871552E0,-9.644294586E0,-7.634124756E-1
5.415232500E-1,-2.393971710E0,-9.635313263E0,-7.750881958E-1
5.515162500E-1,-2.414928131E0,-9.588610382E0,-7.316784668E-1
5.615092500E-1,-2.371368713E0,-9.518256683E0,-6.301895142E-1
5.715022500E-1,-2.289488983E0,-9.492210846E0,-4.658312988E-1
5.814952500E-1,-2.211950226E0,-9.482481079E0,-3.610491943E-1
5.914882500E-1,-2.134112091E0,-9.502838745E0,-3.207829285E-1
6.014812500E-1,-2.045196991E0,-9.564211121E0,-3.501219177E-1
6.114742500E-1,-2.036515045E0,-9.646090851E0,-4.038601685E-1
6.214672500E-1,-2.073039093E0,-9.760153656E0,-4.418811035E-1
6.314602500E-1,-2.185605011E0,-9.815239105E0,-4.450245667E-1
6.414532500E-1,-2.324815521E0,-9.807305603E0,-4.153862000E-1
6.514462500E-1,-2.488574982E0,-9.727371826E0,-3.255729675E-1
6.614392500E-1,-2.706072693E0,-9.622589722E0,-2.517764282E-1
6.714322500E-1,-2.898273010E0,-9.527687073E0,-1.950444031E-1
6.814252500E-1,-2.961890717E0,-9.414073334E0,-1.875599670E-1
6.914182500E-1,-3.000061340E0,-9.323062592E0,-2.234852600E-1
7.014112500E-1,-3.045417023E0,-9.253607025E0,-2.742297363E-1
7.114042500E-1,-3.055296478E0,-9.256451111E0,-3.037184143E-1
7.213972500E-1,-3.003204803E0,-9.314081268E0,-2.891986084E-1
7.313902500E-1,-2.953059082E0,-9.382339325E0,-2.610571289E-1
7.413832500E-1,-2.916085968E0,-9.469757538E0,-1.784289551E-1
7.513762500E-1,-2.891836395E0,-9.540410614E0,-1.026864624E-1
7.613692500E-1,-2.913391571E0,-9.588760071E0,-8.083190918E-3
7.713622500E-1,-2.976859589E0,-9.568851471E0,6.676116943E-2
7.813552500E-1,-3.085084534E0,-9.517807617E0,3.263214111E-2
7.913482500E-1,-3.228785706E0,-9.522447968E0,-7.858657837E-2
8.013412500E-1,-3.391946411E0,-9.524693298E0,-2.733316040E-1
8.113342500E-1,-3.487148438E0,-9.453291779E0,-5.120851135E-1
8.213272500E-1,-3.504811707E0,-9.352850647E0,-7.068301392E-1
8.313202500E-1,-3.463647308E0,-9.347461853E0,-8.098159790E-1
8.413132500E-1,-3.414848785E0,-9.444609833E0,-8.237370300E-1
8.513062500E-1,-3.384911041E0,-9.629475403E0,-7.782316589E-1
8.612992500E-1,-3.371439056E0,-9.838740234E0,-7.511380005E-1
8.712922500E-1,-3.331472168E0,-9.987979889E0,-8.405021667E-1
8.812852500E-1,-3.228186951E0,-1.005489075E1,-1.131946106E0
8.912782500E-1,-2.980901184E0,-1.000938538E1,-1.709445190E0
9.012722500E-1,-2.655178528E0,-9.861043854E0,-2.408192139E0
9.112652500E-1,-2.378853149E0,-9.653126221E0,-2.966830444E0
9.212582500E-1,-2.370320892E0,-9.544901276E0,-3.083288269E0
9.312512500E-1,-2.559377747E0,-9.678124237E0,-2.838397522E0
9.412442500E-1,-2.851121063E0,-9.698182526E0,-2.389780426E0
9.512372500E-1,-3.275338898E0,-9.682465210E0,-1.923500061E0
9.612302500E-1,-3.527414703E0,-9.714348907E0,-1.535357208E0
9.712232500E-1,-3.690575409E0,-9.791288910E0,-1.383423157E0
9.812162500E-1,-3.757336578E0,-9.830806732E0,-1.512005768E0
9.912092500E-1,-3.736829224E0,-9.884694672E0,-1.735940094E0
1.001202250E0,-3.736529846E0,-9.872569885E0,-2.075883179E0
1.011195250E0,-4.182452545E0,-9.514664154E0,-2.286195831E0
1.021188250E0,-4.427343292E0,-9.037007446E0,-2.235750732E0
1.031181250E0,-4.335284729E0,-8.684939575E0,-1.838776245E0
1.041174250E0,-4.167483673E0,-8.500523071E0,-1.310824127E0
1.051167250E0,-3.809278564E0,-8.281229095E0,-7.888595581E-1
1.061160250E0,-3.289110260E0,-8.254584503E0,-4.056564331E-1
1.071153250E0,-2.863395538E0,-8.444389801E0,-2.712359619E-1
1.081146250E0,-2.618804169E0,-8.703351288E0,-3.335064697E-1
1.091139250E0,-2.379751282E0,-8.973240051E0,-6.014492798E-1
1.101132250E0,-2.069446564E0,-9.138646088E0,-9.859996033E-1
1.111125250E0,-1.876198425E0,-9.161548462E0,-1.368454285E0
1.121118250E0,-1.717977448E0,-9.158704376E0,-1.692380676E0
1.131111250E0,-1.660197601E0,-9.063652039E0,-1.950893097E0
1.141104250E0,-1.633403320E0,-9.042396240E0,-2.159259796E0
1.151097250E0,-1.594184875E0,-9.010362854E0,-2.361189880E0
1.161090250E0,-1.630110168E0,-8.999435577E0,-2.630779266E0
1.171083250E0,-1.769470367E0,-8.920100555E0,-2.988385620E0
1.181076250E0,-1.808838501E0,-8.853189697E0,-3.370540924E0
1.191069250E0,-1.996847534E0,-8.822802887E0,-3.633843384E0
1.201062250E0,-2.276466064E0,-8.884774017E0,-3.756288757E0
1.211055250E0,-2.468666382E0,-8.805738373E0,-3.654500427E0
1.221048250E0,-2.612068176E0,-8.527467041E0,-3.466341705E0
1.231041375E0,-2.865491180E0,-8.563092957E0,-3.319197693E0
1.241034375E0,-3.118614807E0,-8.758736115E0,-3.365301819E0
1.251027375E0,-3.261268158E0,-8.829688568E0,-3.679199066E0
1.261020375E0,-3.329526215E0,-9.016500092E0,-4.089944916E0
1.271013375E0,-3.429518280E0,-9.025780792E0,-4.555776215E0
1.281006375E0,-3.503913574E0,-8.816815338E0,-4.639601898E0
1.290999375E0,-3.439397736E0,-8.401129761E0,-4.032015381E0
1.300992375E0,-3.316802673E0,-7.959398346E0,-3.160976715E0
1.310985375E0,-3.133733368E0,-7.587870941E0,-2.136806488E0
1.320978375E0,-2.811453552E0,-7.475903778E0,-1.155147858E0
1.330971375E0,-2.484084320E0,-7.499255219E0,-5.312452698E-1
1.340964375E0,-2.260449371E0,-7.651488647E0,-3.872447205E-1
1.350957375E0,-1.929188232E0,-7.864495697E0,-6.752458191E-1
1.360951375E0,-1.622775421E0,-8.027357025E0,-1.244811401E0
1.370943375E0,-1.447340240E0,-8.186326447E0,-1.896107025E0
1.380937375E0,-1.474733276E0,-8.345595245E0,-2.529140625E0
1.390930375E0,-1.702709198E0,-8.412805481E0,-3.118465118E0
1.400923375E0,-2.136058044E0,-8.339008942E0,-3.593577118E0
1.410916375E0,-2.633323975E0,-8.346792755E0,-3.869902496E0
1.420909375E0,-3.112178192E0,-8.346493378E0,-3.813769226E0
1.430902375E0,-3.511547699E0,-8.344397736E0,-3.547772369E0
1.440895375E0,-3.726051636E0,-8.283025360E0,-3.192111969E0
1.450888375E0,-3.756588135E0,-8.263116760E0,-2.957998810E0
1.460881375E0,-3.672463074E0,-8.205486603E0,-2.889441376E0
1.470874375E0,-3.479514313E0,-8.124205627E0,-2.969973907E0
1.480867375E0,-3.258124695E0,-8.103997650E0,-3.096161499E0
1.490860375E0,-3.109184418E0,-8.121960297E0,-3.109932861E0
1.500853375E0,-2.993175659E0,-8.081993408E0,-3.158282318E0
1.510846375E0,-2.875520325E0,-8.095016327E0,-3.282523956E0
1.520839375E0,-2.819536743E0,-8.132288818E0,-3.385060730E0
1.530832375E0,-2.832260284E0,-8.124505005E0,-3.412753143E0
1.540825375E0,-2.903362427E0,-8.149353333E0,-3.430566101E0
1.550818375E0,-3.090323639E0,-8.162376251E0,-3.486399994E0
1.560811375E0,-3.197201385E0,-8.096812592E0,-3.506458282E0
1.570804375E0,-3.165167999E0,-8.032895508E0,-3.386108551E0
1.580797375E0,-3.199297028E0,-8.155789948E0,-3.235970764E0
1.590790375E0,-3.286116486E0,-8.787775726E0,-3.005001068E0
1.600783375E0,-3.636837158E0,-1.016985168E1,-2.711910553E0
1.610776375E0,-4.490212555E0,-1.234393066E1,-2.811603241E0
1.620769375E0,-6.040089569E0,-1.524340118E1,-3.654350739E0
1.630762375E0,-7.151528320E0,-1.761297363E1,-5.103187866E0
1.640755375E0,-6.304439850E0,-1.688638458E1,-6.214776306E0
1.650748375E0,-3.918850708E0,-1.294388306E1,-5.876030731E0
1.660741375E0,-2.588417358E0,-9.302106171E0,-3.274740143E0
1.670734375E0,-2.608475647E0,-7.628286896E0,-1.083746338E-1
