"Time (s)","X (hPa)"
-5.814823750E-1,1.015591888E3
4.189096250E-1,1.015593796E3
1.419272625E0,1.015595703E3
2.419637625E0,1.015598602E3
3.420025625E0,1.015600204E3
3.777812625E0,1.015609589E3
4.844919625E0,1.015610123E3
5.911988625E0,1.015610275E3
6.979018625E0,1.015610504E3
8.046060625E0,1.015610504E3
9.113116625E0,1.015604782E3
1.018019362E1,1.015598526E3
1.124720362E1,1.015598526E3
1.231422662E1,1.015598526E3
1.338128562E1,1.015598984E3
1.444828162E1,1.015600662E3
1.551527162E1,1.015602493E3
1.658232162E1,1.015602493E3
1.764933462E1,1.015601273E3
1.871635162E1,1.015599747E3
1.978337762E1,1.015598679E3
2.085039862E1,1.015596848E3
2.191738862E1,1.015595551E3
2.298438362E1,1.015594940E3
2.405142462E1,1.015592575E3
2.511848062E1,1.015587311E3
2.618554063E1,1.015587311E3
2.725253162E1,1.015589218E3
2.831953162E1,1.015594711E3
2.938659263E1,1.015606079E3
3.045360262E1,1.015614090E3
3.152064463E1,1.015625687E3
3.258767862E1,1.015631104E3
3.365472862E1,1.015631104E3
3.472179362E1,1.015627518E3
3.578883462E1,1.015625000E3
3.685587462E1,1.015619736E3
3.792291462E1,1.015615616E3
3.898996262E1,1.015614548E3
4.005700962E1,1.015613556E3
4.112405762E1,1.015613403E3
4.219107762E1,1.015610733E3
4.325808762E1,1.015610275E3
4.432507462E1,1.015608597E3
4.539204462E1,1.015608215E3
4.645904362E1,1.015603409E3
4.752604762E1,1.015603409E3
4.859300162E1,1.015603409E3
4.965997462E1,1.015602875E3
5.072693762E1,1.015602875E3
5.179395963E1,1.015608597E3
5.286092262E1,1.015608597E3
5.392792663E1,1.015606995E3
5.499494562E1,1.015603943E3
5.606193562E1,1.015600891E3
5.712886962E1,1.015600815E3
5.819572762E1,1.015599136E3
5.926261262E1,1.015598526E3
6.239110829E1,1.015571213E3
6.339128529E1,1.015572662E3
6.439145429E1,1.015571213E3
6.539161629E1,1.015574036E3
6.639178729E1,1.015645218E3
6.674980129E1,1.015648041E3
6.967519550E1,1.015592117E3
7.067537750E1,1.015589600E3
7.167559850E1,1.015592117E3
7.267581450E1,1.015596466E3
7.367604250E1,1.015607300E3
7.403391750E1,1.015616455E3
7.510073350E1,1.015622101E3
7.616760550E1,1.015625839E3
7.723446650E1,1.015627975E3
7.830133950E1,1.015629272E3
7.936824050E1,1.015629272E3
8.043513450E1,1.015627975E3
8.150201450E1,1.015625000E3
8.256889050E1,1.015621643E3
8.363575650E1,1.015618057E3
8.470265350E1,1.015614929E3
8.576953850E1,1.015613708E3
8.683644450E1,1.015613556E3
8.790329450E1,1.015612183E3
8.897016550E1,1.015611420E3
9.003703750E1,1.015610275E3
9.110392850E1,1.015609436E3
9.217083650E1,1.015609436E3
9.323777450E1,1.015609512E3
9.430465250E1,1.015610886E3
9.537153650E1,1.015613251E3
9.643846250E1,1.015614700E3
9.750535650E1,1.015614700E3
9.857225250E1,1.015615158E3
9.963911350E1,1.015616150E3
1.007059465E2,1.015618286E3
1.017728395E2,1.015620346E3
1.028397185E2,1.015621490E3
1.039066405E2,1.015623322E3
1.049735495E2,1.015623322E3
1.060404145E2,1.015622711E3
1.071072905E2,1.015620422E3
1.081741655E2,1.015619507E3
1.092410385E2,1.015618134E3
1.103079255E2,1.015615921E3
1.113748255E2,1.015615921E3
1.124416875E2,1.015617447E3
1.135085465E2,1.015618744E3
1.145753925E2,1.015620651E3
1.156422525E2,1.015620651E3
1.167090855E2,1.015620346E3
1.177759265E2,1.015620346E3
1.188427775E2,1.015621948E3
1.199095855E2,1.015623932E3
1.209764505E2,1.015625458E3
1.220432735E2,1.015625687E3
1.231100995E2,1.015625687E3
1.241769965E2,1.015625305E3
1.252438615E2,1.015624466E3
1.263107035E2,1.015623932E3
1.273775395E2,1.015623779E3
1.284443975E2,1.015622940E3
1.295112055E2,1.015622482E3
1.305780385E2,1.015619812E3
1.316448825E2,1.015619812E3
1.327116935E2,1.015617828E3
