"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.064329169E-2,1.088476479E-1,-4.234021902E-2,3.998206556E-2
2.063629165E-2,1.207320094E-1,-6.401462108E-2,3.709892556E-2
3.062929166E-2,8.865812421E-2,-5.643982440E-2,3.682130575E-2
4.062229168E-2,3.153917938E-2,-2.989929356E-2,4.503928870E-2
5.061529169E-2,-4.860519990E-2,2.672784775E-2,5.215054378E-2
6.060829165E-2,-1.380357444E-1,1.004494727E-1,6.144817173E-2
7.060129166E-2,-1.900021434E-1,1.529292464E-1,7.791010290E-2
8.059429168E-2,-1.737893373E-1,1.376759857E-1,9.217318892E-2
9.058729169E-2,-8.265715092E-2,4.753682762E-2,1.002819538E-1
1.005802916E-1,4.142564908E-2,-8.575358987E-2,9.268128872E-2
1.105732917E-1,1.516693383E-1,-1.850634366E-1,6.989430636E-2
1.205662917E-1,2.042286843E-1,-1.994567513E-1,5.795988441E-2
1.305592917E-1,2.240300030E-1,-1.523156911E-1,5.562905222E-2
1.405522916E-1,2.270484269E-1,-8.743655682E-2,5.037996173E-2
1.505452917E-1,2.117679119E-1,-1.120178122E-2,4.881346226E-2
1.605382917E-1,1.787284762E-1,6.343197823E-2,5.795343220E-2
1.705312917E-1,1.498086751E-1,1.355767101E-1,6.351473182E-2
1.805242916E-1,1.238689572E-1,1.866326928E-1,6.839870661E-2
1.905172917E-1,1.098573208E-1,2.167086303E-1,7.671258599E-2
2.005102917E-1,1.059565842E-1,2.418621778E-1,7.977441698E-2
2.105032917E-1,1.103944182E-1,2.647810876E-1,6.866360456E-2
2.204962916E-1,1.176003963E-1,2.886043787E-1,5.051522329E-2
2.304892500E-1,1.188353896E-1,3.172207475E-1,3.424049541E-2
2.404822500E-1,9.138271958E-2,3.728256822E-1,1.782050915E-2
2.504752500E-1,4.166942835E-2,4.278529882E-1,5.806789268E-3
2.604682500E-1,1.126465481E-2,4.434918761E-1,6.329301279E-3
2.704612500E-1,1.069764607E-2,4.012311101E-1,1.553264912E-2
2.804542500E-1,2.120887674E-2,3.442506492E-1,1.769007556E-2
2.904482500E-1,3.131539747E-2,3.002417088E-1,3.067141771E-2
3.004412500E-1,4.196964204E-2,2.796533704E-1,3.829711303E-2
3.104342500E-1,5.464840308E-2,2.620094419E-1,3.589156643E-2
3.204272500E-1,6.447174400E-2,2.497658432E-1,3.432616219E-2
3.304202500E-1,6.630019099E-2,2.360717058E-1,3.755006567E-2
3.404132500E-1,5.205121264E-2,2.271413207E-1,4.157383740E-2
3.504062500E-1,2.623112686E-2,2.210509628E-1,5.040604994E-2
3.603992500E-1,9.556543082E-3,1.979317963E-1,6.299640983E-2
3.703922500E-1,1.078532543E-2,1.601005197E-1,7.720917463E-2
3.803852500E-1,3.147968277E-2,1.108469516E-1,8.547083288E-2
3.903782500E-1,6.230780482E-2,6.640160084E-2,9.426108003E-2
4.003712500E-1,8.266714215E-2,4.689128697E-2,1.006899551E-1
4.103642500E-1,9.497391433E-2,5.802549049E-2,1.049025655E-1
4.203572500E-1,9.521679580E-2,8.542196453E-2,1.054722145E-1
4.303502500E-1,9.025114030E-2,1.174804941E-1,1.042786092E-1
4.403432500E-1,9.362803400E-2,1.416348368E-1,1.059188470E-1
4.503362500E-1,1.074568555E-1,1.489756107E-1,1.028827056E-1
4.603292500E-1,1.330807358E-1,1.424228996E-1,9.769540280E-2
4.703222500E-1,1.600176841E-1,1.306374371E-1,9.025093913E-2
4.803152500E-1,1.779152006E-1,1.215683073E-1,8.497601748E-2
4.903082500E-1,1.922507584E-1,1.069880500E-1,8.488734066E-2
5.003012500E-1,1.912520826E-1,9.613993019E-2,8.007847518E-2
5.102942500E-1,1.921272427E-1,8.339294791E-2,7.602959871E-2
5.202872500E-1,1.876360923E-1,7.105345279E-2,7.200662792E-2
5.302802500E-1,1.591497660E-1,7.647801936E-2,6.702773273E-2
5.402732500E-1,1.146664545E-1,8.712453395E-2,7.320120186E-2
5.502662500E-1,6.955803186E-2,7.927383482E-2,8.038834482E-2
5.602592500E-1,4.981415719E-2,4.020818695E-2,8.886039257E-2
5.702522500E-1,5.224609748E-2,-7.940480486E-3,8.996876329E-2
5.802452500E-1,5.900280178E-2,-5.262912437E-2,8.727125078E-2
5.902382500E-1,5.836918578E-2,-8.046358824E-2,7.975367457E-2
6.002312500E-1,5.163671449E-2,-8.148704469E-2,7.360523939E-2
6.102242500E-1,3.306490555E-2,-7.339271158E-2,6.119162589E-2
6.202172500E-1,6.489487831E-3,-6.489642709E-2,4.894907400E-2
6.302102500E-1,-2.763306163E-2,-7.102196664E-2,3.193759918E-2
6.402032500E-1,-4.520246759E-2,-1.015175581E-1,1.604704931E-2
6.501962500E-1,-5.418716744E-2,-1.397382170E-1,7.131410763E-3
6.601892500E-1,-4.828400537E-2,-1.672811508E-1,1.338557806E-2
6.701822500E-1,-3.824213147E-2,-1.833508909E-1,2.300221659E-2
6.801752500E-1,-2.760387026E-2,-1.863541454E-1,2.824278548E-2
6.901682500E-1,-2.850709856E-2,-1.798792928E-1,2.754010446E-2
7.001622500E-1,-3.536580130E-2,-1.684234291E-1,3.294685110E-2
7.101552500E-1,-5.426947400E-2,-1.484876871E-1,3.935494274E-2
7.201482500E-1,-8.298660070E-2,-1.219519526E-1,4.064870626E-2
7.301412500E-1,-1.194480211E-1,-9.333586693E-2,3.952598199E-2
7.401342500E-1,-1.525881290E-1,-8.041394502E-2,3.921439126E-2
7.501272500E-1,-1.697466969E-1,-8.031947166E-2,3.282969818E-2
7.601202500E-1,-1.599518657E-1,-1.003445834E-1,2.509587817E-2
7.701132500E-1,-1.292363107E-1,-1.224644482E-1,1.816774905E-2
7.801062500E-1,-8.531891555E-2,-1.356457621E-1,1.777306944E-2
7.900992500E-1,-5.464025587E-2,-1.174854934E-1,1.934259757E-2
8.000922500E-1,-4.608964548E-2,-6.860450655E-2,2.493763342E-2
8.100852500E-1,-6.780755520E-2,1.367249247E-2,2.856953070E-2
8.200782500E-1,-1.139161959E-1,1.101881117E-1,2.830534615E-2
8.300712500E-1,-1.713712513E-1,2.191157937E-1,2.574976906E-2
8.400642500E-1,-2.282353342E-1,3.227585554E-1,2.644804865E-2
8.500572500E-1,-2.634401619E-1,4.205688834E-1,2.598999254E-2
8.600502500E-1,-2.849963307E-1,4.942313731E-1,2.505176142E-2
8.700432500E-1,-2.651404142E-1,5.363966227E-1,1.339267753E-2
8.800362500E-1,-2.343859673E-1,5.733929873E-1,-8.077460341E-3
8.900292500E-1,-2.218501121E-1,6.499461532E-1,-4.737485945E-2
9.000222500E-1,-2.657541931E-1,7.861562371E-1,-1.065335199E-1
9.100152500E-1,-3.744348586E-1,9.887771010E-1,-1.748619676E-1
9.200082500E-1,-5.137296319E-1,1.232623100E0,-2.381943315E-1
9.300012500E-1,-6.443049312E-1,1.465636134E0,-2.789359689E-1
9.399942500E-1,-7.210968733E-1,1.627544880E0,-2.961911261E-1
9.499872500E-1,-7.299872041E-1,1.712401152E0,-3.004610240E-1
9.599802500E-1,-6.833541989E-1,1.728419542E0,-2.947272360E-1
9.699732500E-1,-6.282959580E-1,1.689156175E0,-2.613427043E-1
9.799662500E-1,-5.765011907E-1,1.575752854E0,-2.212240696E-1
9.899592500E-1,-5.250788331E-1,1.385598302E0,-1.781566143E-1
9.999522500E-1,-5.034960508E-1,1.138029456E0,-1.320029646E-1
1.009945250E0,-5.354251862E-1,8.755434752E-1,-4.288248718E-2
1.019938250E0,-6.079598069E-1,6.796514392E-1,4.767244309E-2
1.029931250E0,-6.798636913E-1,5.578971505E-1,1.383669674E-1
1.039924250E0,-7.151718736E-1,4.848408401E-1,2.306276560E-1
1.049917250E0,-7.299656868E-1,4.501269162E-1,2.917498946E-1
1.059910250E0,-7.481817007E-1,4.260128140E-1,3.076995611E-1
1.069903250E0,-7.522727251E-1,4.187112153E-1,3.101393282E-1
1.079896250E0,-7.304909825E-1,4.207810163E-1,3.089036345E-1
1.089889250E0,-6.556743979E-1,4.376795292E-1,2.984824479E-1
1.099882250E0,-5.530313849E-1,4.664967954E-1,2.630269825E-1
1.109875250E0,-4.452532232E-1,4.800872505E-1,2.200089544E-1
1.119868250E0,-3.489112556E-1,4.556665719E-1,1.853380650E-1
1.129862250E0,-2.883818448E-1,4.136718214E-1,1.582732499E-1
1.139855250E0,-2.472866029E-1,3.875043988E-1,1.256692261E-1
1.149848250E0,-2.314248085E-1,3.889802694E-1,8.604024351E-2
1.159841250E0,-2.425104827E-1,3.905510008E-1,5.893246830E-2
1.169834250E0,-2.779466212E-1,3.583377600E-1,4.085400328E-2
1.179827250E0,-3.359153867E-1,3.057951629E-1,2.017615363E-2
1.189820250E0,-4.128489196E-1,2.284977585E-1,1.825773343E-2
1.199813250E0,-4.905003011E-1,1.472854614E-1,2.851010486E-2
1.209806250E0,-5.530899167E-1,5.457721651E-2,4.786914960E-2
1.219799250E0,-6.009528041E-1,-2.985138074E-2,7.321045548E-2
1.229792250E0,-6.107314229E-1,-1.238455623E-1,1.025095806E-1
1.239785375E0,-5.727656484E-1,-2.239724249E-1,1.318030208E-1
1.249778375E0,-4.939481020E-1,-2.954599857E-1,1.499833465E-1
1.259771375E0,-4.233881831E-1,-3.025184274E-1,1.609805971E-1
1.269764375E0,-3.898547590E-1,-2.116973996E-1,1.825398654E-1
1.279757375E0,-4.080595970E-1,-1.034971550E-1,2.066590488E-1
1.289750375E0,-4.479527771E-1,-6.536597013E-2,2.553075254E-1
1.299743375E0,-4.856809974E-1,-1.050744951E-1,3.065249026E-1
1.309736375E0,-4.707245231E-1,-1.698489189E-1,3.378888965E-1
1.319729375E0,-3.830652535E-1,-1.857591867E-1,3.244433701E-1
1.329722375E0,-2.307421863E-1,-1.777677238E-1,2.954830527E-1
1.339715375E0,-5.575918779E-2,-1.386344284E-1,2.492148876E-1
1.349708375E0,1.083155945E-1,-7.003539801E-2,1.956520081E-1
1.359701375E0,2.354391962E-1,3.262249054E-3,1.336182058E-1
1.369694375E0,3.300308585E-1,3.280351311E-2,7.064941525E-2
1.379687375E0,3.982341588E-1,6.127162371E-3,1.716089249E-2
1.389680375E0,4.178464711E-1,-9.352535009E-2,-2.686178498E-2
1.399673375E0,3.872014880E-1,-2.372226119E-1,-5.523643270E-2
1.409666375E0,3.054280579E-1,-3.769784272E-1,-6.655851007E-2
1.419659375E0,2.176681012E-1,-4.841535985E-1,-5.397639796E-2
1.429652375E0,1.688453555E-1,-5.654234886E-1,-2.491575107E-2
1.439645375E0,1.788156927E-1,-6.169388890E-1,1.544312295E-2
1.449638375E0,2.274233550E-1,-6.421278119E-1,3.768129274E-2
1.459631375E0,2.869338393E-1,-6.417655945E-1,4.900052771E-2
1.469624375E0,3.363839090E-1,-5.825011730E-1,4.947358742E-2
1.479617375E0,3.841522336E-1,-4.802139103E-1,4.666022584E-2
1.489610375E0,4.531140924E-1,-3.567954004E-1,4.010816291E-2
1.499603375E0,5.323908329E-1,-2.300933897E-1,2.776840702E-2
