"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.064329169E-2,2.186598453E-1,-1.932797134E-1,1.001815518E-1
2.063629165E-2,2.433277863E-1,-1.856654692E-1,3.356656272E-2
3.062929166E-2,2.873348084E-1,-1.339743286E-1,-6.039002499E-2
4.062229168E-2,2.661018142E-1,-6.583847880E-2,-1.708907064E-1
5.061529169E-2,2.697706497E-1,5.314768195E-2,-1.836750587E-1
6.060829165E-2,2.850026464E-1,1.301666218E-1,-6.729907673E-2
7.060129166E-2,2.035281283E-1,1.400384760E-1,1.472738572E-1
8.059429168E-2,1.041959211E-1,6.944621086E-2,4.038905740E-1
9.058729169E-2,2.449807942E-2,-1.574304342E-2,6.579263663E-1
1.005802916E-1,4.109510869E-2,-5.863120079E-2,8.494764733E-1
1.105732917E-1,9.226204634E-2,-1.173378307E-1,8.656451941E-1
1.205662917E-1,1.261191791E-1,-1.396625000E-1,7.417321694E-1
1.305592917E-1,4.053377599E-2,-1.304513812E-1,5.268516719E-1
1.405522916E-1,-9.052893162E-2,-1.466879296E-1,2.643070296E-1
1.505452917E-1,-1.423086575E-1,-1.583624804E-1,-5.970007181E-3
1.605382917E-1,-1.899339366E-1,-1.035062420E-1,-2.408889127E-1
1.705312917E-1,-2.779719543E-1,-8.074303150E-2,-4.046694231E-1
1.805242916E-1,-3.045592439E-1,-5.172330022E-2,-5.018057084E-1
1.905172917E-1,-2.764771137E-1,-5.226826072E-3,-5.309891617E-1
2.005102917E-1,-2.610428032E-1,5.768278241E-3,-4.885641038E-1
2.105032917E-1,-1.495118424E-1,-3.079728484E-3,-4.676240551E-1
2.204962916E-1,2.597245485E-2,-4.161697268E-2,-4.167860234E-1
2.304892500E-1,2.021990561E-1,-7.810067475E-2,-3.948963869E-1
2.404822500E-1,3.137691933E-1,-8.706621051E-2,-4.116568458E-1
2.504752500E-1,3.372393322E-1,-1.108199394E-1,-4.399445057E-1
2.604682500E-1,2.642397684E-1,-6.843756616E-2,-4.171239924E-1
2.704612500E-1,1.566688344E-1,3.086452782E-2,-3.238094473E-1
2.804542500E-1,6.069614500E-2,1.050037140E-1,-2.108810019E-1
2.904482500E-1,1.532321334E-2,1.123092252E-1,-9.890448332E-2
3.004412500E-1,1.160263002E-2,3.574461401E-2,-4.994691610E-2
3.104342500E-1,4.728672534E-2,-5.331608176E-2,2.766920719E-3
3.204272500E-1,1.576461965E-1,-1.155111605E-1,2.458523948E-2
3.304202500E-1,2.503301194E-1,-1.090634358E-1,3.538850030E-2
3.404132500E-1,2.955176944E-1,-2.710125983E-2,1.241950432E-2
3.504062500E-1,2.810110447E-1,4.073462784E-2,2.886203919E-3
3.603992500E-1,2.169992360E-1,2.964421391E-2,4.022902641E-3
