"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.064329169E-2,3.826298523E1,1.910639191E1,2.127844238E1
2.063629165E-2,3.839289856E1,1.911960602E1,2.127064514E1
3.062929166E-2,3.842333984E1,1.913618469E1,2.125505066E1
4.062229168E-2,3.853683472E1,1.903793526E1,2.094782257E1
5.061529169E-2,3.851899719E1,1.916501236E1,2.093807983E1
6.060829165E-2,3.837921143E1,1.919119263E1,2.118341827E1
7.060129166E-2,3.861341858E1,1.894213867E1,2.113677216E1
8.059429168E-2,3.860504150E1,1.901125336E1,2.113876343E1
9.058729169E-2,3.842031860E1,1.927169800E1,2.112685394E1
1.005802916E-1,3.846003723E1,1.900944901E1,2.110079956E1
1.105732917E-1,3.842321777E1,1.886164856E1,2.135257721E1
1.205662917E-1,3.841606140E1,1.885906792E1,2.110040283E1
1.305592917E-1,3.840974426E1,1.887635422E1,2.087903595E1
1.405522916E-1,3.853596497E1,1.902414322E1,2.087497711E1
1.505452917E-1,3.865655518E1,1.888428116E1,2.068047333E1
1.605382917E-1,3.865655518E1,1.888428116E1,2.068047333E1
1.705312917E-1,3.870855713E1,1.898179626E1,2.058994293E1
1.805242916E-1,3.865119934E1,1.895188141E1,2.045441437E1
1.905172917E-1,3.861178589E1,1.886370277E1,2.067017365E1
2.005102917E-1,3.856378174E1,1.884193420E1,2.079615021E1
2.105032917E-1,3.868595886E1,1.883601379E1,2.090803528E1
2.204962916E-1,3.848945618E1,1.886774063E1,2.094576263E1
2.304892500E-1,3.843980408E1,1.906652451E1,2.106975555E1
2.404822500E-1,3.853425598E1,1.917884827E1,2.124095917E1
2.504752500E-1,3.845281982E1,1.926815796E1,2.127107239E1
2.604682500E-1,3.818458557E1,1.918852997E1,2.130771637E1
2.704612500E-1,3.830200195E1,1.917429733E1,2.157403564E1
2.804542500E-1,3.812834167E1,1.897423744E1,2.171689606E1
2.904482500E-1,3.804782104E1,1.906860542E1,2.179754639E1
3.004412500E-1,3.798498535E1,1.915121078E1,2.189021301E1
3.104342500E-1,3.789625549E1,1.911317825E1,2.200583649E1
3.204272500E-1,3.795434570E1,1.905850220E1,2.187245941E1
3.304202500E-1,3.789709473E1,1.896991348E1,2.181758881E1
3.404132500E-1,3.783941650E1,1.887291718E1,2.219502258E1
3.504062500E-1,3.789320374E1,1.887077904E1,2.206247711E1
3.603992500E-1,3.768119812E1,1.891113663E1,2.211816406E1
3.703922500E-1,3.779806519E1,1.882295036E1,2.231924438E1
3.803852500E-1,3.782781982E1,1.875582504E1,2.244166565E1
3.903782500E-1,3.778846741E1,1.878790474E1,2.248056793E1
4.003712500E-1,3.789036560E1,1.881188202E1,2.264308929E1
4.103642500E-1,3.778054810E1,1.864759636E1,2.264234161E1
4.203572500E-1,3.778054810E1,1.864759636E1,2.264234161E1
4.303502500E-1,3.790713501E1,1.875438309E1,2.272346497E1
4.403432500E-1,3.797595215E1,1.859548187E1,2.260401154E1
4.503362500E-1,3.793446350E1,1.859948921E1,2.252403259E1
4.603292500E-1,3.764968872E1,1.861650085E1,2.266296387E1
4.703222500E-1,3.781623840E1,1.857492828E1,2.263830566E1
4.803152500E-1,3.769538879E1,1.851010895E1,2.264869690E1
4.903082500E-1,3.784049988E1,1.858732986E1,2.254472351E1
5.003012500E-1,3.767799377E1,1.863144493E1,2.254292297E1
5.102942500E-1,3.777781677E1,1.868391037E1,2.279870605E1
5.202872500E-1,3.775395203E1,1.862926292E1,2.269425964E1
5.302802500E-1,3.766499329E1,1.872091675E1,2.275535583E1
5.402732500E-1,3.775231934E1,1.871154594E1,2.283608246E1
5.502662500E-1,3.772782898E1,1.870128250E1,2.254788208E1
5.602592500E-1,3.771228027E1,1.856182289E1,2.251394653E1
5.702522500E-1,3.767098999E1,1.869605637E1,2.273886108E1
5.802452500E-1,3.768824768E1,1.866027069E1,2.265631104E1
5.902382500E-1,3.774578857E1,1.845635986E1,2.268892670E1
6.002312500E-1,3.780010986E1,1.860511780E1,2.245130920E1
6.102242500E-1,3.775767517E1,1.848788643E1,2.256578827E1
6.202172500E-1,3.779133606E1,1.859433365E1,2.253509521E1
6.302102500E-1,3.768756104E1,1.851825333E1,2.239442444E1
6.402032500E-1,3.786109924E1,1.858084869E1,2.239827728E1
6.501962500E-1,3.788093567E1,1.840107346E1,2.230668640E1
6.601892500E-1,3.792674255E1,1.839027596E1,2.239674377E1
6.701822500E-1,3.789913940E1,1.840044403E1,2.238736725E1
6.801752500E-1,3.789913940E1,1.840044403E1,2.238736725E1
6.901682500E-1,3.804473877E1,1.833530807E1,2.242817688E1
7.001622500E-1,3.806169128E1,1.834693146E1,2.207526398E1
7.101552500E-1,3.811561584E1,1.836029434E1,2.198328400E1
7.201482500E-1,3.803869629E1,1.827927780E1,2.195699310E1
7.301412500E-1,3.839677429E1,1.825259781E1,2.222997284E1
