"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686308189332152E9,"2023-06-09 12:56:29.332 UTC+02:00"
"PAUSE",6.295403758331668E1,1.686308252286623E9,"2023-06-09 12:57:32.287 UTC+02:00"
"START",6.295403758331668E1,1.686308260203162E9,"2023-06-09 12:57:40.203 UTC+02:00"
"PAUSE",7.024603616667446E1,1.686308267495211E9,"2023-06-09 12:57:47.495 UTC+02:00"
"START",7.024603616667446E1,1.686308277080792E9,"2023-06-09 12:57:57.081 UTC+02:00"
"PAUSE",1.364295190833509E2,1.686308343264730E9,"2023-06-09 12:59:03.265 UTC+02:00"
"START",1.364295190833509E2,1.686308354034297E9,"2023-06-09 12:59:14.034 UTC+02:00"
"PAUSE",1.451799335833639E2,1.686308362784771E9,"2023-06-09 12:59:22.785 UTC+02:00"
"START",1.451799335833639E2,1.686308375786820E9,"2023-06-09 12:59:35.787 UTC+02:00"
"PAUSE",2.081097657500650E2,1.686308438717085E9,"2023-06-09 13:00:38.717 UTC+02:00"
"START",2.081097657500650E2,1.686308452599840E9,"2023-06-09 13:00:52.600 UTC+02:00"
"PAUSE",2.308376413334045E2,1.686308475338933E9,"2023-06-09 13:01:15.339 UTC+02:00"
"START",2.308376413334045E2,1.686308491598639E9,"2023-06-09 13:01:31.599 UTC+02:00"
"PAUSE",2.526134773750673E2,1.686308513375771E9,"2023-06-09 13:01:53.376 UTC+02:00"
"START",2.526134773750673E2,1.686308527594692E9,"2023-06-09 13:02:07.595 UTC+02:00"
"PAUSE",2.602857913750922E2,1.686308535267214E9,"2023-06-09 13:02:15.267 UTC+02:00"
"START",2.602857913750922E2,1.686308567301301E9,"2023-06-09 13:02:47.301 UTC+02:00"
"PAUSE",3.055082408334129E2,1.686308612524330E9,"2023-06-09 13:03:32.524 UTC+02:00"
"START",3.055082408334129E2,1.686308629096758E9,"2023-06-09 13:03:49.097 UTC+02:00"
"PAUSE",3.123048036667169E2,1.686308635893448E9,"2023-06-09 13:03:55.893 UTC+02:00"
"START",3.123048036667169E2,1.686308644860322E9,"2023-06-09 13:04:04.860 UTC+02:00"
"PAUSE",3.372514227083302E2,1.686308669807458E9,"2023-06-09 13:04:29.807 UTC+02:00"
"START",3.372514227083302E2,1.686308705673733E9,"2023-06-09 13:05:05.674 UTC+02:00"
"PAUSE",3.861523225416313E2,1.686308754575675E9,"2023-06-09 13:05:54.576 UTC+02:00"
"START",3.861523225416313E2,1.686308762477154E9,"2023-06-09 13:06:02.477 UTC+02:00"
"PAUSE",3.940450997499283E2,1.686308770370100E9,"2023-06-09 13:06:10.370 UTC+02:00"
"START",3.940450997499283E2,1.686308784213115E9,"2023-06-09 13:06:24.213 UTC+02:00"
"PAUSE",4.561552464582492E2,1.686308846324586E9,"2023-06-09 13:07:26.325 UTC+02:00"
