"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.444691664E-2,-2.478527278E-1,6.442278028E-1,3.791530132E-1
2.444091666E-2,-1.512045413E-1,4.976718426E-1,3.010836542E-1
3.443491663E-2,-3.305181116E-2,2.776007056E-1,2.397334576E-1
4.442891665E-2,1.039640680E-1,1.120041162E-1,1.791845709E-1
5.442291667E-2,2.172386944E-1,2.905330993E-2,1.125008762E-1
6.441691663E-2,2.847416401E-1,1.283324324E-2,2.353348024E-2
7.441091666E-2,3.092674911E-1,1.800803281E-2,-6.921669841E-2
8.440591663E-2,3.110878468E-1,2.098322473E-2,-1.462566257E-1
9.439991665E-2,3.086305559E-1,1.495649107E-2,-2.026184350E-1
1.043939167E-1,3.138045967E-1,-1.019691117E-4,-2.312643081E-1
1.143879166E-1,3.214188218E-1,-3.806639463E-2,-2.363107204E-1
1.243819167E-1,3.281374276E-1,-8.359766006E-2,-2.332320809E-1
1.343759166E-1,3.289355636E-1,-1.330906302E-1,-2.234966308E-1
1.443699166E-1,3.198170066E-1,-1.880644411E-1,-2.016383111E-1
1.543649167E-1,2.986070514E-1,-2.494455129E-1,-1.615129858E-1
1.643589166E-1,2.548166811E-1,-2.928867042E-1,-1.160637140E-1
1.743529167E-1,1.880570799E-1,-2.974865139E-1,-8.887949586E-2
1.843469166E-1,1.032555327E-1,-2.516286671E-1,-7.136973739E-2
1.943409166E-1,-1.397911459E-3,-1.678837091E-1,-3.838515282E-2
2.043349167E-1,-1.033261046E-1,-5.988080427E-2,4.138299730E-3
2.143289166E-1,-2.007232308E-1,4.202851653E-2,4.234267771E-2
2.243229166E-1,-2.648679316E-1,1.094925925E-1,6.880754977E-2
2.343179166E-1,-3.211839497E-1,1.469496936E-1,7.631633431E-2
2.443119166E-1,-3.421459794E-1,1.485949606E-1,8.432821929E-2
2.543059167E-1,-3.372297883E-1,1.341017783E-1,9.280985594E-2
2.642999166E-1,-3.035937250E-1,1.191516072E-1,9.982987493E-2
2.742939166E-1,-2.479850501E-1,1.071250364E-1,9.532274306E-2
2.842879167E-1,-1.765598804E-1,9.517125040E-2,8.283960074E-2
2.942819166E-1,-9.127932042E-2,7.228671014E-2,5.890684202E-2
3.042769167E-1,5.047710147E-3,4.298828915E-2,1.897613890E-2
3.142709166E-1,6.402368098E-2,-8.202235401E-2,-3.253232688E-2
3.242649166E-1,1.495536268E-1,-1.901511252E-1,-3.330405802E-2
3.342589166E-1,2.493681014E-1,-1.918491572E-1,-1.841326058E-2
3.442529166E-1,2.894421518E-1,-1.641316861E-1,-3.334901482E-2
3.542469167E-1,2.835765481E-1,-1.482920051E-1,-5.815156922E-2
3.642409166E-1,2.635582685E-1,-1.452337354E-1,-7.609710097E-2
3.742359166E-1,2.410422862E-1,-1.375814080E-1,-7.837224007E-2
3.842299166E-1,2.173505127E-1,-1.156175137E-1,-6.369978189E-2
3.942239166E-1,1.855688840E-1,-8.391764015E-2,-5.034003407E-2
4.042179167E-1,1.451558769E-1,-4.483041167E-2,-3.298280761E-2
4.142119166E-1,1.041413322E-1,-4.750368651E-3,-2.221404761E-2
4.242059166E-1,6.351411343E-2,2.211345546E-2,-1.868334413E-2
4.341999167E-1,2.609776892E-2,2.408286370E-2,-6.340124644E-3
4.441949166E-1,-1.278199605E-3,1.342162117E-2,-4.328647628E-4
4.541889167E-1,-2.897400968E-2,1.358033391E-3,5.656186491E-3
4.641829166E-1,-5.194859952E-2,-6.981132319E-4,3.847037442E-3
4.741769166E-1,-6.385026872E-2,-1.833951450E-3,3.808687907E-3
4.841709167E-1,-6.603796035E-2,-2.970292233E-3,-7.342072204E-4
4.941649166E-1,-4.863340035E-2,-1.002234314E-2,-4.945197608E-3
5.041589167E-1,-1.844223589E-2,-2.177491225E-2,-9.448338300E-3
5.141539166E-1,1.573810540E-2,-3.378363699E-2,-1.657389104E-2
5.241479166E-1,4.919828847E-2,-4.305477813E-2,-2.793256380E-2
5.341419167E-1,8.679386228E-2,-4.662767425E-2,-3.796522319E-2
5.441359166E-1,1.271180958E-1,-5.065600574E-2,-5.583370477E-2
5.541299167E-1,1.619988531E-1,-6.074299663E-2,-7.273332030E-2
5.641239166E-1,1.917808950E-1,-8.694529533E-2,-8.285193145E-2
5.741179166E-1,2.074498683E-1,-1.268000305E-1,-9.151306003E-2
5.841119167E-1,2.118612379E-1,-1.676213890E-1,-9.408904612E-2
5.941069166E-1,2.063665986E-1,-2.024068087E-1,-9.710108489E-2
6.041009167E-1,1.854354888E-1,-2.243778110E-1,-9.760212898E-2
6.140949166E-1,1.588824391E-1,-2.394947112E-1,-9.311763197E-2
6.240889166E-1,1.328780055E-1,-2.267268002E-1,-7.905949652E-2
6.340829167E-1,1.030146480E-1,-1.937749684E-1,-6.381503493E-2
6.440769166E-1,7.681028545E-2,-1.469912380E-1,-4.509841278E-2
6.540709166E-1,5.654042587E-2,-1.019742265E-1,-3.096048906E-2
6.640659166E-1,3.902561590E-2,-6.219884753E-2,-1.018277369E-2
6.740599166E-1,2.079441398E-2,-3.421222046E-2,2.787885722E-3
6.840539167E-1,1.083589066E-2,-7.633431815E-3,1.481763832E-2
6.940479166E-1,-5.323453806E-4,8.779630065E-3,2.161562257E-2
7.040419166E-1,-1.852376573E-2,1.900413819E-2,2.192330733E-2
7.140359167E-1,-3.143317252E-2,1.980255358E-2,2.038319968E-2
7.240299166E-1,-3.534066305E-2,6.999764591E-3,1.338123064E-2
7.340239167E-1,-4.027230293E-2,-1.937537803E-3,6.639172323E-3
7.440189166E-1,-3.726478666E-2,-1.720901579E-2,-3.348418977E-3
7.540129166E-1,-3.221436962E-2,-2.528345399E-2,-1.108543389E-2
7.640069167E-1,-2.185335010E-2,-1.753513888E-2,-1.041970681E-2
7.740009166E-1,-1.259779930E-2,-7.179704029E-3,-9.611437097E-3
7.839949167E-1,-1.032819040E-3,1.355103496E-2,-1.228378061E-2
7.939889166E-1,1.179695874E-2,4.875269905E-2,-1.703352667E-2
8.039829166E-1,1.647686400E-2,6.610187143E-2,-2.187987231E-2
8.139779167E-1,1.742255315E-2,6.137848645E-2,-2.433610521E-2
8.239719166E-1,2.170874737E-2,3.783346713E-2,-1.928739995E-2
8.339659167E-1,2.625369653E-2,1.996951550E-2,-2.271462232E-2
8.439599166E-1,2.954979055E-2,8.502567187E-3,-2.278331853E-2
8.539539166E-1,2.574892715E-2,7.108935155E-3,-2.594315819E-2
8.639479167E-1,1.577948406E-2,1.193236187E-2,-2.626541443E-2
8.739419166E-1,-3.504996421E-3,3.154707327E-2,-2.488696203E-2
8.839369167E-1,-2.388091199E-2,4.641098529E-2,-2.213237807E-2
8.939305416E-1,-4.598168656E-2,6.079445034E-2,-2.196007222E-2
9.039245417E-1,-6.264790893E-2,6.640252471E-2,-1.320371311E-2
