"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.444691664E-2,4.554779053E0,4.078691864E1,1.609086609E1
2.444091666E-2,4.583106995E0,4.069795990E1,1.619344330E1
3.443491663E-2,4.637695312E0,4.072402954E1,1.631850433E1
4.442891665E-2,4.906814575E0,4.064159775E1,1.629793549E1
5.442291667E-2,4.949157715E0,4.053466034E1,1.623110199E1
6.441691663E-2,4.884101868E0,4.064323044E1,1.623110962E1
7.441091666E-2,4.733283997E0,4.073266220E1,1.611723328E1
8.440591663E-2,4.769767761E0,4.069650650E1,1.613012695E1
9.439991665E-2,4.849418640E0,4.077050781E1,1.622779083E1
1.043939167E-1,4.718009949E0,4.081927490E1,1.601217651E1
1.143879166E-1,4.549690247E0,4.088249588E1,1.568036652E1
1.243819167E-1,4.404426575E0,4.087378693E1,1.551315308E1
1.343759166E-1,4.210174561E0,4.115038681E1,1.561074066E1
1.443699166E-1,4.319396973E0,4.102467728E1,1.535927582E1
1.543649167E-1,4.251846313E0,4.113319778E1,1.500620270E1
1.643589166E-1,4.242546082E0,4.109392548E1,1.503286743E1
1.743529167E-1,4.227966309E0,4.124491501E1,1.506360626E1
1.843469166E-1,4.223251343E0,4.130755997E1,1.481961823E1
1.943409166E-1,4.175186157E0,4.121200562E1,1.476284790E1
2.043349167E-1,4.024993896E0,4.119235229E1,1.478942871E1
2.143289166E-1,3.938911438E0,4.132324982E1,1.498479462E1
2.243229166E-1,4.061271667E0,4.131041336E1,1.498313904E1
2.343179166E-1,4.024185181E0,4.118640900E1,1.507476807E1
2.443119166E-1,4.024185181E0,4.118640900E1,1.507476807E1
2.543059167E-1,3.949554443E0,4.091421890E1,1.545323944E1
2.642999166E-1,3.959571838E0,4.073820114E1,1.535057068E1
2.742939166E-1,3.984748840E0,4.072732544E1,1.554011536E1
2.842879167E-1,4.071525574E0,4.064619064E1,1.565692902E1
2.942819166E-1,4.130813599E0,4.066963577E1,1.578926849E1
3.042769167E-1,4.162261963E0,4.075318909E1,1.546892548E1
3.142709166E-1,4.187248230E0,4.073773575E1,1.589989471E1
3.242649166E-1,4.276634216E0,4.067896652E1,1.589504242E1
3.342589166E-1,4.121620178E0,4.081510925E1,1.584382629E1
3.442529166E-1,4.237335205E0,4.065635300E1,1.571826935E1
3.542469167E-1,4.257179260E0,4.078663254E1,1.533793640E1
3.642409166E-1,4.375801086E0,4.086107635E1,1.510103607E1
