"Time (s)","X (hPa)"
-5.723835001E-1,1.015228271E3
4.278994999E-1,1.015222473E3
1.428184500E0,1.015216751E3
2.428451500E0,1.015210571E3
3.428711500E0,1.015207520E3
3.786573500E0,1.015207520E3
4.853469500E0,1.015208435E3
5.920385500E0,1.015211105E3
6.987308500E0,1.015216217E3
8.054220500E0,1.015220795E3
9.121112500E0,1.015222092E3
1.018798550E1,1.015224152E3
1.125488850E1,1.015224380E3
1.232176650E1,1.015224380E3
1.338866950E1,1.015223312E3
1.445555650E1,1.015220642E3
1.552242050E1,1.015219955E3
1.658932450E1,1.015219955E3
1.765620050E1,1.015219955E3
1.872307050E1,1.015220490E3
1.978989950E1,1.015223312E3
2.085675550E1,1.015224152E3
2.192360950E1,1.015224152E3
2.299047650E1,1.015223999E3
2.405732750E1,1.015223999E3
2.512420750E1,1.015223846E3
2.619104450E1,1.015223846E3
2.725794250E1,1.015223846E3
2.832480450E1,1.015222931E3
2.939158850E1,1.015222931E3
3.045837250E1,1.015222702E3
3.152508350E1,1.015219650E3
3.259188150E1,1.015219116E3
3.365869050E1,1.015217667E3
3.472542350E1,1.015215225E3
3.579223750E1,1.015212631E3
3.685904650E1,1.015212173E3
3.792580050E1,1.015212021E3
3.899256850E1,1.015211639E3
4.005929350E1,1.015212021E3
4.112604050E1,1.015214691E3
4.219276150E1,1.015216904E3
4.325954450E1,1.015220184E3
4.432634750E1,1.015221634E3
4.680312337E1,1.015314255E3
4.780319337E1,1.015333099E3
4.880323337E1,1.015314255E3
4.980328637E1,1.015312271E3
5.080339937E1,1.015300598E3
5.116160737E1,1.015300598E3
5.222841237E1,1.015300827E3
5.329520737E1,1.015312271E3
5.436198037E1,1.015311813E3
5.542880737E1,1.015311813E3
5.649562737E1,1.015311737E3
5.756240737E1,1.015309448E3
5.862924137E1,1.015301437E3
5.969608137E1,1.015292664E3
6.076290637E1,1.015290985E3
6.182975037E1,1.015285721E3
6.289659537E1,1.015284042E3
6.396340437E1,1.015284042E3
6.503021537E1,1.015287857E3
6.609707037E1,1.015294266E3
6.716394737E1,1.015297318E3
6.823082337E1,1.015303192E3
6.929765337E1,1.015304413E3
7.036449437E1,1.015306702E3
7.143137237E1,1.015308151E3
7.249818937E1,1.015311432E3
7.356503237E1,1.015311737E3
7.463186437E1,1.015311432E3
7.569869237E1,1.015309906E3
7.676548137E1,1.015309906E3
7.783227837E1,1.015309906E3
7.889910637E1,1.015308838E3
7.996587637E1,1.015308609E3
8.103263037E1,1.015308609E3
8.209944137E1,1.015307999E3
8.316620337E1,1.015307999E3
8.423299637E1,1.015303421E3
8.529980437E1,1.015291214E3
8.811296858E1,1.015145950E3
8.911315258E1,1.015190735E3
9.011337758E1,1.015235519E3
9.111358658E1,1.015241547E3
9.315043858E1,1.015226898E3
9.415058258E1,1.015264969E3
9.515072758E1,1.015279465E3
9.615087358E1,1.015286331E3
9.715100958E1,1.015286331E3
9.818288788E1,1.015134659E3
