"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.183837501E-2,3.720623255E-1,3.087224960E-1,6.166287065E-1
2.183237497E-2,2.695474029E-1,2.762971818E-1,7.628405094E-1
3.182537499E-2,1.470013112E-1,9.300578386E-2,8.107495308E-1
4.181837500E-2,7.155528758E-3,-1.747201979E-1,7.471916080E-1
5.181137496E-2,-1.176901981E-1,-4.267791510E-1,6.060876846E-1
6.180437497E-2,-2.457392514E-1,-5.780799985E-1,4.268867075E-1
7.179737499E-2,-4.171902239E-1,-5.704774857E-1,2.887499034E-1
8.179037500E-2,-6.538075805E-1,-4.011239111E-1,3.455223739E-1
9.178337496E-2,-9.040650129E-1,-8.712459356E-2,6.059434414E-1
1.017763750E-1,-1.092323899E0,3.896664679E-1,8.022251129E-1
1.117693750E-1,-1.249703765E0,9.016922116E-1,8.171079159E-1
1.217623750E-1,-1.507777214E0,1.164351702E0,7.068170905E-1
1.317553750E-1,-1.848878860E0,1.268338561E0,4.636217356E-1
1.417483750E-1,-2.264584064E0,1.209640861E0,1.127033979E-1
1.517413750E-1,-2.700657606E0,9.870179892E-1,-3.144686520E-1
1.617343750E-1,-3.051785946E0,5.733078718E-1,-7.218326926E-1
1.717283750E-1,-3.208902359E0,-7.947977632E-2,-1.060884953E0
1.817213750E-1,-3.173970938E0,-1.055545926E0,-1.422864795E0
1.917143750E-1,-3.054633141E0,-2.250399590E0,-1.761293292E0
2.017073750E-1,-3.063125610E0,-3.381772280E0,-2.115597725E0
2.117003750E-1,-3.326106787E0,-4.113576889E0,-2.534432650E0
2.216933750E-1,-3.672102451E0,-4.289049625E0,-2.567938328E0
2.316863750E-1,-3.892106771E0,-3.766654491E0,-1.956400990E0
2.416793750E-1,-3.751569510E0,-2.746672153E0,-1.191953063E0
2.516723750E-1,-3.347405910E0,-1.824921250E0,-7.558683157E-1
2.616653750E-1,-2.776872158E0,-1.122208714E0,-7.211135626E-1
2.716583750E-1,-2.125611782E0,-4.394556880E-1,-8.764942884E-1
2.816513750E-1,-1.553573728E0,3.209843636E-1,-9.874431491E-1
2.916443750E-1,-1.045457006E0,1.106840372E0,-8.629388213E-1
3.016373750E-1,-7.941259146E-1,1.585432887E0,-6.211682558E-1
3.116303750E-1,-9.091483951E-1,1.332025886E0,-3.351174295E-1
3.216233750E-1,-1.204122543E0,4.250643253E-1,-5.639471486E-2
3.316173750E-1,-1.370056033E0,-5.069495440E-1,1.893150806E-1
3.416103750E-1,-1.331549406E0,-9.556748867E-1,3.502062261E-1
3.516033750E-1,-1.145751476E0,-8.687208295E-1,3.746438920E-1
3.615963750E-1,-9.719724059E-1,-4.873100817E-1,2.739761472E-1
3.715893750E-1,-8.574286699E-1,-1.532406807E-1,9.589099139E-2
3.815823750E-1,-7.627410293E-1,2.235404029E-2,-4.390285537E-2
3.915753750E-1,-6.604798436E-1,1.432669312E-1,-1.864162832E-1
4.015683750E-1,-5.327693224E-1,2.613000870E-1,-3.668422401E-1
4.115613750E-1,-3.518965542E-1,4.377385676E-1,-5.460325480E-1
4.215543750E-1,-1.379272938E-1,6.007059216E-1,-6.634913087E-1
4.315473750E-1,7.558111101E-2,6.965340972E-1,-6.675739288E-1
4.415403750E-1,2.851172984E-1,6.402979493E-1,-5.141066313E-1
4.515333750E-1,4.608278275E-1,3.977622390E-1,-3.222880960E-1
4.615263750E-1,6.276267171E-1,1.145806164E-1,-1.313935369E-1
4.715193750E-1,8.142907023E-1,-7.101414353E-2,-1.741243154E-2
4.815123750E-1,1.044531941E0,-1.980304271E-1,3.916136920E-2
4.915053750E-1,1.326858640E0,-3.628922999E-1,1.841384768E-1
5.014983750E-1,1.646215558E0,-5.574375391E-1,4.205142856E-1
5.114923750E-1,1.953073621E0,-7.544766665E-1,6.525414586E-1
5.214853750E-1,2.211226940E0,-8.568164110E-1,8.270810246E-1
5.314783750E-1,2.417704105E0,-8.228745461E-1,1.015309572E0
5.414713750E-1,2.497814894E0,-7.333680987E-1,1.190446138E0
5.514643750E-1,2.409586191E0,-6.388116479E-1,1.285284519E0
5.614573750E-1,2.130212545E0,-4.492302239E-1,1.250366807E0
5.714503750E-1,1.526145935E0,-1.026865169E-1,1.057276249E0
5.814433750E-1,6.358728409E-1,1.492154896E-1,9.322938919E-1
5.914363750E-1,-2.053454220E-1,1.088247448E-1,8.979284763E-1
6.014293750E-1,-6.378819346E-1,-2.920960486E-1,8.093176484E-1
6.114223750E-1,-5.771685839E-1,-8.596228957E-1,6.119112968E-1
6.214153750E-1,-1.428875029E-1,-1.275819063E0,3.280499876E-1
6.314083750E-1,4.482963383E-1,-1.350251198E0,1.172740832E-1
6.414013750E-1,1.029110670E0,-1.207038641E0,1.863512024E-2
6.513943750E-1,1.460796356E0,-9.680385590E-1,-3.482813388E-2
6.613883750E-1,1.714916587E0,-8.059971929E-1,-1.774846166E-1
6.713813750E-1,2.262020350E0,-1.222103715E0,-6.662915945E-1
6.813743750E-1,2.846331835E0,-2.095602989E0,-1.436321735E0
6.913673750E-1,2.939833879E0,-2.848811626E0,-1.951913714E0
7.013603750E-1,2.487575531E0,-3.089592218E0,-1.826993585E0
7.113533750E-1,1.823326468E0,-3.333083391E0,-9.320221543E-1
7.213462917E-1,1.258937955E0,-3.622972250E0,9.814314544E-2
7.313392917E-1,8.836643100E-1,-3.552154779E0,7.129169703E-1
7.413322916E-1,6.916333437E-1,-3.318547964E0,8.139232397E-1
7.513252916E-1,5.622573495E-1,-2.983448505E0,6.890297532E-1
7.613182917E-1,4.047638774E-1,-2.553566217E0,5.558610559E-1
7.713112917E-1,2.406355441E-1,-2.050422668E0,5.032495260E-1
7.813042916E-1,1.244045272E-1,-1.489781618E0,4.490808249E-1
7.912972916E-1,-1.154095749E-3,-9.995891452E-1,2.988272309E-1
8.012902917E-1,-1.360408068E-1,-6.629831195E-1,1.032990310E-2
8.112832917E-1,-3.239637315E-1,-3.799807727E-1,-3.208972514E-1
8.212762916E-1,-5.121051669E-1,-1.084690839E-1,-5.022332072E-1
8.312702916E-1,-6.598388553E-1,-1.448397636E-1,-5.132985711E-1
8.412632917E-1,-6.768929362E-1,-3.444122672E-1,-2.923925221E-1
8.512562917E-1,-4.985072315E-1,-5.871230960E-1,7.420891523E-2
8.612492916E-1,-2.005042881E-1,-6.408017278E-1,3.063026071E-1
8.712422916E-1,1.494370401E-1,-7.427601814E-1,3.815278709E-1
8.812352917E-1,4.961491823E-1,-9.219624400E-1,3.564379811E-1
8.912282917E-1,7.675063014E-1,-1.036079168E0,3.304566741E-1
9.012212916E-1,9.882323146E-1,-1.084237337E0,3.328037262E-1
9.112142916E-1,1.164535999E0,-1.160914779E0,3.645471632E-1
9.212072917E-1,1.254246354E0,-1.196728349E0,4.113735259E-1
9.312002917E-1,1.275138378E0,-1.214634776E0,5.024120212E-1
9.411932916E-1,1.226893663E0,-1.176409364E0,6.197564602E-1
9.511862916E-1,1.104926825E0,-1.064371586E0,7.246096134E-1
9.611792917E-1,9.552416801E-1,-9.091408849E-1,7.886943221E-1
9.711722917E-1,8.213401437E-1,-8.141044974E-1,7.810996175E-1
9.811652916E-1,7.271543145E-1,-7.639108300E-1,7.076674700E-1
9.911582916E-1,6.722780466E-1,-7.090094686E-1,6.402659416E-1
1.001152292E0,6.398255229E-1,-6.288661361E-1,6.134458184E-1
1.011145292E0,6.460831165E-1,-5.180307627E-1,6.103513241E-1
1.021138292E0,7.031269670E-1,-4.057247043E-1,5.808858275E-1
1.031131292E0,8.312913775E-1,-2.868258953E-1,5.584520698E-1
1.041124292E0,1.533984065E0,-1.152401604E-2,4.426786005E-1
1.051117292E0,2.766758204E0,2.019410282E-1,2.234093994E-1
1.061110292E0,3.533406019E0,-1.235366762E-1,2.925484255E-2
1.071103292E0,3.594018459E0,-9.927418828E-1,-9.851059318E-2
1.081096292E0,2.857854843E0,-2.386168957E0,-2.030782849E-1
1.091089292E0,1.568634391E0,-3.485027313E0,-2.809864283E-1
1.101082292E0,4.052670896E-1,-3.656259537E0,-2.362956703E-1
1.111075292E0,-3.808304965E-1,-3.153368711E0,-2.463204041E-2
1.121068292E0,-6.937255263E-1,-2.293918610E0,1.840812266E-1
1.131061292E0,-5.141556263E-1,-1.281503677E0,3.281782269E-1
1.141054292E0,-1.294472348E-2,-4.896771312E-1,3.976773918E-1
1.151047292E0,5.636603236E-1,-5.020604469E-3,4.054177105E-1
1.161041292E0,9.485015273E-1,2.663392723E-1,3.498327434E-1
1.171034292E0,1.016223192E0,4.046643674E-1,2.571648955E-1
1.181027292E0,8.380837440E-1,4.356654286E-1,1.200999916E-1
1.191020292E0,5.120438933E-1,4.125784636E-1,6.118421257E-2
1.201013292E0,2.006961107E-1,3.914982080E-1,1.064230576E-1
1.211006292E0,-2.254215069E-2,3.773725927E-1,1.205263212E-1
1.220999292E0,-2.022538483E-1,2.623091042E-1,9.851822257E-2
1.230992292E0,-3.620280027E-1,8.246018738E-2,7.557943463E-2
1.240985292E0,-4.676803946E-1,3.767860308E-2,1.298466623E-1
1.250978292E0,-6.588038206E-1,9.149817377E-2,2.839163542E-1
1.260971292E0,-9.094808102E-1,2.650609016E-1,5.751966834E-1
1.270964292E0,-1.139050722E0,5.884184241E-1,7.486832142E-1
1.280957292E0,-1.424470544E0,9.611536860E-1,7.268594503E-1
1.290950292E0,-1.817894220E0,1.158163428E0,6.895534396E-1
1.300943292E0,-2.233307362E0,1.220184445E0,5.640245676E-1
1.310936292E0,-2.667246103E0,1.293720722E0,2.854773700E-1
1.320929292E0,-3.098454237E0,1.222301722E0,-1.643014997E-1
1.330923292E0,-3.441169739E0,7.640802860E-1,-6.430248022E-1
1.340916292E0,-3.601794004E0,-1.709250361E-2,-1.161633849E0
1.350909292E0,-3.496152639E0,-1.074245930E0,-1.681667805E0
1.360902292E0,-3.185398102E0,-2.516779184E0,-2.160179853E0
1.370895292E0,-3.061897039E0,-3.789842367E0,-2.532065630E0
1.380888292E0,-3.489205360E0,-4.418710232E0,-2.818954706E0
1.390881292E0,-4.115320683E0,-4.252317905E0,-2.990918875E0
1.400874292E0,-4.662615776E0,-3.635752678E0,-2.519880295E0
1.410867292E0,-4.940872669E0,-2.688770294E0,-1.655076146E0
1.420860292E0,-4.640540123E0,-1.573419809E0,-1.195744514E0
1.430853292E0,-3.954497814E0,-8.455450535E-1,-1.094749570E0
1.440846292E0,-3.145215988E0,-5.928073525E-1,-1.118865252E0
1.450839292E0,-2.291217566E0,-4.247634411E-1,-1.205208659E0
1.460832292E0,-1.691795588E0,-6.887336373E-1,-1.411654234E0
1.470825292E0,-1.380989790E0,-9.032207131E-1,-1.354220390E0
1.480818292E0,-1.235031247E0,-8.453454375E-1,-1.020590782E0
1.490811292E0,-1.143959165E0,-6.550657153E-1,-4.032136798E-1
1.500805292E0,-1.287973642E0,-1.151891351E0,8.965490013E-2
1.510798292E0,-1.425668001E0,-1.775744796E0,1.996010095E-1
1.520791292E0,-1.453577995E0,-1.851839542E0,1.476967931E-1
1.530784292E0,-1.401310086E0,-1.467894435E0,8.579856157E-2
1.540777292E0,-1.289940476E0,-9.172881842E-1,4.379385710E-2
1.550770292E0,-1.147986650E0,-3.575627506E-1,-1.615472836E-3
