"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.183837501E-2,-1.786246490E1,3.936794662E1,3.523246765E0
2.183237497E-2,-1.766988373E1,3.951525497E1,3.340370178E0
3.182537499E-2,-1.747382355E1,3.957817841E1,3.216293335E0
4.181837500E-2,-1.700576782E1,3.984534073E1,2.962913513E0
5.181137496E-2,-1.674771118E1,4.008212662E1,2.792449951E0
6.180437497E-2,-1.642947388E1,4.011160660E1,2.847518921E0
7.179737499E-2,-1.623489380E1,4.031540298E1,2.858146667E0
8.179037500E-2,-1.610884094E1,4.044956589E1,3.198570251E0
9.178337496E-2,-1.593218994E1,4.041424179E1,3.437934875E0
1.017763750E-1,-1.570993805E1,4.061222458E1,3.513626099E0
1.117693750E-1,-1.543638611E1,4.081655121E1,3.955612183E0
1.217623750E-1,-1.511730957E1,4.079302979E1,4.379104614E0
1.317553750E-1,-1.482653809E1,4.091010284E1,4.748390198E0
1.417483750E-1,-1.470639038E1,4.081000519E1,5.060089111E0
1.517413750E-1,-1.470961761E1,4.086002350E1,5.908966064E0
1.617343750E-1,-1.500060272E1,4.060646820E1,6.965789795E0
1.717283750E-1,-1.524158478E1,4.018152237E1,7.995361328E0
1.817213750E-1,-1.561139679E1,3.994325256E1,9.151290894E0
1.917143750E-1,-1.610747528E1,3.947570801E1,1.043700409E1
2.017073750E-1,-1.662193298E1,3.896711731E1,1.219397736E1
2.117003750E-1,-1.703422546E1,3.815219116E1,1.384197235E1
2.216933750E-1,-1.743232727E1,3.723417664E1,1.585414124E1
2.316863750E-1,-1.758953094E1,3.618464661E1,1.781764984E1
2.416793750E-1,-1.758953094E1,3.618464661E1,1.781764984E1
2.516723750E-1,-1.765264893E1,3.511855316E1,1.999075317E1
2.616653750E-1,-1.750769806E1,3.414811325E1,2.165691376E1
2.716583750E-1,-1.757036591E1,3.346082306E1,2.310247803E1
2.816513750E-1,-1.766812134E1,3.274079514E1,2.410336304E1
2.916443750E-1,-1.795308685E1,3.213822174E1,2.480289459E1
3.016373750E-1,-1.843454742E1,3.165824890E1,2.515084076E1
3.116303750E-1,-1.904074860E1,3.123727036E1,2.506853485E1
3.216233750E-1,-1.941537476E1,3.109593010E1,2.487911224E1
3.316173750E-1,-1.987313080E1,3.070849800E1,2.522409821E1
3.416103750E-1,-1.970793915E1,3.047145271E1,2.572662354E1
3.516033750E-1,-1.942504120E1,3.015265846E1,2.637060547E1
3.615963750E-1,-1.921174622E1,2.999209595E1,2.676618195E1
3.715893750E-1,-1.899526215E1,2.966415405E1,2.725541687E1
3.815823750E-1,-1.895999146E1,2.944262314E1,2.744786835E1
3.915753750E-1,-1.897138977E1,2.923195457E1,2.782743835E1
4.015683750E-1,-1.913334656E1,2.913268852E1,2.814752197E1
4.115613750E-1,-1.924526215E1,2.888547325E1,2.803730774E1
4.215543750E-1,-1.961148071E1,2.870554924E1,2.803620911E1
4.315473750E-1,-2.004952240E1,2.860760880E1,2.795751190E1
4.415403750E-1,-2.050714111E1,2.843750954E1,2.796240234E1
4.515333750E-1,-2.076936340E1,2.850249290E1,2.767502594E1
4.615263750E-1,-2.095224762E1,2.855071259E1,2.752718353E1
4.715193750E-1,-2.099131775E1,2.864554214E1,2.738231659E1
4.815123750E-1,-2.108602905E1,2.894849968E1,2.727445221E1
4.915053750E-1,-2.104788208E1,2.945480347E1,2.673240662E1
5.014983750E-1,-2.104788208E1,2.945480347E1,2.673240662E1
5.114923750E-1,-2.083972168E1,2.990334892E1,2.647467804E1
5.214853750E-1,-2.057270050E1,3.030015564E1,2.598449707E1
5.314783750E-1,-2.015541840E1,3.114512634E1,2.549172211E1
5.414713750E-1,-1.968675995E1,3.163995552E1,2.510964203E1
5.514643750E-1,-1.915821838E1,3.273144150E1,2.424149323E1
5.614573750E-1,-1.845976257E1,3.355576324E1,2.350888824E1
5.714503750E-1,-1.808218384E1,3.429437256E1,2.303383636E1
5.814433750E-1,-1.756751251E1,3.493534851E1,2.260310364E1
5.914363750E-1,-1.719460297E1,3.527187347E1,2.214572906E1
6.014293750E-1,-1.705847168E1,3.558409500E1,2.211361694E1
