"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.098649995E-2,5.391787720E-1,-9.301956482E0,1.361867981E0
2.099850005E-2,5.587879944E-1,-9.432335358E0,1.367406464E0
3.100949991E-2,5.343887329E-1,-9.671537933E0,1.383123779E0
4.102150002E-2,3.517684937E-1,-1.003707779E1,1.484013977E0
5.103349988E-2,1.287322998E-1,-1.039677979E1,1.521885223E0
6.104549998E-2,-2.604583740E-2,-1.058284286E1,1.544188843E0
7.105750008E-2,-1.766326904E-2,-1.060978683E1,1.603465576E0
8.106949995E-2,7.963439941E-2,-1.038345749E1,1.560654602E0
9.108050005E-2,3.381468201E-1,-1.002809647E1,1.296154633E0
1.010924999E-1,3.911366272E-1,-9.755513306E0,-8.696914673E-2
1.111045000E-1,2.838098145E-1,-9.751771088E0,-1.954186249E0
1.211164999E-1,2.576142883E-1,-9.666897583E0,-1.982327728E0
1.311285000E-1,2.384541321E-1,-9.460476837E0,-1.288969574E0
1.411395001E-1,2.830613708E-1,-9.459878082E0,-7.068301392E-1
1.511514999E-1,4.408332825E-1,-9.679471436E0,-4.679269409E-1
1.611635000E-1,6.119274902E-1,-9.830806732E0,-4.011657715E-1
1.711754999E-1,7.990383911E-1,-1.002136047E1,-5.773493958E-1
1.811875000E-1,9.996212769E-1,-1.013018417E1,-1.023721161E0
1.911994999E-1,1.125210114E0,-1.014081207E1,-1.282982025E0
2.012105000E-1,1.136137390E0,-1.014455429E1,-1.116528168E0
2.112225001E-1,1.077010345E0,-1.024529480E1,-8.831634521E-1
2.212344999E-1,1.247805176E0,-1.048749115E1,-7.756869507E-1
2.312465000E-1,1.127305756E0,-1.052850586E1,-5.020559692E-1
2.412584999E-1,6.671626282E-1,-1.044378204E1,9.325607300E-2
2.512705000E-1,4.249662781E-1,-1.057895096E1,6.008505249E-1
2.612815001E-1,4.534071350E-1,-1.084419937E1,9.240284729E-1
2.712935000E-1,4.119433594E-1,-1.124177261E1,1.069675598E0
2.813055001E-1,2.240840149E-1,-1.168410278E1,9.765692139E-1
2.913174999E-1,-1.571731567E-2,-1.206191711E1,7.035369873E-1
3.013295000E-1,-9.310638428E-2,-1.225576401E1,4.008663940E-1
3.113416666E-1,-3.278182983E-2,-1.216714828E1,-1.338217163E-1
3.213526667E-1,-1.713935852E-1,-1.179532150E1,-7.765850830E-1
3.313646666E-1,-2.624043274E-1,-1.133966904E1,-1.325942688E0
3.413766667E-1,-1.821711731E-1,-1.090003326E1,-1.614841919E0
3.513886665E-1,-1.489402771E-1,-1.045291306E1,-1.711241455E0
3.614006666E-1,-2.757266235E-1,-9.864337006E0,-1.862127686E0
3.714126667E-1,-3.423381042E-1,-9.301806793E0,-2.048490143E0
3.814236666E-1,-2.893482971E-1,-8.889713745E0,-2.232756958E0
3.914356667E-1,-1.378633118E-1,-8.532107391E0,-2.553988953E0
4.014476666E-1,1.722917175E-1,-8.301586761E0,-2.840044098E0
4.114596667E-1,5.288502502E-1,-8.256231079E0,-2.990930328E0
4.214716665E-1,8.207432556E-1,-8.300838318E0,-3.184926910E0
4.314836666E-1,1.127754822E0,-8.393046570E0,-3.402424622E0
4.414946667E-1,1.425934753E0,-8.452323303E0,-3.702251129E0
4.515066666E-1,1.696871338E0,-8.392747192E0,-3.958069153E0
4.615186667E-1,1.990111542E0,-8.308771820E0,-4.142186279E0
4.715306666E-1,2.358645172E0,-8.228089600E0,-4.257446594E0
4.815426667E-1,2.721790009E0,-8.170160065E0,-4.191284180E0
4.915536668E-1,2.794089661E0,-8.132737885E0,-3.971241760E0
5.015656666E-1,2.455793152E0,-8.071664886E0,-3.939358063E0
5.115776667E-1,2.040556641E0,-8.057444458E0,-3.920646973E0
5.215896666E-1,1.485959930E0,-8.082292786E0,-3.810625763E0
5.316016667E-1,6.325845337E-1,-8.116870880E0,-3.875590668E0
