"Time (s)","X (hPa)"
-5.550438750E-1,1.014814148E3
4.512771249E-1,1.014808807E3
1.457588125E0,1.014803391E3
2.463893125E0,1.014796753E3
3.470198125E0,1.014794464E3
3.820584125E0,1.014792023E3
4.893926125E0,1.014788589E3
5.967270125E0,1.014787216E3
7.040634125E0,1.014787216E3
8.113989125E0,1.014787216E3
9.187379125E0,1.014785080E3
1.026069312E1,1.014784927E3
1.133405812E1,1.014782944E3
1.240747712E1,1.014778976E3
1.348086912E1,1.014777451E3
1.455432312E1,1.014776382E3
1.562775412E1,1.014771194E3
1.670119812E1,1.014769135E3
1.777463612E1,1.014767990E3
1.884805512E1,1.014764633E3
1.992142812E1,1.014761887E3
2.099479112E1,1.014761887E3
2.206813412E1,1.014761887E3
2.314150512E1,1.014760284E3
2.421484512E1,1.014758377E3
2.528814712E1,1.014756088E3
2.636149812E1,1.014755554E3
2.743485412E1,1.014753494E3
2.850821512E1,1.014750900E3
2.958155412E1,1.014747849E3
3.065490512E1,1.014745560E3
3.172827112E1,1.014742813E3
3.280166112E1,1.014739990E3
3.387504112E1,1.014739838E3
3.494842412E1,1.014739838E3
3.602182012E1,1.014740067E3
3.709522912E1,1.014740601E3
3.816860812E1,1.014740601E3
3.924200912E1,1.014740067E3
4.031540812E1,1.014739151E3
4.138882412E1,1.014738541E3
4.246216412E1,1.014734650E3
4.353549512E1,1.014733047E3
4.460883312E1,1.014732513E3
4.744275442E1,1.014763565E3
4.844906942E1,1.014766388E3
4.945535542E1,1.014769287E3
5.046164542E1,1.014793167E3
5.146796642E1,1.014810638E3
5.181840142E1,1.014812622E3
5.289174142E1,1.014815216E3
5.396510342E1,1.014819565E3
5.503848342E1,1.014819565E3
5.611181942E1,1.014816818E3
5.718512542E1,1.014815216E3
5.825852142E1,1.014814072E3
5.933191242E1,1.014812698E3
6.040530342E1,1.014812393E3
6.147867142E1,1.014811172E3
6.255206942E1,1.014810791E3
6.362545842E1,1.014810333E3
6.469881742E1,1.014809113E3
6.577216742E1,1.014807205E3
6.684553742E1,1.014807205E3
6.791889042E1,1.014807358E3
6.899222142E1,1.014807663E3
7.006561742E1,1.014810715E3
7.113899442E1,1.014813080E3
7.221240742E1,1.014814606E3
7.328576742E1,1.014814606E3
7.435913242E1,1.014806824E3
7.691228762E1,1.014766998E3
7.791857562E1,1.014766235E3
7.892489062E1,1.014766998E3
7.993115662E1,1.014772949E3
8.093747762E1,1.014799194E3
8.128797562E1,1.014803391E3
8.236143262E1,1.014803391E3
8.343482262E1,1.014812622E3
