"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.099850005E-2,-8.482167125E-2,1.448770761E0,9.071297944E-2
3.100949991E-2,-7.176365703E-2,1.576747179E0,3.428272903E-2
4.102150002E-2,-5.936704949E-2,1.776696086E0,-1.671471284E-3
5.103349988E-2,-4.466400295E-2,2.015982151E0,-1.336541120E-2
6.104549998E-2,-2.449923567E-2,2.231324434E0,-6.118857767E-3
7.105750008E-2,-3.445881652E-3,2.351908207E0,6.819844246E-3
8.106949995E-2,1.485089120E-2,2.347450495E0,1.137586869E-2
9.108050005E-2,-3.167932853E-2,2.282185078E0,1.251703501E-2
1.010924999E-1,-3.044145107E-1,2.233934641E0,3.478860110E-2
1.111045000E-1,-6.123276353E-1,2.068384409E0,3.834684938E-2
1.211164999E-1,-7.861849070E-1,1.836270213E0,1.026727911E-2
1.311285000E-1,-8.123150468E-1,1.562682629E0,-1.901976950E-2
1.411395001E-1,-7.646865845E-1,1.215841532E0,-4.735693336E-2
1.511514999E-1,-7.057705522E-1,8.651871085E-1,-8.102967590E-2
1.611635000E-1,-6.834235787E-1,6.109538674E-1,-1.438823491E-1
1.711754999E-1,-7.387773991E-1,4.335136116E-1,-2.220858186E-1
1.811875000E-1,-8.814905882E-1,2.992929518E-1,-3.028631508E-1
1.911994999E-1,-1.039433956E0,1.664941609E-1,-3.625605702E-1
2.012105000E-1,-1.164832473E0,4.637398943E-2,-3.743918836E-1
2.112225001E-1,-1.260177851E0,-8.372614160E-3,-3.701183200E-1
2.212344999E-1,-1.338808060E0,7.203015685E-2,-3.374300301E-1
2.312465000E-1,-1.337592244E0,2.611843646E-1,-2.278326899E-1
2.412584999E-1,-1.249240756E0,5.267285109E-1,-7.237347215E-2
2.512705000E-1,-1.085511923E0,8.548507690E-1,5.214634910E-2
2.612815001E-1,-8.842837214E-1,1.214946270E0,1.134226322E-1
2.712935000E-1,-6.989971995E-1,1.589011788E0,1.359359473E-1
2.813055001E-1,-5.657869577E-1,1.932925582E0,1.573655307E-1
2.913174999E-1,-4.888391495E-1,2.167554379E0,1.784636378E-1
3.013295000E-1,-4.680055678E-1,2.205435991E0,1.623558700E-1
3.113416666E-1,-5.177510381E-1,2.044756174E0,1.294799447E-1
3.213526667E-1,-6.220101118E-1,1.764089823E0,8.732065558E-2
3.313646666E-1,-7.571234107E-1,1.449816108E0,2.726743743E-2
3.413766667E-1,-8.684935570E-1,1.167254090E0,-4.893321544E-2
3.513886665E-1,-9.394324422E-1,1.016344309E0,-1.161410138E-1
3.614006666E-1,-9.703189135E-1,1.030613422E0,-1.478578150E-1
3.714126667E-1,-9.485464692E-1,1.200044751E0,-1.599376500E-1
3.814236666E-1,-8.849050999E-1,1.484222770E0,-1.622997522E-1
3.914356667E-1,-7.962665558E-1,1.760598660E0,-1.763489842E-1
4.014476666E-1,-6.819010973E-1,1.909293532E0,-2.053382546E-1
4.114596667E-1,-5.687681437E-1,1.901840091E0,-2.441503555E-1
4.214716665E-1,-4.660071135E-1,1.796253443E0,-2.907617688E-1
4.314836666E-1,-4.014928341E-1,1.639865160E0,-3.354890049E-1
4.414946667E-1,-3.975843191E-1,1.431876421E0,-3.601673543E-1
4.515066666E-1,-4.226236343E-1,1.254746079E0,-3.599468470E-1
4.615186667E-1,-4.343247414E-1,1.173015833E0,-3.622170389E-1
4.715306666E-1,-3.995236158E-1,1.193736911E0,-3.565484881E-1
4.815426667E-1,-3.289459944E-1,1.200581551E0,-3.286283910E-1
4.915536668E-1,-2.421778291E-1,1.202500582E0,-2.598498762E-1
5.015656666E-1,-1.809801310E-1,1.196460128E0,-1.736903936E-1
5.115776667E-1,-1.486892998E-1,1.178429723E0,-1.122949347E-1
5.215896666E-1,-1.616715789E-1,1.133691788E0,-5.267899483E-2
5.316016667E-1,-2.007239014E-1,1.025207162E0,-1.121906098E-4
5.416136666E-1,-2.543770671E-1,8.346543908E-1,3.168705478E-2
5.516246667E-1,-2.754394710E-1,6.129696369E-1,5.162507668E-2
5.616366668E-1,-2.606469095E-1,3.929223418E-1,7.982994616E-2
5.716486666E-1,-2.208057642E-1,2.268944979E-1,1.090858355E-1
5.816606667E-1,-1.713940799E-1,1.094485745E-1,9.788545966E-2
5.916726666E-1,-1.259408444E-1,5.613341555E-2,6.950309128E-2
6.016846667E-1,-1.038812995E-1,7.521079481E-2,5.589161068E-2
6.116956666E-1,-1.087522209E-1,1.617563516E-1,6.662681699E-2
6.217076667E-1,-1.344116628E-1,2.930566967E-1,8.743733168E-2
6.317196668E-1,-1.818356365E-1,4.581689537E-1,1.054381728E-1
6.417316666E-1,-2.435673028E-1,6.085202694E-1,1.364971697E-1
6.517436667E-1,-3.191241026E-1,7.335990667E-1,1.422653049E-1
6.617556666E-1,-3.730399609E-1,8.113399148E-1,1.168082207E-1
6.717666667E-1,-3.932269812E-1,8.267630339E-1,7.425037771E-2
6.817786666E-1,-3.821350932E-1,7.774598598E-1,3.733367473E-2
6.917906667E-1,-3.325824440E-1,6.541256309E-1,2.718809433E-2
7.018026668E-1,-2.569518089E-1,4.561864734E-1,9.364273399E-3
7.118146666E-1,-1.832133979E-1,2.486447394E-1,-2.255051769E-2
7.218266667E-1,-1.255900562E-1,8.244583756E-2,-5.470634997E-2
7.318376666E-1,-8.903791755E-2,-1.955563203E-2,-9.328117222E-2
7.418496667E-1,-6.603474915E-2,-1.879305393E-2,-1.396531463E-1
7.518616666E-1,-7.435952127E-2,6.755195558E-2,-1.598361731E-1
7.618736667E-1,-8.735599369E-2,1.882685721E-1,-1.607620716E-1
7.718856668E-1,-9.250867367E-2,3.237065673E-1,-1.555984616E-1
7.818966666E-1,-7.966166735E-2,4.683013260E-1,-1.545989662E-1
7.919086667E-1,-4.446186870E-2,6.215898991E-1,-1.622326523E-1
8.019206666E-1,-2.087272890E-2,7.833741903E-1,-1.899525672E-1
8.119326667E-1,-3.296587616E-2,8.897743821E-1,-2.325660735E-1
8.219446666E-1,-7.292622328E-2,8.796296120E-1,-2.744906247E-1
8.319566667E-1,-3.316416591E-2,8.324043155E-1,-3.282233477E-1
8.419676668E-1,1.656792760E-1,8.841401935E-1,-3.953229189E-1
8.519796666E-1,4.497767687E-1,1.019025564E0,-4.349566102E-1
8.619916667E-1,6.902479529E-1,1.131849289E0,-4.184897244E-1
8.720036666E-1,8.203849196E-1,1.153190255E0,-3.593097627E-1
8.820156667E-1,8.755161166E-1,1.127105117E0,-2.825725079E-1
8.920276666E-1,9.109449387E-1,1.061917901E0,-2.459455281E-1
9.020386667E-1,9.551955462E-1,9.687899351E-1,-2.437070310E-1
9.120506668E-1,9.828996062E-1,8.493726850E-1,-2.437222004E-1
9.220626666E-1,9.874222875E-1,6.723064780E-1,-2.774266899E-1
9.320746667E-1,9.959779978E-1,5.020534992E-1,-3.402983248E-1
