"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.099850005E-2,7.960973878E-1,4.164100474E-1,1.585988249E0
3.100949991E-2,7.970754077E-1,2.032275814E-1,1.590461369E0
4.102150002E-2,6.504107939E-1,-1.292690742E-1,1.697700473E0
5.103349988E-2,4.192360067E-1,-5.196122342E-1,1.757877678E0
6.104549998E-2,2.265334135E-1,-7.437611532E-1,1.789021118E0
7.105750008E-2,1.943824434E-1,-8.229827392E-1,1.845894645E0
8.106949995E-2,2.610394959E-1,-6.551834375E-1,1.853667934E0
9.108050005E-2,4.905596489E-1,-3.188539320E-1,1.664849646E0
1.010924999E-1,6.111951996E-1,1.147574544E-2,7.154465961E-1
1.111045000E-1,5.224988584E-1,5.274714768E-2,-1.309182229E0
1.211164999E-1,4.529843082E-1,9.583294094E-2,-1.682735109E0
1.311285000E-1,4.398694421E-1,2.851301157E-1,-9.827309366E-1
1.411395001E-1,4.428576616E-1,3.643376684E-1,-2.411438513E-1
1.511514999E-1,5.722455805E-1,1.589273214E-1,1.417119491E-1
1.611635000E-1,7.191201094E-1,-9.067862034E-3,3.128857521E-1
1.711754999E-1,8.907771847E-1,-1.950806558E-1,2.817271093E-1
1.811875000E-1,1.049500073E0,-3.463475400E-1,-3.279008903E-2
1.911994999E-1,1.178480441E0,-3.759584248E-1,-3.077835448E-1
2.012105000E-1,1.179659459E0,-3.920786136E-1,-1.050358737E-1
2.112225001E-1,1.067775472E0,-4.639590204E-1,2.484167643E-1
2.212344999E-1,1.175989162E0,-7.066699255E-1,5.218582959E-1
2.312465000E-1,1.137478595E0,-8.485818493E-1,8.336341734E-1
2.412584999E-1,6.883829047E-1,-7.647193283E-1,1.508910398E0
2.512705000E-1,3.519362357E-1,-8.632846731E-1,2.173448796E0
2.612815001E-1,3.297084839E-1,-1.125764430E0,2.645056998E0
2.712935000E-1,3.134340747E-1,-1.493648434E0,2.900595524E0
2.813055001E-1,1.366116513E-1,-1.961226881E0,2.938856488E0
2.913174999E-1,-1.197417124E-1,-2.367624741E0,2.731158417E0
3.013295000E-1,-2.984499451E-1,-2.626658149E0,2.485305219E0
3.113416666E-1,-2.551316702E-1,-2.630116777E0,2.063726964E0
3.213526667E-1,-3.755582194E-1,-2.321416535E0,1.470189113E0
3.313646666E-1,-5.339626902E-1,-1.886543319E0,9.453876208E-1
3.413766667E-1,-5.186242375E-1,-1.458815986E0,6.568215349E-1
3.513886665E-1,-4.802724231E-1,-1.045704353E0,6.201802504E-1
3.614006666E-1,-6.185066311E-1,-5.158074510E-1,5.851953359E-1
3.714126667E-1,-7.591551179E-1,5.401423931E-2,4.785434380E-1
3.814236666E-1,-7.771136713E-1,4.716545409E-1,3.878349969E-1
3.914356667E-1,-7.220341424E-1,8.169525057E-1,1.743838513E-1
4.014476666E-1,-5.077977157E-1,1.075272553E0,-8.685834199E-2
4.114596667E-1,-2.229943863E-1,1.135911688E0,-2.131739876E-1
4.214716665E-1,2.167635933E-3,1.095656531E0,-3.510992798E-1
4.314836666E-1,2.337370370E-1,9.918070579E-1,-5.380362260E-1
4.414946667E-1,4.553736998E-1,9.063757288E-1,-7.920231941E-1
4.515066666E-1,6.587447572E-1,9.142180145E-1,-1.049297175E0
4.615186667E-1,8.723820636E-1,9.936290503E-1,-1.212396484E0
4.715306666E-1,1.160405016E0,1.051552153E0,-1.331612441E0
4.815426667E-1,1.464930712E0,1.109994489E0,-1.300381585E0
4.915536668E-1,1.589585017E0,1.131446754E0,-1.075694137E0
5.015656666E-1,1.267360458E0,1.182285955E0,-9.816931289E-1
5.115776667E-1,8.047783104E-1,1.208593163E0,-9.987117425E-1
5.215896666E-1,2.832724553E-1,1.177228698E0,-8.826737478E-1
5.316016667E-1,-5.724992765E-1,1.150582352E0,-9.020236462E-1
5.416136666E-1,-1.346011209E0,1.017152984E0,-9.577072656E-1
5.516246667E-1,-1.785128626E0,8.219787723E-1,-8.041324854E-1
5.616366668E-1,-1.967247321E0,6.684472615E-1,-4.179309082E-1
5.716486666E-1,-1.910095758E0,4.822555429E-1,3.388753831E-3
5.816606667E-1,-1.745832267E0,2.547240096E-1,2.690324387E-1
5.916726666E-1,-1.146127212E0,-1.952911556E-2,4.309278068E-1
6.016846667E-1,-5.970027646E-1,-2.696993136E-1,4.772707915E-1
6.116956666E-1,-1.445914105E-1,-4.728736854E-1,3.834408143E-1
6.217076667E-1,2.155391863E-1,-7.387255311E-1,2.438180754E-1
6.317196668E-1,4.907299125E-1,-9.223772192E-1,9.824608684E-2
6.417316666E-1,6.855753641E-1,-8.974698347E-1,-8.902619720E-2
6.517436667E-1,6.889970085E-1,-7.557292342E-1,-2.754351398E-1
6.617556666E-1,9.098001507E-1,-5.180510277E-1,-4.738843766E-1
6.717666667E-1,9.687207887E-1,-2.755161238E-1,-6.220384955E-1
6.817786666E-1,8.063064802E-1,-7.759021282E-2,-7.805761001E-1
6.917906667E-1,3.576966932E-1,9.529558182E-2,-8.662226066E-1
7.018026668E-1,-1.894470097E-1,1.736032480E-1,-8.047695395E-1
7.118146666E-1,-5.035617734E-1,1.397046000E-1,-7.022163936E-1
7.218266667E-1,-7.257331641E-1,9.928864539E-2,-5.892718685E-1
7.318376666E-1,-7.919351935E-1,-2.279653966E-2,-4.331667057E-1
7.418496667E-1,-6.062682626E-1,-2.314187622E-1,-2.549315858E-1
7.518616666E-1,-2.906028172E-1,-3.916967905E-1,-4.948264718E-2
7.618736667E-1,-2.452760786E-2,-4.594905782E-1,1.995254168E-1
7.718856668E-1,2.371656981E-1,-3.227043235E-1,4.660999784E-1
7.818966666E-1,5.412646200E-1,-1.315641063E-1,8.923228231E-1
7.919086667E-1,8.624485213E-1,1.291889673E-1,1.302331924E0
8.019206666E-1,1.097059717E0,3.018011123E-1,1.508366753E0
8.119326667E-1,1.214108403E0,2.029498386E-1,1.400833534E0
8.219446666E-1,1.271702454E0,-1.064327735E-1,1.142698258E0
8.319566667E-1,1.222081374E0,-3.996256149E-1,1.116601843E0
8.419676668E-1,1.288161196E0,-5.878854936E-1,1.763348333E0
