"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.099850005E-2,-2.339302063E1,3.948365021E1,3.832210541E0
3.100949991E-2,-2.343971252E1,3.946920013E1,3.742343903E0
4.102150002E-2,-2.345321274E1,3.949259949E1,3.514492035E0
5.103349988E-2,-2.354126358E1,3.963504028E1,3.275901794E0
6.104549998E-2,-2.353302002E1,3.959257507E1,2.703842163E0
7.105750008E-2,-2.356023407E1,3.952651978E1,2.208919525E0
8.106949995E-2,-2.359272385E1,3.944711304E1,1.640590668E0
9.108050005E-2,-2.371053314E1,3.924742126E1,7.769622803E-1
1.010924999E-1,-2.363085175E1,3.940641785E1,6.509437561E-1
1.111045000E-1,-2.349681854E1,3.962841034E1,8.926773071E-2
1.211164999E-1,-2.350397491E1,3.969590759E1,-2.678985596E-1
1.311285000E-1,-2.363454819E1,3.976565552E1,-2.816390991E-2
1.411395001E-1,-2.370116043E1,3.959660339E1,-1.070709229E-1
1.511514999E-1,-2.384687424E1,3.967136383E1,-2.681274414E-1
1.611635000E-1,-2.364648056E1,3.950814819E1,-3.011741638E-1
1.711754999E-1,-2.357679749E1,3.951366425E1,2.128219604E-1
1.811875000E-1,-2.381840134E1,3.960734558E1,2.261657715E-1
1.911994999E-1,-2.373128510E1,3.940444183E1,8.226127625E-1
2.012105000E-1,-2.387639618E1,3.930958557E1,1.292514801E0
2.112225001E-1,-2.391693115E1,3.928102112E1,1.369640350E0
2.212344999E-1,-2.398876953E1,3.912962341E1,1.620925903E0
2.312465000E-1,-2.445384598E1,3.907901001E1,2.196022034E0
2.412584999E-1,-2.426499557E1,3.909774780E1,2.714828491E0
2.512705000E-1,-2.463918686E1,3.889674377E1,2.981613159E0
2.612815001E-1,-2.468688202E1,3.872750854E1,3.433334351E0
2.712935000E-1,-2.462240601E1,3.905713654E1,3.944057465E0
2.813055001E-1,-2.465320969E1,3.883411407E1,3.618282318E0
2.913174999E-1,-2.462237549E1,3.897357941E1,2.653350830E0
3.013295000E-1,-2.445218277E1,3.911862946E1,2.568683624E0
3.113416666E-1,-2.447879410E1,3.934749603E1,2.561267853E0
3.213526667E-1,-2.429532623E1,3.939518738E1,2.010417938E0
3.313646666E-1,-2.419299316E1,3.943260193E1,1.912437439E0
3.413766667E-1,-2.439197159E1,3.917241669E1,1.824676514E0
3.513886665E-1,-2.464735031E1,3.935621643E1,2.014217377E0
3.614006666E-1,-2.462656784E1,3.922039795E1,1.702445984E0
3.714126667E-1,-2.468344116E1,3.910467529E1,1.949859619E0
3.814236666E-1,-2.490056992E1,3.901712036E1,2.312889099E0
3.914356667E-1,-2.473019409E1,3.920426941E1,2.329505920E0
4.014476666E-1,-2.493793488E1,3.905199432E1,2.115512848E0
4.114596667E-1,-2.509979248E1,3.896044159E1,1.691925049E0
4.214716665E-1,-2.500223541E1,3.879737854E1,1.581169128E0
4.314836666E-1,-2.536432266E1,3.880387878E1,9.448013306E-1
4.414946667E-1,-2.554166031E1,3.854927826E1,9.081382751E-1
4.515066666E-1,-2.566180038E1,3.879736328E1,8.103752136E-1
4.615186667E-1,-2.564965439E1,3.861442566E1,1.972351074E-1
