"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686309145443669E9,"2023-06-09 13:12:25.444 UTC+02:00"
"PAUSE",4.799461937509477E1,1.686309193438274E9,"2023-06-09 13:13:13.438 UTC+02:00"
"START",4.799461937509477E1,1.686309201893389E9,"2023-06-09 13:13:21.893 UTC+02:00"
"PAUSE",7.748848170833662E1,1.686309231387242E9,"2023-06-09 13:13:51.387 UTC+02:00"
"START",7.748848170833662E1,1.686309243376990E9,"2023-06-09 13:14:03.377 UTC+02:00"
"PAUSE",1.235511563331820E2,1.686309289439652E9,"2023-06-09 13:14:49.440 UTC+02:00"
"START",1.235511563331820E2,1.686309317361984E9,"2023-06-09 13:15:17.362 UTC+02:00"
"PAUSE",1.828048264582176E2,1.686309376615637E9,"2023-06-09 13:16:16.616 UTC+02:00"
"START",1.828048264582176E2,1.686309381954062E9,"2023-06-09 13:16:21.954 UTC+02:00"
"PAUSE",2.248456014997792E2,1.686309423994825E9,"2023-06-09 13:17:03.995 UTC+02:00"
"START",2.248456014997792E2,1.686309443345135E9,"2023-06-09 13:17:23.345 UTC+02:00"
"PAUSE",2.296081679163035E2,1.686309448107700E9,"2023-06-09 13:17:28.108 UTC+02:00"
"START",2.296081679163035E2,1.686309459930400E9,"2023-06-09 13:17:39.930 UTC+02:00"
"PAUSE",2.727612759997137E2,1.686309503083496E9,"2023-06-09 13:18:23.083 UTC+02:00"
"START",2.727612759997137E2,1.686309516771028E9,"2023-06-09 13:18:36.771 UTC+02:00"
"PAUSE",3.511984437913634E2,1.686309595208173E9,"2023-06-09 13:19:55.208 UTC+02:00"
"START",3.511984437913634E2,1.686309602211313E9,"2023-06-09 13:20:02.211 UTC+02:00"
"PAUSE",3.563814456246328E2,1.686309607394313E9,"2023-06-09 13:20:07.394 UTC+02:00"
"START",3.563814456246328E2,1.686309627518267E9,"2023-06-09 13:20:27.518 UTC+02:00"
"PAUSE",4.021075774994679E2,1.686309673244386E9,"2023-06-09 13:21:13.244 UTC+02:00"
"START",4.021075774994679E2,1.686309706332634E9,"2023-06-09 13:21:46.333 UTC+02:00"
"PAUSE",4.660102094996255E2,1.686309770235248E9,"2023-06-09 13:22:50.235 UTC+02:00"
"START",4.660102094996255E2,1.686309796570394E9,"2023-06-09 13:23:16.570 UTC+02:00"
"PAUSE",4.720051464161370E2,1.686309802565329E9,"2023-06-09 13:23:22.565 UTC+02:00"
"START",4.720051464161370E2,1.686309813997476E9,"2023-06-09 13:23:33.997 UTC+02:00"
"PAUSE",5.226305402494036E2,1.686309864622856E9,"2023-06-09 13:24:24.623 UTC+02:00"
