"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.702083275E-3,2.129771118E0,-9.714648285E0,5.414241028E-1
8.309916593E-3,2.180216217E0,-9.662706299E0,3.752696228E-1
1.832191669E-2,2.196681976E0,-9.657616882E0,2.377056885E-1
2.833491657E-2,2.177970886E0,-9.676178284E0,1.308279419E-1
3.834691667E-2,2.172282715E0,-9.654323730E0,5.957611084E-2
4.835891677E-2,2.184706879E0,-9.589957581E0,-3.742218018E-3
5.837091664E-2,2.159858551E0,-9.599238281E0,-7.499404907E-2
6.838391675E-2,2.157164154E0,-9.674980774E0,-1.562750244E-1
7.839591661E-2,2.140249329E0,-9.741891632E0,-2.246827698E-1
8.840791672E-2,2.093696136E0,-9.806706848E0,-2.811154175E-1
9.841991658E-2,2.074386292E0,-9.758507080E0,-3.899391174E-1
1.084319167E-1,2.041903839E0,-9.627379761E0,-5.803431702E-1
1.184449166E-1,1.939816132E0,-9.443861389E0,-8.475375366E-1
1.284569167E-1,1.926793213E0,-9.253756714E0,-1.062939606E0
1.384689168E-1,1.977837067E0,-9.180558929E0,-1.156794434E0
1.484809166E-1,2.002535706E0,-9.230704651E0,-1.154249725E0
1.584939167E-1,2.000739441E0,-9.404942322E0,-9.964778137E-1
1.685059166E-1,1.977986755E0,-9.588011627E0,-7.232958984E-1
1.785179167E-1,1.821861420E0,-9.749825134E0,-4.761598206E-1
1.885299166E-1,1.605561218E0,-9.882000275E0,-2.613565063E-1
1.985419167E-1,1.472338257E0,-9.962383118E0,-5.987548828E-2
2.085549168E-1,1.389410706E0,-9.982740784E0,1.193019104E-1
2.185669167E-1,1.394949188E0,-9.945168915E0,2.314187622E-1
2.285789168E-1,1.460363159E0,-9.842781830E0,1.598675537E-1
2.385909166E-1,1.455273743E0,-9.713151398E0,-6.212081909E-2
2.486039167E-1,1.436113586E0,-9.562265167E0,-3.008743286E-1
2.586159166E-1,1.486558685E0,-9.434131622E0,-4.264631653E-1
2.686279167E-1,1.490300903E0,-9.371412048E0,-4.890330505E-1
2.786399166E-1,1.516197052E0,-9.380692749E0,-4.602928162E-1
2.886519167E-1,1.600771179E0,-9.433981934E0,-4.029620361E-1
2.986649168E-1,1.741927643E0,-9.561666412E0,-4.266128540E-1
3.086769166E-1,1.891766052E0,-9.681118011E0,-5.369334412E-1
3.186889167E-1,2.049987030E0,-9.734706573E0,-6.689588928E-1
3.287009166E-1,2.189347229E0,-9.726174316E0,-7.391629028E-1
3.387139167E-1,2.272574158E0,-9.618847504E0,-7.283853149E-1
3.487259166E-1,2.292482758E0,-9.497749329E0,-6.975494385E-1
3.587384582E-1,2.259700928E0,-9.435778198E0,-6.773414612E-1
3.687504584E-1,2.160457306E0,-9.453142090E0,-6.198609924E-1
3.787624582E-1,2.008972321E0,-9.518406372E0,-5.028044128E-1
3.887754583E-1,1.890269165E0,-9.580527191E0,-4.098477173E-1
3.987874584E-1,1.757794647E0,-9.593550110E0,-3.742218018E-1
4.087994583E-1,1.644180908E0,-9.557924194E0,-3.942800903E-1
4.188114584E-1,1.560804291E0,-9.542655945E0,-4.900808716E-1
4.288244583E-1,1.489851837E0,-9.541159058E0,-6.111790466E-1
4.388364584E-1,1.471589813E0,-9.551038513E0,-7.288343811E-1
4.488484582E-1,1.437610474E0,-9.592053223E0,-8.174501038E-1
4.588604583E-1,1.376537476E0,-9.625583496E0,-8.825646973E-1
4.688734584E-1,1.375489655E0,-9.648336182E0,-9.300160217E-1
4.788854583E-1,1.357976074E0,-9.655670929E0,-9.632469177E-1
4.888974584E-1,1.328487396E0,-9.644444275E0,-9.613009644E-1
4.989094583E-1,1.339714050E0,-9.672286377E0,-8.904981995E-1
5.089214584E-1,1.384321289E0,-9.699529724E0,-7.572752380E-1
5.189344583E-1,1.391356659E0,-9.758357391E0,-5.812413025E-1
5.289464584E-1,1.443148956E0,-9.831555176E0,-4.228706360E-1
5.389584582E-1,1.434467010E0,-9.886490936E0,-3.417393494E-1
5.489704583E-1,1.387165375E0,-9.877060547E0,-3.586541748E-1
5.589834584E-1,1.411864014E0,-9.812544708E0,-4.562512207E-1
5.689954583E-1,1.418150940E0,-9.690997467E0,-5.698649597E-1
5.790074584E-1,1.434916077E0,-9.572444000E0,-6.505471802E-1
5.890194583E-1,1.560804291E0,-9.482032013E0,-6.987469482E-1
5.990314584E-1,1.724414063E0,-9.474397888E0,-7.273374939E-1
6.090444583E-1,1.798659668E0,-9.548344116E0,-7.253915405E-1
6.190564584E-1,1.826202393E0,-9.668993225E0,-6.759942627E-1
6.290684582E-1,1.811083832E0,-9.755513306E0,-6.188131714E-1
6.390804583E-1,1.720821533E0,-9.758357391E0,-5.724096680E-1
6.490934584E-1,1.599274292E0,-9.664502563E0,-5.713618469E-1
6.591054583E-1,1.510808258E0,-9.565857697E0,-6.047424316E-1
6.691174584E-1,1.453178101E0,-9.523795166E0,-6.626719666E-1
6.791294583E-1,1.466949463E0,-9.532028046E0,-6.876699829E-1
6.891424584E-1,1.531614990E0,-9.589059448E0,-6.716532898E-1
6.991544582E-1,1.607507172E0,-9.642947388E0,-6.891668701E-1
7.091664583E-1,1.662442932E0,-9.663005676E0,-7.116201782E-1
7.191784584E-1,1.597478027E0,-9.625134430E0,-7.370672607E-1
7.291904583E-1,1.540746002E0,-9.591454468E0,-7.623646545E-1
7.392034584E-1,1.506317596E0,-9.577832794E0,-7.527845764E-1
7.492154583E-1,1.479822693E0,-9.569300537E0,-6.634204102E-1
7.592274584E-1,1.468146973E0,-9.598639526E0,-5.671705627E-1
7.692394583E-1,1.495540009E0,-9.635612640E0,-4.915777588E-1
7.792524584E-1,1.527423706E0,-9.675280151E0,-4.650828552E-1
7.892644582E-1,1.538201294E0,-9.692194977E0,-4.893324280E-1
7.992764583E-1,1.529519348E0,-9.673633575E0,-5.822891235E-1
8.092884584E-1,1.503922577E0,-9.645492096E0,-6.851252747E-1
8.193004583E-1,1.461560669E0,-9.610464935E0,-7.186555481E-1
8.293134584E-1,1.440005493E0,-9.593999176E0,-6.707551575E-1
8.393254583E-1,1.440005493E0,-9.617200928E0,-5.872288513E-1
8.493374584E-1,1.460662537E0,-9.634265442E0,-5.004093933E-1
8.593494582E-1,1.483265533E0,-9.644294586E0,-4.620890808E-1
8.693624584E-1,1.508113861E0,-9.634714508E0,-5.315446472E-1
8.793744582E-1,1.519340515E0,-9.584119720E0,-6.024971008E-1
8.893864583E-1,1.538350983E0,-9.534572754E0,-6.225553894E-1
8.993984584E-1,1.557211761E0,-9.527238007E0,-6.171665955E-1
9.094104583E-1,1.566492462E0,-9.545350342E0,-5.604345703E-1
9.194234584E-1,1.552122345E0,-9.568402405E0,-4.908293152E-1
9.294354583E-1,1.539548492E0,-9.598489838E0,-4.586462402E-1
9.394474584E-1,1.548978882E0,-9.617649994E0,-4.483177185E-1
9.494594582E-1,1.572629700E0,-9.613009644E0,-5.013075256E-1
9.594724583E-1,1.580263824E0,-9.611512756E0,-5.712121582E-1
9.694844584E-1,1.564097443E0,-9.621392212E0,-5.954617310E-1
9.794964583E-1,1.526525574E0,-9.603579254E0,-5.926176453E-1
9.895084584E-1,1.511257324E0,-9.571695557E0,-5.242098999E-1
9.995204583E-1,1.525477753E0,-9.549990692E0,-4.694238281E-1
1.009533458E0,1.543290710E0,-9.517059174E0,-4.978646851E-1
1.019545458E0,1.538650360E0,-9.514364777E0,-5.724096680E-1
1.029557458E0,1.508712616E0,-9.559720459E0,-5.767506409E-1
1.039569458E0,1.443148956E0,-9.600136414E0,-5.077441406E-1
1.049582458E0,1.363065491E0,-9.612859955E0,-4.140390015E-1
1.059594458E0,1.332079926E0,-9.608369293E0,-3.501219177E-1
1.069606458E0,1.348246307E0,-9.539811859E0,-3.444337463E-1
1.079618458E0,1.365011444E0,-9.452094269E0,-3.757186890E-1
1.089630458E0,1.362167358E0,-9.413324890E0,-4.233197021E-1
1.099643458E0,1.351389771E0,-9.479487305E0,-4.122427368E-1
1.109655458E0,1.360670471E0,-9.655521240E0,-3.863465881E-1
1.119667458E0,1.347348175E0,-9.873617706E0,-3.812571716E-1
1.129679458E0,1.323697357E0,-9.994715881E0,-4.535568237E-1
1.139692458E0,1.334025879E0,-1.000384689E1,-5.188211060E-1
1.149704458E0,1.347348175E0,-9.914931793E0,-5.647755432E-1
1.159716458E0,1.389710083E0,-9.790839844E0,-5.977070618E-1
1.169728458E0,1.410067749E0,-9.600884857E0,-6.131250000E-1
1.179741458E0,1.467548218E0,-9.407037964E0,-6.450086975E-1
1.189753458E0,1.545835419E0,-9.323511658E0,-6.122268677E-1
1.199765458E0,1.569336548E0,-9.313033447E0,-5.352868652E-1
1.209777458E0,1.552870789E0,-9.380842438E0,-5.191204834E-1
1.219789458E0,1.517544250E0,-9.544302521E0,-5.637277222E-1
1.229802458E0,1.432071991E0,-9.774224396E0,-6.697073364E-1
1.239814458E0,1.278042297E0,-1.000893631E1,-7.074288940E-1
1.249826458E0,1.087488556E0,-1.017464172E1,-6.432124329E-1
1.259838458E0,8.866062927E-1,-1.013227982E1,-5.072950745E-1
1.269851458E0,7.192543030E-1,-9.978399811E0,-3.811074829E-1
1.279863458E0,6.044430542E-1,-9.788145447E0,-2.751278687E-1
1.289875458E0,5.560935974E-1,-9.611063690E0,-2.733316040E-1
1.299887458E0,5.679190063E-1,-9.486672363E0,-2.836601257E-1
1.309899458E0,6.385720825E-1,-9.421408081E0,-2.372566223E-1
1.319912458E0,7.866142273E-1,-9.428593140E0,-2.562670898E-1
1.329924458E0,1.073717194E0,-9.457782440E0,-4.290078735E-1
1.339936458E0,1.327439575E0,-9.508077850E0,-6.803352356E-1
1.349948458E0,1.485510864E0,-9.592202911E0,-8.978329468E-1
1.359961083E0,1.547182617E0,-9.773625641E0,-1.011746063E0
