"Time (s)","X (hPa)"
-5.651172085E-1,1.014504242E3
4.412927916E-1,1.014501495E3
1.447716792E0,1.014504242E3
2.454206791E0,1.014533615E3
3.958404083E0,1.014538803E3
4.964928083E0,1.014529037E3
5.971448083E0,1.014538803E3
6.977968083E0,1.014548492E3
7.984459083E0,1.014556732E3
8.334586083E0,1.014560089E3
9.408136083E0,1.014560089E3
1.048165408E1,1.014577713E3
1.155518308E1,1.014580841E3
1.262869308E1,1.014588089E3
1.370222708E1,1.014600067E3
1.477576108E1,1.014604721E3
1.584929408E1,1.014607849E3
1.692284608E1,1.014608002E3
1.799637608E1,1.014607849E3
1.906994108E1,1.014604416E3
2.014352408E1,1.014601135E3
2.121708608E1,1.014598160E3
2.229067508E1,1.014595337E3
2.336426008E1,1.014593506E3
2.443777608E1,1.014592056E3
2.551133408E1,1.014592056E3
2.658487508E1,1.014593964E3
2.765842908E1,1.014595795E3
2.873197208E1,1.014596634E3
2.980549208E1,1.014596710E3
3.087902508E1,1.014596710E3
3.195256908E1,1.014595032E3
3.302609808E1,1.014593506E3
3.409965808E1,1.014591675E3
3.517320108E1,1.014588470E3
3.624677908E1,1.014585953E3
3.732042808E1,1.014581757E3
3.839397808E1,1.014580231E3
3.946756808E1,1.014576645E3
4.054116608E1,1.014573059E3
4.161477008E1,1.014568100E3
4.268832908E1,1.014561539E3
4.376190308E1,1.014555588E3
4.483545908E1,1.014550171E3
4.590900108E1,1.014544449E3
4.698255208E1,1.014539185E3
4.805606508E1,1.014538116E3
4.912958208E1,1.014535675E3
5.020313008E1,1.014534760E3
5.127663808E1,1.014534760E3
5.235017108E1,1.014539642E3
5.342377108E1,1.014543457E3
5.449730408E1,1.014545670E3
5.557087008E1,1.014551010E3
5.664443608E1,1.014554596E3
5.771803608E1,1.014555359E3
5.879158908E1,1.014557114E3
5.986517308E1,1.014560242E3
6.093874508E1,1.014564819E3
6.201226508E1,1.014567413E3
6.308580308E1,1.014572678E3
6.415931908E1,1.014577942E3
6.523284608E1,1.014580688E3
6.630646108E1,1.014583664E3
6.738004208E1,1.014584274E3
6.845359908E1,1.014584427E3
6.952719608E1,1.014584656E3
7.060079208E1,1.014584656E3
7.167440508E1,1.014584274E3
7.274805308E1,1.014580612E3
7.382161608E1,1.014574814E3
7.489515908E1,1.014569244E3
7.596875308E1,1.014564896E3
7.704234108E1,1.014560394E3
7.940478104E1,1.014485092E3
8.041128704E1,1.014478912E3
8.141774904E1,1.014485092E3
8.242426304E1,1.014490662E3
8.343082104E1,1.014590073E3
