"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.560916573E-3,-1.613889784E-1,2.645989954E-1,-3.055230901E-2
1.957291667E-2,-1.415026188E-1,1.761745811E-1,-2.553411573E-2
2.958591678E-2,-1.243957728E-1,7.240408659E-2,-2.067659795E-2
3.959791665E-2,-1.056095660E-1,-2.783489972E-2,-1.558649726E-2
4.960991675E-2,-8.430883288E-2,-8.785096556E-2,-8.376382291E-3
5.962191662E-2,-6.982363760E-2,-1.102050096E-1,-5.426664837E-3
6.963491673E-2,-6.753598154E-2,-8.869835734E-2,-1.207929291E-2
7.964691659E-2,-6.209620833E-2,-3.048005700E-2,-2.064321935E-2
8.965891670E-2,-4.471089691E-2,2.956729382E-2,-2.095133439E-2
9.967091656E-2,-2.182368934E-2,6.534925848E-2,-3.005108982E-2
1.096829167E-1,-1.127307676E-2,6.806767732E-2,-3.443238139E-2
1.196959168E-1,-3.946902975E-2,2.968939580E-2,-2.368226647E-2
1.297079166E-1,-9.711574763E-2,-4.018644616E-2,-1.582606509E-2
1.397199167E-1,-1.592584848E-1,-1.116601005E-1,-1.584337465E-2
1.497319166E-1,-2.178985924E-1,-1.768016219E-1,-2.107246965E-2
1.597449167E-1,-2.393484861E-1,-1.993183792E-1,-3.407695144E-2
1.697569166E-1,-2.319544852E-1,-1.829631031E-1,-5.201440677E-2
1.797689167E-1,-2.277967632E-1,-1.472828686E-1,-5.907737464E-2
1.897809166E-1,-2.230920196E-1,-1.184861064E-1,-5.741716176E-2
1.997929167E-1,-1.999709904E-1,-8.659661561E-2,-4.584492743E-2
2.098059168E-1,-1.475732923E-1,-5.884541944E-2,-2.528665587E-2
2.198179166E-1,-7.065320760E-2,-3.427642584E-2,-9.682130069E-3
2.298299167E-1,-7.772319485E-3,-1.366892457E-2,-5.906501785E-3
2.398419166E-1,1.725606807E-2,3.525243141E-3,1.898690592E-3
2.498549167E-1,8.796649054E-3,1.559896115E-2,6.461171433E-4
2.598669166E-1,-1.399042271E-2,1.515953988E-2,-7.171059959E-3
2.698789167E-1,-3.084990382E-2,-2.242395887E-3,-3.415407846E-3
2.798909168E-1,-2.504794113E-2,-1.589775272E-2,-4.167750943E-3
2.899029166E-1,1.165449619E-3,-2.474309132E-2,-1.119560562E-3
2.999159168E-1,2.811264433E-2,-5.231586099E-2,-1.491870498E-3
3.099279166E-1,2.981030941E-2,-9.817221016E-2,2.968329471E-3
3.199399167E-1,1.625188999E-2,-1.511968076E-1,1.032983977E-2
3.299519166E-1,2.967111534E-3,-1.805794239E-1,6.169372238E-3
3.399649167E-1,-8.426423185E-3,-1.792371869E-1,4.760293290E-3
3.499769166E-1,-1.983123831E-2,-1.508120298E-1,-2.611551201E-3
3.599894582E-1,-3.665762395E-2,-1.390943825E-1,-8.834559470E-3
3.700014583E-1,-5.456032977E-2,-1.516305208E-1,-1.301501133E-2
3.800134584E-1,-5.034907535E-2,-1.785460263E-1,-1.566991583E-2
3.900264583E-1,-2.193360776E-2,-2.172789276E-1,-1.824855432E-2
4.000384584E-1,8.630961180E-3,-2.359934896E-1,-2.542524226E-2
4.100504583E-1,3.122788109E-2,-2.381005883E-1,-3.011400439E-2
4.200624584E-1,4.244751483E-2,-2.158504128E-1,-2.800531313E-2
4.300754583E-1,4.472287744E-2,-1.727513522E-1,-2.492725477E-2
4.400874584E-1,4.966304079E-2,-1.332657188E-1,-3.152550384E-2
4.500994582E-1,5.386228487E-2,-1.047641486E-1,-3.335234523E-2
4.601114583E-1,5.717978254E-2,-9.033034742E-2,-3.313849121E-2
4.701244584E-1,5.717786029E-2,-9.167812020E-2,-3.677086532E-2
4.801364583E-1,3.392606601E-2,-1.065622568E-1,-3.705076501E-2
4.901484584E-1,-7.470416371E-3,-1.248794124E-1,-3.465847299E-2
5.001604583E-1,-4.745511711E-2,-1.231259927E-1,-3.589764237E-2
5.101724584E-1,-7.356800884E-2,-1.065043733E-1,-3.580207378E-2
5.201854582E-1,-7.588575780E-2,-7.582423091E-2,-2.809594944E-2
5.301974583E-1,-4.463226721E-2,-4.655412957E-2,-2.773809619E-2
5.402094584E-1,-7.387426216E-3,-1.935127005E-2,-1.824126393E-2
5.502214583E-1,1.237389632E-2,-1.948174834E-2,-7.876266725E-3
5.602344584E-1,1.686558314E-2,-4.627208412E-2,-7.011272013E-3
5.702464583E-1,1.851545274E-2,-1.015058383E-1,4.586549476E-4
5.802584584E-1,1.998578385E-2,-1.528861970E-1,1.078346372E-2
5.902704583E-1,1.903260127E-2,-1.854880005E-1,1.352271531E-2
6.002824584E-1,1.213687751E-2,-1.916691959E-1,9.748749435E-3
6.102954582E-1,7.160892244E-3,-1.684587002E-1,6.844596937E-3
6.203074583E-1,5.637830589E-3,-1.321150661E-1,-5.116724409E-3
6.303194584E-1,1.686624810E-2,-1.049857438E-1,-1.732353866E-2
6.403314583E-1,3.097194619E-2,-9.449955076E-2,-2.263015322E-2
6.503444584E-1,3.640349582E-2,-1.007671654E-1,-2.279913612E-2
6.603564583E-1,3.913563490E-2,-1.107540205E-1,-1.880892366E-2
6.703684584E-1,3.973185644E-2,-1.202169657E-1,-8.585669100E-3
6.803804582E-1,3.771291301E-2,-1.167679057E-1,-1.453123987E-4
6.903934584E-1,3.285969421E-2,-9.955328703E-2,8.545190096E-3
7.004054582E-1,4.243535921E-2,-7.737074792E-2,4.772290122E-3
7.104174583E-1,4.514665529E-2,-5.198391154E-2,4.488409963E-3
7.204294584E-1,3.062443808E-2,-3.891471401E-2,4.400259349E-3
7.304414583E-1,1.006936375E-2,-3.020214848E-2,1.013339497E-4
7.404544584E-1,-9.330166504E-3,-2.152503841E-2,-2.672474366E-4
7.504664583E-1,-1.462040097E-2,-1.282980107E-2,1.161779743E-3
7.604784584E-1,-1.396845933E-2,-9.395921603E-3,2.429177985E-3
7.704904582E-1,-5.845788866E-3,-4.346762784E-3,3.276824020E-3
7.805034583E-1,1.373483613E-2,6.452621892E-3,1.855494920E-3
7.905154584E-1,2.680533193E-2,1.506464742E-2,1.162362751E-3
8.005274583E-1,2.647057362E-2,2.013184316E-2,2.553332131E-3
8.105394584E-1,1.275189873E-2,1.332454570E-2,2.698461059E-3
8.205514583E-1,-8.022593101E-4,5.789398216E-3,6.019955501E-3
8.305644584E-1,-7.359295618E-3,3.074829932E-3,7.115326822E-3
8.405764583E-1,-6.352354307E-3,1.178603061E-2,1.238305867E-2
8.505884584E-1,1.047839597E-2,3.605266660E-2,1.448435709E-2
8.606004582E-1,2.394706570E-2,6.255911291E-2,1.513550058E-2
8.706134583E-1,1.919405535E-2,7.093713433E-2,1.317622513E-2
8.806254584E-1,1.082746871E-2,6.965775043E-2,1.234957948E-2
8.906374583E-1,4.469201434E-3,6.963095814E-2,1.187677868E-2
9.006494584E-1,3.619120689E-3,6.768818200E-2,1.069460250E-2
9.106614583E-1,7.456635125E-3,7.798488438E-2,1.133737527E-2
9.206744584E-1,1.432972122E-2,9.221068770E-2,9.963983670E-3
9.306864582E-1,2.660166658E-2,1.018956900E-1,7.759532891E-3
9.406984583E-1,2.839317545E-2,1.060249209E-1,5.904641002E-3
9.507104584E-1,2.821837179E-2,1.013882086E-1,2.486625686E-3
9.607234583E-1,3.050895594E-2,9.656309336E-2,-6.409130991E-3
9.707354584E-1,2.247659862E-2,1.021327302E-1,-9.560292587E-3
9.807474583E-1,1.348550059E-2,1.101730838E-1,-1.657239534E-2
9.907594584E-1,1.856827922E-2,1.316641420E-1,-1.991516165E-2
1.000771458E0,3.172349930E-2,1.567969322E-1,-2.689290978E-2
1.010784458E0,3.602573648E-2,1.752453446E-1,-3.356029838E-2
1.020796458E0,2.680853568E-2,1.900288165E-1,-3.967171907E-2
1.030808458E0,1.018687431E-2,1.985540390E-1,-4.288524389E-2
1.040820458E0,-4.450391512E-3,2.017618120E-1,-4.168948531E-2
1.050833458E0,-7.578641176E-3,1.974526793E-1,-3.519494832E-2
1.060845458E0,1.065979712E-3,1.922856122E-1,-2.612927929E-2
1.070857458E0,6.259081885E-3,1.852429360E-1,-2.044351958E-2
1.080869458E0,3.950387705E-3,1.761916578E-1,-1.453316770E-2
1.090881458E0,-5.978947040E-3,1.702229232E-1,-9.350287728E-3
1.100894458E0,-8.718540892E-3,1.680606902E-1,-3.701456822E-3
1.110906458E0,5.171514582E-3,1.671153456E-1,2.895878162E-3
1.120918458E0,1.466115657E-2,1.556453854E-1,8.953504264E-3
1.130930458E0,1.227005385E-3,1.236947551E-1,1.281763799E-2
1.140943458E0,-1.360946521E-2,7.447501272E-2,1.523845084E-2
1.150955458E0,-1.964948513E-2,2.249580249E-2,1.321063004E-2
1.160967458E0,-1.363553293E-2,-9.648284875E-3,4.299161024E-3
1.170979458E0,-2.292800136E-2,-1.556754671E-2,-8.963533677E-3
1.180992458E0,-3.919032961E-2,7.133770268E-3,-3.472056240E-2
1.191004458E0,-4.789983109E-2,6.426058710E-2,-6.358831376E-2
1.201016458E0,-4.108852893E-2,1.602451652E-1,-8.840684593E-2
1.211028458E0,-3.273888677E-2,2.785084546E-1,-1.199793667E-1
1.221040458E0,-3.855203465E-2,3.808167279E-1,-1.570351124E-1
1.231053458E0,-6.339618564E-2,4.441793263E-1,-1.868925989E-1
