"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.560916573E-3,6.599334231E-1,2.164288402E-2,6.745301199E-1
1.957291667E-2,6.815200277E-1,3.305255592E-2,5.431209648E-1
2.958591678E-2,6.599563734E-1,1.225342512E-2,4.460162544E-1
3.959791665E-2,6.510949181E-1,2.556402683E-2,3.808899299E-1
4.960991675E-2,6.623500773E-1,9.065873981E-2,3.268149161E-1
5.962191662E-2,6.414964212E-1,9.312392592E-2,2.642941475E-1
6.963491673E-2,6.320619388E-1,2.092192233E-2,1.951146062E-1
7.964691659E-2,6.204420595E-1,-4.689759314E-2,1.277885592E-1
8.965891670E-2,5.738485216E-1,-1.198515487E-1,8.264801782E-2
9.967091656E-2,5.445166951E-1,-8.578216195E-2,-1.831355251E-2
1.096829167E-1,5.206248258E-1,3.459680557E-2,-1.958174050E-1
1.196959168E-1,4.142448235E-1,2.131924063E-1,-4.585246181E-1
1.297079166E-1,3.820368978E-1,4.088589531E-1,-6.796359086E-1
1.397199167E-1,4.322828990E-1,4.961216301E-1,-7.737959611E-1
1.497319166E-1,4.596874832E-1,4.640578383E-1,-7.637983918E-1
1.597449167E-1,4.583845773E-1,2.979840499E-1,-6.029917753E-1
1.697569166E-1,4.372217497E-1,1.110509044E-1,-3.084558650E-1
1.797689167E-1,2.970480569E-1,-5.738691330E-2,-3.467757024E-2
1.897809166E-1,7.148937419E-2,-1.943479997E-1,2.092753931E-1
1.997929167E-1,-7.615223631E-2,-2.846635079E-1,4.339452624E-1
2.098059168E-1,-1.704549609E-1,-3.123430574E-1,6.368635261E-1
2.198179166E-1,-1.795660923E-1,-2.883086622E-1,7.757910311E-1
2.298299167E-1,-1.137477864E-1,-1.872594202E-1,7.354803264E-1
2.398419166E-1,-1.093505341E-1,-6.461933434E-2,5.239876326E-1
2.498549167E-1,-1.361932008E-1,8.676274002E-2,2.795273137E-1
2.598669166E-1,-9.181210309E-2,2.215246886E-1,1.392221316E-1
2.698789167E-1,-7.980659992E-2,2.925935018E-1,6.982635297E-2
2.798909168E-1,-6.237034902E-2,2.886963326E-1,8.906606790E-2
2.899029166E-1,1.654396579E-2,2.445241266E-1,1.525294077E-1
2.999159168E-1,1.535306337E-1,1.245088559E-1,1.387030450E-1
3.099279166E-1,3.022468163E-1,-2.104412913E-3,3.243099689E-2
3.199399167E-1,4.647342150E-1,-6.189920962E-2,-1.015204911E-1
3.299519166E-1,6.077777213E-1,-6.462518156E-2,-1.820145408E-1
3.399649167E-1,6.999422653E-1,3.279703259E-2,-1.780277630E-1
3.499769166E-1,7.305832833E-1,1.562685925E-1,-1.420873038E-1
3.599894582E-1,7.045941639E-1,2.289190775E-1,-1.167290624E-1
3.700014583E-1,6.138879155E-1,2.205546355E-1,-6.109638691E-2
3.800134584E-1,4.612079054E-1,1.590740865E-1,5.877741773E-2
3.900264583E-1,3.395818730E-1,9.057921767E-2,1.669707513E-1
4.000384584E-1,2.081727178E-1,6.955613852E-2,2.116352928E-1
4.100504583E-1,8.903409094E-2,1.048358989E-1,2.028995526E-1
4.200624584E-1,-1.440315396E-3,1.202544218E-1,1.152848002E-1
4.300754583E-1,-7.512020275E-2,1.242007077E-1,-5.257816315E-3
4.400874584E-1,-1.059369296E-1,1.161613709E-1,-1.258192170E-1
4.500994582E-1,-1.343381716E-1,7.594305217E-2,-2.190319475E-1
4.601114583E-1,-2.037067607E-1,4.255954385E-2,-2.948154438E-1
4.701244584E-1,-2.103895435E-1,1.760070384E-2,-3.481314159E-1
4.801364583E-1,-2.266813481E-1,7.072792053E-3,-3.843724950E-1
4.901484584E-1,-2.634509790E-1,1.692944348E-2,-3.892607673E-1
5.001604583E-1,-2.584432773E-1,-6.523153782E-3,-3.235672629E-1
5.101724584E-1,-2.165927084E-1,-3.455061257E-2,-1.909560299E-1
5.201854582E-1,-2.105374780E-1,-9.057103157E-2,-6.143157855E-3
5.301974583E-1,-1.656022105E-1,-1.639740533E-1,1.648330823E-1
5.402094584E-1,-1.613034837E-1,-2.228689635E-1,2.625505078E-1
5.502214583E-1,-2.152911182E-1,-2.236308557E-1,2.561992987E-1
5.602344584E-1,-1.962530226E-1,-1.651212770E-1,1.684056946E-1
5.702464583E-1,-1.830771992E-1,-4.886752009E-2,5.161921978E-2
5.802584584E-1,-1.747156808E-1,7.322702050E-2,-2.800004996E-2
5.902704583E-1,-6.024927154E-2,1.692687070E-1,-8.063778162E-2
6.002824584E-1,1.126718988E-1,1.895895356E-1,-1.100960541E-1
6.102954582E-1,1.996686736E-1,1.242656118E-1,-1.105087213E-1
6.203074583E-1,2.325181849E-1,6.416149735E-3,-6.726512633E-2
6.303194584E-1,2.265907162E-1,-8.942088425E-2,-9.357810840E-3
6.403314583E-1,1.431011014E-1,-1.028794205E-1,3.868057407E-2
6.503444584E-1,2.006895974E-2,-1.727559865E-2,4.159943104E-2
6.603564583E-1,-7.129831642E-2,8.567691207E-2,1.135302700E-2
6.703684584E-1,-1.372954009E-1,1.325236344E-1,-4.741035741E-2
6.803804582E-1,-1.312284762E-1,1.334305376E-1,-7.920627359E-2
6.903934584E-1,-7.062223211E-2,7.950166762E-2,-6.508075275E-2
7.004054582E-1,2.606396377E-3,2.386541069E-2,-8.042143464E-2
7.104174583E-1,6.809872001E-2,-1.978697777E-3,-1.065081660E-1
7.204294584E-1,1.578046560E-2,2.848354161E-2,-1.345362095E-1
7.304414583E-1,-4.815152854E-2,6.978885770E-2,-1.621058679E-1
7.404544584E-1,-8.060649902E-2,8.179085255E-2,-1.591226184E-1
7.504664583E-1,-1.105193925E-1,9.283273458E-2,-7.705226898E-2
7.604784584E-1,-1.222018370E-1,6.721257448E-2,2.232583880E-2
7.704904582E-1,-1.007198976E-1,2.814849615E-2,1.061200205E-1
7.805034583E-1,-6.529249504E-2,-8.032904863E-3,1.375241733E-1
7.905154584E-1,-5.201186031E-2,-3.115630388E-2,1.179512036E-1
8.005274583E-1,-5.972360685E-2,-1.485075831E-2,3.196775123E-2
8.105394584E-1,-8.319155306E-2,1.116467357E-2,-7.859118305E-2
8.205514583E-1,-1.237906717E-1,4.672685444E-2,-1.212782693E-1
8.305644584E-1,-1.460877129E-1,6.987773538E-2,-8.200836897E-2
8.405764583E-1,-1.488319574E-1,4.745834112E-2,1.399750337E-3
8.505884584E-1,-1.301999509E-1,2.920976579E-2,8.603943944E-2
8.606004582E-1,-1.037850080E-1,1.854210556E-2,1.330557311E-1
8.706134583E-1,-7.994883344E-2,2.527108133E-2,7.002512176E-2
8.806254584E-1,-6.453761950E-2,7.170732915E-2,-8.524144068E-3
8.906374583E-1,-4.666735902E-2,1.255613548E-1,-3.520725489E-2
9.006494584E-1,-2.499377713E-2,1.374750566E-1,-3.374669351E-2
9.106614583E-1,-1.500921786E-2,1.227587843E-1,1.359828472E-2
9.206744584E-1,-2.283220768E-2,9.968625605E-2,8.359296441E-2
9.306864582E-1,-3.855917126E-2,7.234058261E-2,1.157595941E-1
9.406984583E-1,-3.100836933E-2,4.664265454E-2,1.264741417E-1
9.507104584E-1,-9.115370661E-3,5.095906913E-2,7.597875673E-2
9.607234583E-1,5.135317147E-4,5.665951967E-2,-1.984398812E-5
9.707354584E-1,-1.221483350E-2,4.636374235E-2,-3.239949502E-2
9.807474583E-1,-5.137553707E-2,5.580699563E-2,-3.790866852E-2
9.907594584E-1,-7.213300645E-2,9.079147160E-2,1.818491377E-2
1.000771458E0,-6.339945897E-2,1.119882131E-1,7.776800472E-2
1.010784458E0,-4.811293691E-2,1.448255914E-1,5.013402700E-2
1.020796458E0,-5.547545850E-2,1.531502724E-1,-3.016812444E-2
1.030808458E0,-8.577412203E-2,1.105404425E-1,-5.154199999E-2
1.040820458E0,-1.513157085E-1,6.808848739E-2,8.853780851E-3
1.050833458E0,-2.366268772E-1,5.185486257E-2,1.004971918E-1
1.060845458E0,-2.823879178E-1,5.047024190E-2,1.699422332E-1
1.070857458E0,-2.701773235E-1,1.103387135E-1,1.757415748E-1
1.080869458E0,-2.551311220E-1,2.005437094E-1,1.476481155E-1
1.090881458E0,-2.553729044E-1,2.478014910E-1,9.397520743E-2
1.100894458E0,-2.700264654E-1,1.958635980E-1,9.592006445E-2
1.110906458E0,-2.645797840E-1,3.405710757E-2,1.205250748E-1
1.120918458E0,-2.707507892E-1,-1.872442174E-1,1.274681318E-1
1.130930458E0,-2.959104811E-1,-3.238556403E-1,5.710047282E-2
1.140943458E0,-2.880446604E-1,-3.460809070E-1,-1.164297581E-2
1.150955458E0,-2.725780441E-1,-2.644783348E-1,-6.035141509E-2
1.160967458E0,-2.322173457E-1,-1.465826797E-1,-9.334725302E-2
1.170979458E0,-2.089487895E-1,3.367353022E-2,-1.090096414E-1
1.180992458E0,-1.591049306E-1,2.368812311E-1,-1.367909324E-1
1.191004458E0,-8.242366746E-2,3.348063058E-1,-1.123706210E-1
1.201016458E0,-5.963809133E-2,3.498126000E-1,-3.429625869E-2
1.211028458E0,-8.242308274E-2,2.919672650E-1,-5.985209942E-3
1.221040458E0,-1.299167995E-1,1.390625757E-1,-4.569840230E-2
1.231053458E0,-2.219268309E-1,-9.039736927E-2,-1.500337795E-1
1.241065458E0,-3.898169106E-1,-3.311067724E-1,-2.025206530E-1
1.251077458E0,-6.011187659E-1,-5.192040986E-1,-1.501716642E-1
1.261089458E0,-8.288377024E-1,-5.065279198E-1,-2.114236236E-2
1.271102458E0,-1.021184200E0,-3.617368269E-1,1.040207970E-1
1.281114458E0,-1.167548633E0,-1.793229944E-1,2.114914513E-1
1.291126458E0,-1.243793547E0,2.625399828E-4,2.197371217E-1
1.301138458E0,-1.261118263E0,1.264571482E-1,1.938925016E-1
1.311150458E0,-1.214559662E0,1.988556182E-1,2.293780109E-1
1.321163458E0,-1.102505083E0,1.932387829E-1,2.079503775E-1
1.331175458E0,-8.463236547E-1,1.663573784E-1,3.451848943E-2
1.341187458E0,-5.994473393E-1,1.129687911E-1,-2.390961929E-1
1.351199458E0,-4.512894197E-1,3.608199835E-2,-4.860392761E-1
1.361212083E0,-4.025255415E-1,-1.388877439E-1,-6.302538335E-1
1.371224083E0,-4.274251784E-1,-3.949513507E-1,-6.798662889E-1
