"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.560916573E-3,-9.157760620E0,3.643815994E1,2.243011093E1
1.957291667E-2,-9.012802124E0,3.641282272E1,2.257047653E1
2.958591678E-2,-8.891235352E0,3.641610336E1,2.262221336E1
3.959791665E-2,-8.996620178E0,3.638140488E1,2.304754829E1
4.960991675E-2,-8.798206329E0,3.613907242E1,2.293370056E1
5.962191662E-2,-8.804569244E0,3.599134445E1,2.319607544E1
6.963491673E-2,-9.019512177E0,3.602110672E1,2.347772789E1
7.964691659E-2,-9.055263519E0,3.615769577E1,2.320548630E1
8.965891670E-2,-9.022365570E0,3.600657272E1,2.329970169E1
9.967091656E-2,-8.969566345E0,3.623434830E1,2.302039909E1
1.096829167E-1,-8.803333282E0,3.617776871E1,2.306183434E1
1.196959168E-1,-8.966983795E0,3.599772263E1,2.289023972E1
1.297079166E-1,-9.021854401E0,3.587240219E1,2.281538963E1
1.397199167E-1,-9.079956055E0,3.597172928E1,2.323171806E1
1.497319166E-1,-9.162361145E0,3.577122116E1,2.312552643E1
1.597449167E-1,-9.321269989E0,3.561033249E1,2.346310616E1
1.697569166E-1,-9.121696472E0,3.567007828E1,2.305021477E1
1.797689167E-1,-8.919887543E0,3.578418350E1,2.317774582E1
1.897809166E-1,-8.947856903E0,3.554707718E1,2.343546104E1
1.997929167E-1,-8.788497925E0,3.562208176E1,2.336241531E1
2.098059168E-1,-8.769298553E0,3.570569229E1,2.363698006E1
2.198179166E-1,-8.674770355E0,3.546980667E1,2.381286621E1
2.298299167E-1,-8.597278595E0,3.537303543E1,2.382376862E1
2.398419166E-1,-8.794757843E0,3.546108627E1,2.378397179E1
2.498549167E-1,-8.790836334E0,3.547447586E1,2.391854858E1
2.598669166E-1,-8.888202667E0,3.548060226E1,2.380088234E1
2.698789167E-1,-8.765655518E0,3.551246262E1,2.373799706E1
2.798909168E-1,-8.762008667E0,3.536646652E1,2.388405800E1
2.899029166E-1,-8.706401825E0,3.544206619E1,2.375603676E1
2.999159168E-1,-8.893787384E0,3.533548355E1,2.377524948E1
3.099279166E-1,-8.845405579E0,3.525706100E1,2.388652802E1
3.199399167E-1,-8.868354797E0,3.541473770E1,2.417414474E1
3.299519166E-1,-8.933399200E0,3.541514969E1,2.411783981E1
3.399649167E-1,-8.900257111E0,3.527070999E1,2.389600563E1
3.499769166E-1,-8.771991730E0,3.553821945E1,2.378679276E1
3.599894582E-1,-8.911746979E0,3.542359543E1,2.354610062E1
3.700014583E-1,-8.682170868E0,3.537837601E1,2.388201332E1
3.800134584E-1,-8.456966400E0,3.528219223E1,2.382206345E1
3.900264583E-1,-8.690212250E0,3.522671127E1,2.387038803E1
4.000384584E-1,-8.743385315E0,3.535866165E1,2.373938560E1
4.100504583E-1,-8.543693542E0,3.524470901E1,2.421965981E1
4.200624584E-1,-8.353565216E0,3.520598984E1,2.420430183E1
4.300754583E-1,-8.283863068E0,3.532770920E1,2.402086449E1
4.400874584E-1,-8.341659546E0,3.542153549E1,2.400882912E1
4.500994582E-1,-8.399810791E0,3.536651230E1,2.401052284E1
4.601114583E-1,-8.225471497E0,3.559341812E1,2.431147766E1
4.701244584E-1,-8.366119385E0,3.558301163E1,2.388766098E1
4.801364583E-1,-8.336917877E0,3.534152603E1,2.406733894E1
4.901484584E-1,-8.276069641E0,3.539149857E1,2.422214508E1
5.001604583E-1,-8.286247253E0,3.539381027E1,2.350803375E1
5.101724584E-1,-8.300434113E0,3.560283279E1,2.398349380E1
5.201854582E-1,-8.183357239E0,3.531294632E1,2.396932983E1
5.301974583E-1,-8.000389099E0,3.529893875E1,2.392758369E1
5.402094584E-1,-7.998069763E0,3.532246017E1,2.429803467E1
5.502214583E-1,-8.079563141E0,3.528362656E1,2.424757767E1
5.602344584E-1,-8.301982880E0,3.560000992E1,2.417535210E1
5.702464583E-1,-8.249546051E0,3.531990433E1,2.425266838E1
5.802584584E-1,-8.176582336E0,3.531310654E1,2.427913857E1
5.902704583E-1,-7.978603363E0,3.528015518E1,2.413867378E1
6.002824584E-1,-8.099502563E0,3.519063187E1,2.415422440E1
6.102954582E-1,-8.000713348E0,3.524819565E1,2.414351082E1
6.203074583E-1,-8.075458527E0,3.529146194E1,2.425215340E1
6.303194584E-1,-7.949802399E0,3.521123123E1,2.449507332E1
6.403314583E-1,-7.708240509E0,3.546394730E1,2.399729919E1
6.503444584E-1,-7.822101593E0,3.525991440E1,2.404604721E1
6.603564583E-1,-7.527912140E0,3.544624710E1,2.387302780E1
6.703684584E-1,-7.734012604E0,3.537328720E1,2.384920883E1
6.803804582E-1,-7.855407715E0,3.546966171E1,2.405797768E1
