"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686310172416651E9,"2023-06-09 13:29:32.417 UTC+02:00"
"PAUSE",4.529506791615859E0,1.686310176946156E9,"2023-06-09 13:29:36.946 UTC+02:00"
"START",4.529506791615859E0,1.686310206641557E9,"2023-06-09 13:30:06.642 UTC+02:00"
"PAUSE",7.997234712494537E1,1.686310282084375E9,"2023-06-09 13:31:22.084 UTC+02:00"
"START",7.997234712494537E1,1.686310289369419E9,"2023-06-09 13:31:29.369 UTC+02:00"
"PAUSE",8.506316437479109E1,1.686310294460235E9,"2023-06-09 13:31:34.460 UTC+02:00"
"START",8.506316437479109E1,1.686310311092441E9,"2023-06-09 13:31:51.092 UTC+02:00"
"PAUSE",1.645487858331762E2,1.686310390578040E9,"2023-06-09 13:33:10.578 UTC+02:00"
"START",1.645487858331762E2,1.686310399177858E9,"2023-06-09 13:33:19.178 UTC+02:00"
"PAUSE",1.712893033749424E2,1.686310405918373E9,"2023-06-09 13:33:25.918 UTC+02:00"
"START",1.712893033749424E2,1.686310424387714E9,"2023-06-09 13:33:44.388 UTC+02:00"
"PAUSE",1.729942688331939E2,1.686310426092679E9,"2023-06-09 13:33:46.093 UTC+02:00"
"START",1.729942688331939E2,1.686310464229712E9,"2023-06-09 13:34:24.230 UTC+02:00"
"PAUSE",2.558241009998601E2,1.686310547059521E9,"2023-06-09 13:35:47.060 UTC+02:00"
"START",2.558241009998601E2,1.686310562004618E9,"2023-06-09 13:36:02.005 UTC+02:00"
"PAUSE",3.338376704580150E2,1.686310640018165E9,"2023-06-09 13:37:20.018 UTC+02:00"
"START",3.338376704580150E2,1.686310650800679E9,"2023-06-09 13:37:30.801 UTC+02:00"
"PAUSE",3.393544384161942E2,1.686310656317445E9,"2023-06-09 13:37:36.317 UTC+02:00"
"START",3.393544384161942E2,1.686310704507113E9,"2023-06-09 13:38:24.507 UTC+02:00"
"PAUSE",3.961013232911937E2,1.686310761253982E9,"2023-06-09 13:39:21.254 UTC+02:00"
"START",3.961013232911937E2,1.686310775492759E9,"2023-06-09 13:39:35.493 UTC+02:00"
"PAUSE",4.025364253327716E2,1.686310781927859E9,"2023-06-09 13:39:41.928 UTC+02:00"
"START",4.025364253327716E2,1.686310790811485E9,"2023-06-09 13:39:50.811 UTC+02:00"
"PAUSE",4.613375671661925E2,1.686310849612609E9,"2023-06-09 13:40:49.613 UTC+02:00"
"START",4.613375671661925E2,1.686310868761608E9,"2023-06-09 13:41:08.762 UTC+02:00"
"PAUSE",4.617459489160683E2,1.686310869169989E9,"2023-06-09 13:41:09.170 UTC+02:00"
"START",4.617459489160683E2,1.686310872693645E9,"2023-06-09 13:41:12.694 UTC+02:00"
"PAUSE",5.373824767910410E2,1.686310948330151E9,"2023-06-09 13:42:28.330 UTC+02:00"
"START",5.373824767910410E2,1.686310972221133E9,"2023-06-09 13:42:52.221 UTC+02:00"
"PAUSE",6.068774429576006E2,1.686311041716079E9,"2023-06-09 13:44:01.716 UTC+02:00"
"START",6.068774429576006E2,1.686311102378411E9,"2023-06-09 13:45:02.378 UTC+02:00"
"PAUSE",6.164457084992900E2,1.686311111946673E9,"2023-06-09 13:45:11.947 UTC+02:00"
"START",6.164457084992900E2,1.686311137512644E9,"2023-06-09 13:45:37.513 UTC+02:00"
"PAUSE",6.774025543744210E2,1.686311198469472E9,"2023-06-09 13:46:38.469 UTC+02:00"
